stage,transport,workload,mode,arrival,req_size,reply_size,conc,threads,offered_mrps,rep,mrps,gbps,p50,p95,p99,p999,p9999,avg,min,max,drops,overflow,fail,reorder
conc,tcp-envoy,1024B/8B,closed,const,1024,8,1,1,,1,0.015663,0.1283,62.00,64.00,68.00,133.00,254.00,62.84,51.65,7641.49,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,1,1,,1,0.039474,0.3234,24.00,25.00,29.00,51.00,101.00,23.98,14.62,9844.56,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,1,1,,1,0.008515,0.0698,114.00,116.00,172.00,,,117.32,87.49,6030.36,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,2,1,,1,0.032723,0.2681,61.00,62.00,67.00,124.00,314.00,60.13,47.61,12097.42,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,2,1,,1,0.091605,0.7504,20.00,22.00,27.00,41.00,92.00,20.38,15.00,2719.71,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,2,1,,1,0.016171,0.1325,114.00,171.00,285.00,,,123.40,77.26,15772.57,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,4,1,,1,0.062168,0.5093,63.00,64.00,69.00,138.00,279.00,63.30,53.19,2341.59,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,4,1,,1,0.172989,1.4171,20.00,24.00,26.00,44.00,93.00,21.65,15.06,4084.30,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,4,1,,1,0.031622,0.2590,115.00,226.00,289.00,,,126.00,70.94,13994.20,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,8,1,,1,0.121387,0.9944,64.00,66.00,70.00,138.00,295.00,64.78,52.52,10434.77,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,8,1,,1,0.299779,2.4558,25.00,26.00,29.00,55.00,105.00,25.15,15.42,2489.90,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,8,1,,1,0.064423,0.5278,115.00,169.00,288.00,,,123.44,76.49,22660.74,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,16,1,,1,0.226834,1.8582,68.00,70.00,73.00,147.00,296.00,69.29,57.14,148394.07,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,16,1,,1,0.535445,4.3864,28.00,29.00,30.00,72.00,118.00,28.12,17.18,3397.45,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,16,1,,1,0.116337,0.9530,118.00,175.00,180.00,,,136.19,56.14,12279.75,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,32,1,,1,0.411744,3.3730,75.00,79.00,84.00,157.00,277.00,76.08,66.47,3407.29,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,32,1,,1,0.916283,7.5062,32.00,35.00,37.00,82.00,129.00,32.83,21.19,4238.74,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,32,1,,1,0.186673,1.5292,176.00,189.00,237.00,,,169.60,64.09,3137.71,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,64,1,,1,0.579398,4.7464,108.00,113.00,127.00,195.00,610.00,108.36,66.71,3937.87,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,64,1,,1,2.290653,18.7650,25.00,29.00,32.00,62.00,111.00,26.11,13.68,704.67,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,64,1,,1,0.279781,2.2920,240.00,249.00,297.00,,,226.37,115.52,2979.14,,,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,1,1,,2,0.039360,0.3224,24.00,25.00,29.00,55.00,94.00,24.05,15.77,7834.60,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,1,1,,2,0.008549,0.0700,114.00,115.00,223.00,,,116.85,87.40,5634.08,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,1,1,,2,0.015829,0.1297,62.00,64.00,68.00,127.00,169.00,62.17,50.64,12346.84,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,2,1,,2,0.090213,0.7390,19.00,24.00,27.00,41.00,87.00,20.79,13.78,3382.84,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,2,1,,2,0.015487,0.1269,115.00,228.00,399.00,,,128.86,85.36,3938.36,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,2,1,,2,0.031476,0.2579,62.00,63.00,67.00,127.00,151.00,62.54,54.21,1351.82,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,4,1,,2,0.162239,1.3291,23.00,25.00,28.00,48.00,92.00,23.16,15.14,14006.48,0,0,0,0
conc,dpumesh-native,1024B/8B,closed,const,1024,8,4,1,,2,0.033300,0.2728,115.00,132.00,283.00,,,119.72,74.39,4607.21,,,0,0
conc,tcp-envoy,1024B/8B,closed,const,1024,8,4,1,,2,0.062419,0.5113,63.00,64.00,68.00,133.00,171.00,63.04,52.87,4716.67,0,0,0,0
conc,tcp-direct,1024B/8B,closed,const,1024,8,8,1,,2,0.305992,2.5067,24.00,25.00,29.00,49.00,93.00,24.60,15.51,1865.14,0,0,0,0
