arm,protocol,size,mode,rep,event,length,count
batch,grpc,1024,capacity,1,commit,13,1321
batch,grpc,1024,capacity,1,commit,17,117
batch,grpc,1024,capacity,1,commit,30,3
batch,grpc,1024,capacity,1,commit,1047,55
batch,grpc,1024,capacity,1,commit,1054,24
batch,grpc,1024,capacity,1,commit,1067,27840
batch,grpc,1024,capacity,1,commit,1090,5
batch,grpc,1024,capacity,1,commit,1091,11
batch,grpc,1024,capacity,1,commit,1094,27181
batch,grpc,1024,capacity,1,commit,2134,17746
batch,grpc,1024,capacity,1,commit,2157,7
batch,grpc,1024,capacity,1,commit,2158,5
batch,grpc,1024,capacity,1,commit,2188,15820
batch,grpc,1024,capacity,1,commit,3201,14455
batch,grpc,1024,capacity,1,commit,3224,4
batch,grpc,1024,capacity,1,commit,3225,7
batch,grpc,1024,capacity,1,commit,3282,14106
batch,grpc,1024,capacity,1,commit,4268,10540
batch,grpc,1024,capacity,1,commit,4291,2
batch,grpc,1024,capacity,1,commit,4292,5
batch,grpc,1024,capacity,1,commit,4376,11126
batch,grpc,1024,capacity,1,commit,5335,7736
batch,grpc,1024,capacity,1,commit,5358,2
batch,grpc,1024,capacity,1,commit,5359,3
batch,grpc,1024,capacity,1,commit,5470,7745
batch,grpc,1024,capacity,1,commit,6402,4182
batch,grpc,1024,capacity,1,commit,6425,1
batch,grpc,1024,capacity,1,commit,6426,1
batch,grpc,1024,capacity,1,commit,6564,4105
batch,grpc,1024,capacity,1,commit,7469,1504
batch,grpc,1024,capacity,1,commit,7482,24
batch,grpc,1024,capacity,1,commit,7493,3
batch,grpc,1024,capacity,1,commit,7658,2013
batch,grpc,1024,capacity,1,commit,7705,55
batch,grpc,64,capacity,1,commit,13,92
batch,grpc,64,capacity,1,commit,17,118
batch,grpc,64,capacity,1,commit,105,27525
batch,grpc,64,capacity,1,commit,128,17
batch,grpc,64,capacity,1,commit,131,27272
batch,grpc,64,capacity,1,commit,210,17786
batch,grpc,64,capacity,1,commit,233,14
batch,grpc,64,capacity,1,commit,262,15192
batch,grpc,64,capacity,1,commit,315,14787
batch,grpc,64,capacity,1,commit,338,8
batch,grpc,64,capacity,1,commit,393,13815
batch,grpc,64,capacity,1,commit,420,10974
batch,grpc,64,capacity,1,commit,443,6
batch,grpc,64,capacity,1,commit,524,11357
batch,grpc,64,capacity,1,commit,525,7752
batch,grpc,64,capacity,1,commit,548,8
batch,grpc,64,capacity,1,commit,630,4352
batch,grpc,64,capacity,1,commit,655,7888
batch,grpc,64,capacity,1,commit,735,1502
batch,grpc,64,capacity,1,commit,758,3
batch,grpc,64,capacity,1,commit,786,4395
batch,grpc,64,capacity,1,commit,840,36
batch,grpc,64,capacity,1,commit,917,2294
batch,grpc,64,capacity,1,commit,1048,98
batch,grpc,65536,capacity,1,commit,13,266305
batch,grpc,65536,capacity,1,commit,17,131
batch,grpc,65536,capacity,1,commit,26,11663
batch,grpc,65536,capacity,1,commit,27,12652
batch,grpc,65536,capacity,1,commit,30,26
batch,grpc,65536,capacity,1,commit,33,8956
batch,grpc,65536,capacity,1,commit,36,47
batch,grpc,65536,capacity,1,commit,43,1
batch,grpc,65536,capacity,1,commit,46,1625
batch,grpc,65536,capacity,1,commit,47,22386
batch,grpc,65536,capacity,1,commit,54,8344
batch,grpc,65536,capacity,1,commit,66,7073
batch,grpc,65536,capacity,1,commit,69,3
batch,grpc,65536,capacity,1,commit,74,1277
batch,grpc,65536,capacity,1,commit,79,490
batch,grpc,65536,capacity,1,commit,81,4829
batch,grpc,65536,capacity,1,commit,99,7409
batch,grpc,65536,capacity,1,commit,101,524
batch,grpc,65536,capacity,1,commit,108,2092
batch,grpc,65536,capacity,1,commit,112,63
batch,grpc,65536,capacity,1,commit,128,96
batch,grpc,65536,capacity,1,commit,132,2132
batch,grpc,65536,capacity,1,commit,135,464
batch,grpc,65536,capacity,1,commit,145,2
batch,grpc,65536,capacity,1,commit,155,10
batch,grpc,65536,capacity,1,commit,162,62
batch,grpc,65536,capacity,1,commit,165,69
batch,grpc,65536,capacity,1,commit,178,1
batch,grpc,65536,capacity,1,commit,182,7
batch,grpc,65536,capacity,1,commit,189,83
batch,grpc,65536,capacity,1,commit,198,19
batch,grpc,65536,capacity,1,commit,209,1
batch,grpc,65536,capacity,1,commit,216,20
batch,grpc,65536,capacity,1,commit,231,15
batch,grpc,65536,capacity,1,commit,236,1
batch,grpc,65536,capacity,1,commit,242,4
batch,grpc,65536,capacity,1,commit,264,20
batch,grpc,65536,capacity,1,commit,307,1
batch,grpc,65536,capacity,1,commit,437,1
batch,grpc,65536,capacity,1,commit,16011,1
batch,grpc,65536,capacity,1,commit,16058,1
batch,grpc,65536,capacity,1,commit,16081,18
batch,grpc,65536,capacity,1,commit,16094,5
batch,grpc,65536,capacity,1,commit,16141,1
batch,grpc,65536,capacity,1,commit,16193,1
batch,grpc,65536,capacity,1,commit,16206,6
batch,grpc,65536,capacity,1,commit,16253,9
batch,grpc,65536,capacity,1,commit,16392,42429
batch,grpc,65536,capacity,1,commit,16393,368942
batch,grpc,65536,capacity,1,commit,16401,2
batch,grpc,65536,capacity,1,commit,16405,37773
batch,grpc,65536,capacity,1,commit,16419,2017
batch,grpc,65536,capacity,1,commit,16425,2575
batch,grpc,65536,capacity,1,commit,16428,15
batch,grpc,65536,capacity,1,commit,16438,199
batch,grpc,65536,capacity,1,commit,16439,36954
batch,grpc,65536,capacity,1,commit,16446,134
batch,grpc,65536,capacity,1,commit,16448,25
batch,grpc,65536,capacity,1,commit,16458,262
batch,grpc,65536,capacity,1,commit,16466,153
batch,grpc,65536,capacity,1,commit,16471,21
batch,grpc,65536,capacity,1,commit,16473,86
batch,grpc,65536,capacity,1,commit,16491,82
batch,grpc,65536,capacity,1,commit,16493,39
batch,grpc,65536,capacity,1,commit,16500,23
batch,grpc,65536,capacity,1,commit,16504,5
batch,grpc,65536,capacity,1,commit,16520,3
batch,grpc,65536,capacity,1,commit,16524,37
batch,grpc,65536,capacity,1,commit,16527,20
batch,grpc,65536,capacity,1,commit,16537,1
batch,grpc,65536,capacity,1,commit,16554,13
batch,grpc,65536,capacity,1,commit,16557,14
batch,grpc,65536,capacity,1,commit,16570,1
batch,grpc,65536,capacity,1,commit,16581,5
batch,grpc,65536,capacity,1,commit,16590,11
batch,grpc,65536,capacity,1,commit,16600,1
batch,grpc,65536,capacity,1,commit,16608,9
batch,grpc,65536,capacity,1,commit,16614,4
batch,grpc,65536,capacity,1,commit,16623,6
batch,grpc,65536,capacity,1,commit,16634,7
batch,grpc,65536,capacity,1,commit,16656,20
batch,grpc,65536,capacity,1,commit,16700,2
batch,grpc,65536,capacity,1,commit,16713,11
batch,grpc,65536,capacity,1,commit,16726,7
batch,grpc,65536,capacity,1,commit,16727,2
batch,grpc,65536,capacity,1,commit,16747,1
batch,grpc,65536,capacity,1,commit,16782,1
batch,grpc,8192,capacity,1,commit,13,27374
batch,grpc,8192,capacity,1,commit,17,136
batch,grpc,8192,capacity,1,commit,36,15
batch,grpc,8192,capacity,1,commit,37,37
batch,grpc,8192,capacity,1,commit,47,21516
batch,grpc,8192,capacity,1,commit,8215,21513
batch,grpc,8192,capacity,1,commit,8222,20989
batch,grpc,8192,capacity,1,commit,8235,117457
batch,grpc,8192,capacity,1,commit,8258,1
batch,grpc,8192,capacity,1,commit,8259,11
