protocol,size,mode,batch_rps,batch_rps_min,batch_rps_max,lean_rps,lean_rps_min,lean_rps_max,rps_change_percent,batch_cpu_seconds,batch_cpu_seconds_min,batch_cpu_seconds_max,lean_cpu_seconds,lean_cpu_seconds_min,lean_cpu_seconds_max,cpu_seconds_change_percent,batch_cpu_us_per_scheduled_rpc,batch_cpu_us_per_scheduled_rpc_min,batch_cpu_us_per_scheduled_rpc_max,lean_cpu_us_per_scheduled_rpc,lean_cpu_us_per_scheduled_rpc_min,lean_cpu_us_per_scheduled_rpc_max,cpu_us_per_scheduled_rpc_change_percent,batch_p50_us,batch_p50_us_min,batch_p50_us_max,lean_p50_us,lean_p50_us_min,lean_p50_us_max,p50_us_change_percent,batch_p99_us,batch_p99_us_min,batch_p99_us_max,lean_p99_us,lean_p99_us_min,lean_p99_us_max,p99_us_change_percent,batch_dmesh_tx_retries_total,batch_dmesh_tx_retries_total_min,batch_dmesh_tx_retries_total_max,lean_dmesh_tx_retries_total,lean_dmesh_tx_retries_total_min,lean_dmesh_tx_retries_total_max,batch_dmesh_tx_writer_wakes_total,batch_dmesh_tx_writer_wakes_total_min,batch_dmesh_tx_writer_wakes_total_max,lean_dmesh_tx_writer_wakes_total,lean_dmesh_tx_writer_wakes_total_min,lean_dmesh_tx_writer_wakes_total_max,batch_dmesh_tx_accepted_bytes_total,batch_dmesh_tx_accepted_bytes_total_min,batch_dmesh_tx_accepted_bytes_total_max,lean_dmesh_tx_accepted_bytes_total,lean_dmesh_tx_accepted_bytes_total_min,lean_dmesh_tx_accepted_bytes_total_max,dmesh_tx_accepted_bytes_total_change_percent,batch_dmesh_tx_arena_copy_bytes_total,batch_dmesh_tx_arena_copy_bytes_total_min,batch_dmesh_tx_arena_copy_bytes_total_max,lean_dmesh_tx_arena_copy_bytes_total,lean_dmesh_tx_arena_copy_bytes_total_min,lean_dmesh_tx_arena_copy_bytes_total_max,dmesh_tx_arena_copy_bytes_total_change_percent,batch_dmesh_tx_publications_total,batch_dmesh_tx_publications_total_min,batch_dmesh_tx_publications_total_max,lean_dmesh_tx_publications_total,lean_dmesh_tx_publications_total_min,lean_dmesh_tx_publications_total_max,dmesh_tx_publications_total_change_percent,batch_dmesh_tx_reserve_attempts_total,batch_dmesh_tx_reserve_attempts_total_min,batch_dmesh_tx_reserve_attempts_total_max,lean_dmesh_tx_reserve_attempts_total,lean_dmesh_tx_reserve_attempts_total_min,lean_dmesh_tx_reserve_attempts_total_max,dmesh_tx_reserve_attempts_total_change_percent,batch_dmesh_worker_drain_calls_total,batch_dmesh_worker_drain_calls_total_min,batch_dmesh_worker_drain_calls_total_max,lean_dmesh_worker_drain_calls_total,lean_dmesh_worker_drain_calls_total_min,lean_dmesh_worker_drain_calls_total_max,dmesh_worker_drain_calls_total_change_percent,batch_dmesh_worker_arms_total,batch_dmesh_worker_arms_total_min,batch_dmesh_worker_arms_total_max,lean_dmesh_worker_arms_total,lean_dmesh_worker_arms_total_min,lean_dmesh_worker_arms_total_max,dmesh_worker_arms_total_change_percent,batch_bytes_per_publication,lean_bytes_per_publication,dmesh_tx_writer_wakes_total_change_percent
grpc,64,capacity,35154.0,34872.0,35627.0,36694.0,36665.0,36937.0,4.380724810832337,53.49,52.93,53.56,53.25,53.25,53.55,-0.44868199663489206,183.01073930391607,181.4725842902206,183.54762664580352,174.91648353814165,174.86228166705308,175.5681649582428,-4.422831029786034,1822.0,1813.0,1824.0,1768.0,1762.0,1768.0,-2.9637760702524663,3083.0,2918.0,3327.0,2553.0,2513.0,2562.0,-17.191047680830362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68783907.0,68262187.0,69661783.0,71853619.0,71586724.0,72281469.0,4.4628345987964835,68783907.0,68262187.0,69661783.0,71853619.0,71586724.0,72281469.0,4.4628345987964835,213730.0,213240.0,215237.0,222387.0,221701.0,222585.0,4.0504374678332455,213730.0,213240.0,215237.0,222387.0,221701.0,222585.0,4.0504374678332455,2227160.0,2211782.0,2230677.0,2599570.0,2595181.0,2600795.0,16.721295281883663,453660.0,450776.0,455083.0,636758.0,635520.0,636890.0,40.36018163382269,320.1190536484712,323.1017055853085,
grpc,64,matched,19999.0,19999.0,19999.0,20000.0,20000.0,20000.0,0.0050002500125101434,53.28,53.2,53.31,52.81,52.78,52.98,-0.8821321321321296,333.0020812630079,332.5,333.1895824348902,330.06456290351815,329.8770617316358,331.1270695441847,-0.8821321321321296,998.0,997.0,1005.0,963.0,958.0,968.0,-3.50701402805611,2003.0,1990.0,2181.0,1941.0,1937.0,2103.0,-3.0953569645531753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37768240.0,37768206.0,37768568.0,37768189.0,37768165.0,37768263.0,-0.00013503409214132844,37768240.0,37768206.0,37768568.0,37768189.0,37768165.0,37768263.0,-0.00013503409214132844,256791.0,255376.0,256849.0,262589.0,261911.0,263861.0,2.257867292856841,256791.0,255376.0,256849.0,262589.0,261911.0,263861.0,2.257867292856841,2522667.0,2511372.0,2527268.0,2867405.0,2854473.0,2881857.0,13.665616587524232,492089.0,489928.0,493576.0,667485.0,662569.0,670460.0,35.64314585369719,147.07760786008856,143.82995860451123,
grpc,1024,capacity,33790.0,33536.0,34227.0,34828.0,34638.0,35227.0,3.0719147676827374,53.37,52.9,53.79,53.06,52.63,53.67,-0.580850665167687,190.14345227183685,189.40874470490053,190.43643020007065,183.612098487518,183.08634244764488,183.7244894425939,-3.4349611865578944,1878.0,1870.0,1882.0,1829.0,1829.0,1836.0,-2.609158679446222,4156.0,3893.0,5131.0,3233.0,2752.0,4880.0,-22.20885466794995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605628371.0,601220905.0,613720470.0,624120579.0,621224610.0,631682037.0,3.0533919620486127,605628371.0,601220905.0,613720470.0,624120579.0,621224610.0,631682037.0,3.0533919620486127,211958.0,210380.0,212925.0,217179.0,215483.0,219358.0,2.4632238462336975,211958.0,210380.0,212925.0,217179.0,215483.0,219358.0,2.4632238462336975,2174419.0,2153389.0,2183772.0,2500108.0,2484371.0,2523687.0,14.978207971876634,443917.0,438261.0,444578.0,609729.0,606008.0,614430.0,37.35202751865776,2857.785459644453,2879.6854320334796,
grpc,1024,matched,19999.0,19999.0,20000.0,19999.0,19999.0,19999.0,0.0,53.56,53.48,53.71,53.13,53.02,53.19,-0.8028379387602702,334.75,334.25208907555674,335.6895980599879,332.0645754035963,331.375,332.43957774736094,-0.8022179526224749,1040.0,1024.0,1043.0,1003.0,996.0,1009.0,-3.557692307692306,2093.0,2026.0,2108.0,2040.0,2011.0,2105.0,-2.532250358337318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345775705.0,345774668.0,345777832.0,345777796.0,345776725.0,345778903.0,0.0006047272754550193,345775705.0,345774668.0,345777832.0,345777796.0,345776725.0,345778903.0,0.0006047272754550193,251123.0,250603.0,251914.0,257037.0,256986.0,257323.0,2.3550212445693885,251123.0,250603.0,251914.0,257037.0,256986.0,257323.0,2.3550212445693885,2456238.0,2447080.0,2459261.0,2789983.0,2784931.0,2790876.0,13.587649079608743,476629.0,473827.0,477436.0,645098.0,641839.0,646019.0,35.34593992392405,1376.9135762156393,1345.245221505075,
grpc,8192,capacity,20960.0,20774.0,21059.0,21619.0,21580.0,21621.0,3.1440839694656386,54.64,54.13,54.69,54.72,54.71,54.75,0.14641288433381305,314.0789450994143,313.0169014245732,314.20328888940486,305.07851244274553,304.87397205321923,305.47521468693117,-2.8656593500146488,3027.0,3009.0,3048.0,2944.0,2936.0,2946.0,-2.7419887677568533,4777.0,4726.0,4834.0,4407.0,4320.0,4685.0,-7.7454469332216895,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2869882625.0,2842018125.0,2882296884.0,2960495768.0,2954622326.0,2960932641.0,3.1573814974401593,2869882625.0,2842018125.0,2882296884.0,2960495768.0,2954622326.0,2960932641.0,3.1573814974401593,412220.0,408732.0,414095.0,426576.0,426553.0,426858.0,3.482606375236519,412220.0,408732.0,414095.0,426576.0,426553.0,426858.0,3.482606375236519,1271138.0,1269818.0,1277393.0,1425856.0,1423705.0,1436088.0,12.171613152938555,128871.0,128436.0,129498.0,185519.0,184741.0,187924.0,43.95713543000366,6960.472558229392,6940.510951745739,0.0
grpc,8192,matched,10000.0,10000.0,10000.0,9999.0,9999.0,9999.0,-0.009999999999998899,44.67,44.63,44.77,43.31,43.25,43.32,-3.0445489142601256,558.375,557.875,559.625,541.375,540.625,541.5,-3.0445489142601256,1704.0,1695.0,1707.0,1695.0,1692.0,1698.0,-0.5281690140845119,2319.0,2315.0,2442.0,2264.0,2264.0,2275.0,-2.3717119448037893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319783122.0,1319783088.0,1319783173.0,1319774879.0,1319766721.0,1319774947.0,-0.000624572315144345,1319783122.0,1319783088.0,1319783173.0,1319774879.0,1319766721.0,1319774947.0,-0.000624572315144345,317077.0,316822.0,317315.0,317542.0,317377.0,317754.0,0.14665207504802602,317077.0,316822.0,317315.0,317542.0,317377.0,317754.0,0.14665207504802602,2948951.0,2947925.0,2954776.0,3312003.0,3307984.0,3318769.0,12.311225245858616,573937.0,573547.0,574664.0,761648.0,759132.0,764964.0,32.705854475316976,4162.342547709231,4156.221687209881,
grpc,65536,capacity,12679.0,12645.0,12713.0,13120.0,13013.0,13169.0,3.478192286457915,64.45,64.38,64.55,64.15,63.89,64.28,-0.46547711404189007,613.2363026746932,610.5532398635847,613.377424289936,590.0008260745853,587.0778804795461,591.5412106734811,-3.788992350707865,5003.0,4994.0,5032.0,4870.0,4844.0,4914.0,-2.658404957025784,7549.0,7499.0,7614.0,7253.0,7180.0,7276.0,-3.9210491455822005,0.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,13817685413.0,13784892199.0,13861401762.0,14305544799.0,14182070864.0,14348059730.0,3.530688182703967,13817685413.0,13784892199.0,13861401762.0,14305544799.0,14182070864.0,14348059730.0,3.530688182703967,1427683.0,1424531.0,1431197.0,1476296.0,1466178.0,1479096.0,3.405027586656151,1427683.0,1424531.0,1431197.0,1476296.0,1466178.0,1479096.0,3.405027586656151,2791478.0,2771042.0,2792841.0,2978778.0,2970852.0,3006423.0,6.709707187375291,110909.0,108175.0,112131.0,152318.0,149746.0,153908.0,37.33601420984771,9678.39878530458,9690.160238190716,0.0
grpc,65536,matched,1999.0,1999.0,1999.0,1999.0,1999.0,2000.0,0.0,16.26,16.17,16.26,15.44,15.42,15.59,-5.043050430504314,1016.2500000000001,1010.6250000000001,1016.2500000000001,965.0,963.75,974.375,-5.043050430504314,1459.0,1455.0,1499.0,1437.0,1415.0,1446.0,-1.5078821110349527,2588.0,2557.0,2623.0,2553.0,2550.0,2601.0,-1.3523956723338504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100717561.0,2100716857.0,2100723545.0,2100719988.0,2100713368.0,2100721020.0,0.0001155319518053588,2100717561.0,2100716857.0,2100723545.0,2100719988.0,2100713368.0,2100721020.0,0.0001155319518053588,200198.0,200029.0,201090.0,200529.0,199567.0,200667.0,0.1653363170461164,200198.0,200029.0,201090.0,200529.0,199567.0,200667.0,0.1653363170461164,1230144.0,1226790.0,1232262.0,1374806.0,1365636.0,1380202.0,11.759761458821071,189638.0,188934.0,191089.0,265006.0,262654.0,267912.0,39.74308946519158,10493.199537457916,10475.891207755487,
opaque,64,capacity,135303.0,134772.0,135901.0,134353.0,131532.0,139349.0,-0.7021278168259371,25.62,25.52,25.78,25.05,24.76,25.98,-2.2248243559718994,23.70540894143598,23.692040606969286,23.728679394983107,23.34654284766311,23.327981725516395,23.553607763938817,-1.5138574266297056,441.0,441.0,443.0,443.0,428.0,448.0,0.45351473922903285,1103.0,1100.0,1104.0,1116.0,1106.0,1144.0,1.1786038077969074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172922560.0,172344800.0,173831840.0,171674240.0,168195040.0,178189440.0,-0.7218953964132857,172922560.0,172344800.0,173831840.0,171674240.0,168195040.0,178189440.0,-0.7218953964132857,649183.0,646972.0,652610.0,644524.0,631680.0,669018.0,-0.7176712883732339,649183.0,646972.0,652610.0,644524.0,631680.0,669018.0,-0.7176712883732339,7463512.0,7436999.0,7502303.0,8915141.0,8739527.0,9251040.0,19.449677310092085,1615141.0,1608746.0,1622885.0,2383586.0,2341661.0,2471785.0,47.577579914075606,266.3695136810422,266.3447620243401,
opaque,64,matched,19999.0,19999.0,20000.0,19999.0,19999.0,20000.0,0.0,12.69,12.69,12.78,12.44,12.4,12.55,-1.970055161544526,79.3125,79.3125,79.875,77.75,77.5,78.4375,-1.970055161544526,263.0,224.0,267.0,259.0,248.0,273.0,-1.520912547528519,490.0,472.0,491.0,483.0,478.0,492.0,-1.4285714285714235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25600000.0,25600000.0,25600000.0,25600000.0,25600000.0,25600000.0,0.0,25600000.0,25600000.0,25600000.0,25600000.0,25600000.0,25600000.0,0.0,319046.0,318779.0,319349.0,318956.0,318346.0,319135.0,-0.028209098374532005,319046.0,318779.0,319349.0,318956.0,318346.0,319135.0,-0.028209098374532005,3687830.0,3681658.0,3690443.0,4409093.0,4390921.0,4411611.0,19.557924307790753,803238.0,801476.0,805324.0,1188879.0,1181706.0,1190394.0,48.01080128181188,80.239213154216,80.26185429965261,
