arm,protocol,size,mode,rep,symbol,self_percent
batch,grpc,1024,capacity,1,__aarch64_ldadd8_relax,2.82
batch,grpc,1024,capacity,1,__memcpy_generic,2.54
batch,grpc,1024,capacity,1,__aarch64_ldadd8_rel,2.1
batch,grpc,1024,capacity,1,el0_svc_common.constprop.0,2.04
batch,grpc,1024,capacity,1,"<linkerd_stack::map_err::ResponseFuture<W,F> as core::future::future::Future>::poll",1.77
batch,grpc,1024,capacity,1,h2::hpack::encoder::Encoder::encode,1.65
batch,grpc,1024,capacity,1,"h2::proto::connection::Connection<T,P,B>::poll",1.63
batch,grpc,1024,capacity,1,eventfd_write,1.42
batch,grpc,1024,capacity,1,"tokio::runtime::task::core::Core<T,S>::poll",1.22
batch,grpc,1024,capacity,1,__aarch64_cas1_acq,1.0
batch,grpc,1024,capacity,1,core::hash::BuildHasher::hash_one,0.99
batch,grpc,1024,capacity,1,px_worker_drain,0.94
batch,grpc,1024,capacity,1,<linkerd_http_box::body::Inner<B> as http_body::Body>::poll_frame,0.85
batch,grpc,1024,capacity,1,__aarch64_cas4_acq,0.84
batch,grpc,1024,capacity,1,h2::codec::framed_read::decode_frame,0.77
batch,grpc,1024,capacity,1,epoll_pwait,0.75
batch,grpc,1024,capacity,1,__aarch64_swp4_rel,0.75
batch,grpc,1024,capacity,1,__aarch64_cas1_rel,0.71
batch,grpc,1024,capacity,1,__fget_files,0.67
batch,grpc,1024,capacity,1,<tracing::instrument::Instrumented<T> as core::future::future::Future>::poll,0.66
batch,grpc,1024,capacity,1,h2::proto::connection::DynConnection<B>::recv_frame,0.65
batch,grpc,1024,capacity,1,dmesh_l7::l7_worker_run::{{closure}},0.64
batch,grpc,1024,capacity,1,"<futures_util::future::try_future::ErrInto<Fut,E> as core::future::future::Future>::poll",0.64
batch,grpc,1024,capacity,1,slab::Slab<T>::insert_at,0.63
batch,grpc,1024,capacity,1,http::header::map::hash_elem_using,0.62
batch,grpc,1024,capacity,1,_rjem_malloc,0.61
batch,grpc,1024,capacity,1,h2::frame::headers::HeaderBlock::load,0.6
batch,grpc,1024,capacity,1,"<futures_util::future::try_future::MapOk<Fut,F> as core::future::future::Future>::poll",0.6
batch,grpc,1024,capacity,1,"<S as linkerd_stack::box_service::sealed::BoxCloneSyncService<Req,Rsp>>::box_clone_sync",0.58
batch,grpc,1024,capacity,1,<core::hash::sip::Hasher<S> as core::hash::Hasher>::write,0.56
batch,grpc,1024,capacity,1,"<linkerd_stack::either::vendor::Either<A,B> as core::future::future::Future>::poll",0.53
batch,grpc,1024,capacity,1,get_random_u32,0.53
batch,grpc,1024,capacity,1,<dmesh_l7::ExternalBackend as dmesh_doca::runtime::RuntimeBackend>::drain,0.52
batch,grpc,1024,capacity,1,0x00000000000004c8,0.5
batch,grpc,1024,capacity,1,__aarch64_ldadd4_acq_rel,0.5
batch,grpc,1024,capacity,1,h2::proto::streams::prioritize::Prioritize::pop_frame,0.49
batch,grpc,1024,capacity,1,tokio::runtime::task::raw::poll,0.46
batch,grpc,1024,capacity,1,http::header::map::HeaderMap<T>::remove,0.46
batch,grpc,1024,capacity,1,"<tower::util::map_future::MapFuture<S,F> as tower_service::Service<R>>::call",0.45
batch,grpc,1024,capacity,1,<linkerd_http_box::body::Inner<B> as http_body::Body>::is_end_stream,0.42
batch,grpc,1024,capacity,1,http::header::map::HeaderMap<T>::try_append2,0.42
batch,grpc,1024,capacity,1,0x00000000000004b8,0.41
batch,grpc,1024,capacity,1,h2::frame::headers::HeaderBlock::load::{{closure}},0.4
batch,grpc,1024,capacity,1,"tower::ready_cache::cache::ReadyCache<K,S,Req>::poll_pending",0.38
batch,grpc,1024,capacity,1,doca_buf_inventory_buf_get_by_args,0.38
batch,grpc,1024,capacity,1,hrtimer_start_range_ns,0.37
batch,grpc,1024,capacity,1,h2::proto::streams::buffer::Deque::pop_front,0.37
batch,grpc,1024,capacity,1,"prometheus_client::metrics::family::Family<S,M,C>::get_or_create",0.37
batch,grpc,1024,capacity,1,<linkerd_stack::box_future::BoxFuture<T> as tower_service::Service<R>>::poll_ready,0.37
batch,grpc,1024,capacity,1,h2::proto::streams::recv::Recv::recv_headers,0.36
batch,grpc,1024,capacity,1,"<linkerd_router::OneshotRoute<Sel,N> as tower_service::Service<Req>>::call",0.35
batch,grpc,1024,capacity,1,<linkerd_http_box::body::Data as bytes::buf::buf_impl::Buf>::remaining,0.32
batch,grpc,1024,capacity,1,arch_local_irq_enable,0.32
batch,grpc,1024,capacity,1,aa_file_perm,0.32
batch,grpc,1024,capacity,1,<linkerd_http_stream_timeouts::ResponseFuture<F> as core::future::future::Future>::poll,0.32
batch,grpc,1024,capacity,1,h2::proto::streams::store::Queue<N>::pop,0.31
batch,grpc,1024,capacity,1,"<tower::util::map_future::MapFuture<S,F> as tower_service::Service<R>>::poll_ready",0.31
batch,grpc,1024,capacity,1,"<linkerd_http_prom::record_response::ResponseFuture<L,F> as core::future::future::Future>::poll",0.3
batch,grpc,1024,capacity,1,ep_send_events,0.3
batch,grpc,1024,capacity,1,__aarch64_cas8_acq_rel,0.3
batch,grpc,1024,capacity,1,devx_async_event_read,0.3
batch,grpc,1024,capacity,1,h2::proto::streams::store::Queue<N>::push,0.3
