EVENT=commit
# event histogram
#
# trigger info: hist:keys=len,common_pid:vals=hitcount:sort=hitcount:size=4096 [paused]
#

{ len:        233, common_pid:    3417510 } hitcount:          1
{ len:        443, common_pid:    3417514 } hitcount:          1
{ len:        548, common_pid:    3417520 } hitcount:          1
{ len:        840, common_pid:    3417514 } hitcount:          1
{ len:        233, common_pid:    3417514 } hitcount:          1
{ len:        338, common_pid:    3417512 } hitcount:          1
{ len:        443, common_pid:    3417520 } hitcount:          1
{ len:        128, common_pid:    3417512 } hitcount:          1
{ len:        758, common_pid:    3417518 } hitcount:          1
{ len:        548, common_pid:    3417512 } hitcount:          1
{ len:        338, common_pid:    3417520 } hitcount:          1
{ len:        128, common_pid:    3417510 } hitcount:          1
{ len:        338, common_pid:    3417514 } hitcount:          1
{ len:        443, common_pid:    3417512 } hitcount:          2
{ len:        128, common_pid:    3417516 } hitcount:          2
{ len:        128, common_pid:    3417520 } hitcount:          2
{ len:        758, common_pid:    3417514 } hitcount:          2
{ len:        840, common_pid:    3417524 } hitcount:          2
{ len:        443, common_pid:    3417516 } hitcount:          2
{ len:        338, common_pid:    3417524 } hitcount:          2
{ len:        233, common_pid:    3417518 } hitcount:          2
{ len:        548, common_pid:    3417524 } hitcount:          3
{ len:        548, common_pid:    3417510 } hitcount:          3
{ len:        233, common_pid:    3417512 } hitcount:          3
{ len:        233, common_pid:    3417520 } hitcount:          3
{ len:        338, common_pid:    3417510 } hitcount:          3
{ len:        128, common_pid:    3417514 } hitcount:          3
{ len:        128, common_pid:    3417524 } hitcount:          3
{ len:        233, common_pid:    3417516 } hitcount:          4
{ len:        840, common_pid:    3417518 } hitcount:          4
{ len:        128, common_pid:    3417518 } hitcount:          5
{ len:        840, common_pid:    3417512 } hitcount:          5
{ len:        840, common_pid:    3417510 } hitcount:          6
{ len:        840, common_pid:    3417516 } hitcount:          7
{ len:       1048, common_pid:    3417516 } hitcount:         10
{ len:        840, common_pid:    3417520 } hitcount:         11
{ len:         13, common_pid:    3417516 } hitcount:         12
{ len:       1048, common_pid:    3417520 } hitcount:         13
{ len:       1048, common_pid:    3417518 } hitcount:         13
{ len:         13, common_pid:    3417524 } hitcount:         13
{ len:         13, common_pid:    3417518 } hitcount:         13
{ len:         13, common_pid:    3417514 } hitcount:         13
{ len:         13, common_pid:    3417512 } hitcount:         13
{ len:         13, common_pid:    3417510 } hitcount:         14
{ len:         13, common_pid:    3417520 } hitcount:         14
{ len:       1048, common_pid:    3417514 } hitcount:         15
{ len:       1048, common_pid:    3417510 } hitcount:         15
{ len:         17, common_pid:    3417518 } hitcount:         16
{ len:         17, common_pid:    3417520 } hitcount:         16
{ len:         17, common_pid:    3417512 } hitcount:         16
{ len:       1048, common_pid:    3417524 } hitcount:         16
{ len:       1048, common_pid:    3417512 } hitcount:         16
{ len:         17, common_pid:    3417510 } hitcount:         17
{ len:         17, common_pid:    3417524 } hitcount:         17
{ len:         17, common_pid:    3417514 } hitcount:         18
{ len:         17, common_pid:    3417516 } hitcount:         18
{ len:        735, common_pid:    3417514 } hitcount:        182
{ len:        735, common_pid:    3417510 } hitcount:        196
{ len:        735, common_pid:    3417524 } hitcount:        204
{ len:        735, common_pid:    3417520 } hitcount:        206
{ len:        735, common_pid:    3417516 } hitcount:        233
{ len:        735, common_pid:    3417512 } hitcount:        235
{ len:        735, common_pid:    3417518 } hitcount:        246
{ len:        917, common_pid:    3417510 } hitcount:        280
{ len:        917, common_pid:    3417520 } hitcount:        319
{ len:        917, common_pid:    3417514 } hitcount:        324
{ len:        917, common_pid:    3417512 } hitcount:        330
{ len:        917, common_pid:    3417516 } hitcount:        334
{ len:        917, common_pid:    3417524 } hitcount:        353
{ len:        917, common_pid:    3417518 } hitcount:        354
{ len:        630, common_pid:    3417512 } hitcount:        586
{ len:        630, common_pid:    3417516 } hitcount:        597
{ len:        630, common_pid:    3417514 } hitcount:        605
{ len:        630, common_pid:    3417520 } hitcount:        605
{ len:        786, common_pid:    3417516 } hitcount:        610
{ len:        786, common_pid:    3417524 } hitcount:        611
{ len:        630, common_pid:    3417510 } hitcount:        611
{ len:        786, common_pid:    3417514 } hitcount:        619
{ len:        786, common_pid:    3417510 } hitcount:        619
{ len:        630, common_pid:    3417524 } hitcount:        635
{ len:        786, common_pid:    3417518 } hitcount:        636
{ len:        786, common_pid:    3417520 } hitcount:        640
{ len:        786, common_pid:    3417512 } hitcount:        660
{ len:        630, common_pid:    3417518 } hitcount:        713
{ len:        655, common_pid:    3417516 } hitcount:       1067
{ len:        525, common_pid:    3417520 } hitcount:       1082
{ len:        525, common_pid:    3417524 } hitcount:       1086
{ len:        525, common_pid:    3417514 } hitcount:       1087
{ len:        525, common_pid:    3417516 } hitcount:       1094
{ len:        525, common_pid:    3417512 } hitcount:       1094
{ len:        655, common_pid:    3417524 } hitcount:       1101
{ len:        655, common_pid:    3417512 } hitcount:       1107
{ len:        655, common_pid:    3417514 } hitcount:       1123
{ len:        655, common_pid:    3417520 } hitcount:       1131
{ len:        525, common_pid:    3417518 } hitcount:       1136
{ len:        655, common_pid:    3417518 } hitcount:       1171
{ len:        525, common_pid:    3417510 } hitcount:       1173
{ len:        655, common_pid:    3417510 } hitcount:       1188
{ len:        420, common_pid:    3417518 } hitcount:       1445
{ len:        524, common_pid:    3417518 } hitcount:       1512
{ len:        420, common_pid:    3417512 } hitcount:       1525
{ len:        420, common_pid:    3417516 } hitcount:       1536
{ len:        420, common_pid:    3417524 } hitcount:       1538
{ len:        524, common_pid:    3417512 } hitcount:       1564
{ len:        420, common_pid:    3417514 } hitcount:       1589
{ len:        524, common_pid:    3417524 } hitcount:       1589
{ len:        524, common_pid:    3417516 } hitcount:       1609
{ len:        524, common_pid:    3417514 } hitcount:       1622
{ len:        420, common_pid:    3417510 } hitcount:       1638
{ len:        420, common_pid:    3417520 } hitcount:       1703
{ len:        524, common_pid:    3417520 } hitcount:       1711
{ len:        524, common_pid:    3417510 } hitcount:       1750
{ len:        393, common_pid:    3417512 } hitcount:       1864
{ len:        393, common_pid:    3417518 } hitcount:       1865
{ len:        393, common_pid:    3417514 } hitcount:       1901
{ len:        393, common_pid:    3417524 } hitcount:       1904
{ len:        315, common_pid:    3417518 } hitcount:       1946
{ len:        393, common_pid:    3417516 } hitcount:       1949
{ len:        262, common_pid:    3417524 } hitcount:       2015
{ len:        315, common_pid:    3417516 } hitcount:       2026
{ len:        315, common_pid:    3417524 } hitcount:       2030
{ len:        315, common_pid:    3417512 } hitcount:       2032
{ len:        262, common_pid:    3417516 } hitcount:       2063
{ len:        262, common_pid:    3417514 } hitcount:       2114
{ len:        262, common_pid:    3417512 } hitcount:       2124
{ len:        262, common_pid:    3417518 } hitcount:       2129
{ len:        393, common_pid:    3417520 } hitcount:       2145
{ len:        315, common_pid:    3417514 } hitcount:       2154
{ len:        393, common_pid:    3417510 } hitcount:       2187
{ len:        315, common_pid:    3417510 } hitcount:       2293
{ len:        315, common_pid:    3417520 } hitcount:       2306
{ len:        262, common_pid:    3417520 } hitcount:       2342
{ len:        210, common_pid:    3417518 } hitcount:       2373
{ len:        262, common_pid:    3417510 } hitcount:       2405
{ len:        210, common_pid:    3417516 } hitcount:       2413
{ len:        210, common_pid:    3417524 } hitcount:       2468
{ len:        210, common_pid:    3417514 } hitcount:       2473
{ len:        210, common_pid:    3417512 } hitcount:       2499
{ len:        210, common_pid:    3417520 } hitcount:       2750
{ len:        210, common_pid:    3417510 } hitcount:       2810
{ len:        131, common_pid:    3417510 } hitcount:       3786
{ len:        105, common_pid:    3417510 } hitcount:       3860
{ len:        131, common_pid:    3417516 } hitcount:       3862
{ len:        105, common_pid:    3417520 } hitcount:       3862
{ len:        105, common_pid:    3417516 } hitcount:       3871
{ len:        131, common_pid:    3417512 } hitcount:       3883
{ len:        131, common_pid:    3417520 } hitcount:       3886
{ len:        105, common_pid:    3417514 } hitcount:       3899
{ len:        131, common_pid:    3417514 } hitcount:       3902
{ len:        131, common_pid:    3417518 } hitcount:       3907
{ len:        105, common_pid:    3417518 } hitcount:       3972
{ len:        105, common_pid:    3417512 } hitcount:       4029
{ len:        105, common_pid:    3417524 } hitcount:       4032
{ len:        131, common_pid:    3417524 } hitcount:       4046

Totals:
    Hits: 167291
    Entries: 154
    Dropped: 0
