arm,protocol,size,mode,kind,rep,valid,elapsed,cpu_seconds,scheduled,rps,p50_us,p99_us,cpu_us_per_scheduled_rpc,dmesh_worker_drain_calls_total,dmesh_worker_arms_total,dmesh_tx_writer_wakes_total,dmesh_tx_accepted_bytes_total,dmesh_worker_maintenances_total,dmesh_worker_local_completions_total,dmesh_worker_drain_progressed_total,dmesh_worker_drain_idle_total,dmesh_tx_publications_total,dmesh_tx_reserve_attempts_total,dmesh_tx_retries_total,dmesh_tx_budget_wait_total,dmesh_tx_errors_total,dmesh_worker_notification_clears_total,dmesh_worker_cross_out_total,dmesh_worker_cross_in_total,dmesh_worker_drain_pending_total,dmesh_worker_data_progressed_total,dmesh_tx_arena_copy_bytes_total,dmesh_worker_pe_progressed_total
batch,grpc,1024,capacity,clean,1,True,8.54716340592131,53.37,280251,33790.0,1878.0,4156.0,190.43643020007065,2174419.0,444578.0,0.0,605628371.0,67733.0,210172.0,1416764.0,681780.0,211958.0,211958.0,0.0,0.0,0.0,444578.0,0.0,0.0,75875.0,1416764.0,605628371.0,210172.0
batch,grpc,1024,capacity,clean,2,True,8.479189937002957,52.9,278211,33536.0,1882.0,5131.0,190.14345227183685,2153389.0,438261.0,0.0,601220905.0,64367.0,208588.0,1406819.0,671481.0,210380.0,210380.0,0.0,0.0,0.0,438261.0,0.0,0.0,75089.0,1406819.0,601220905.0,208588.0
batch,grpc,1024,capacity,clean,3,True,8.540093048010021,53.79,283989,34227.0,1870.0,3893.0,189.40874470490053,2183772.0,443917.0,0.0,613720470.0,65123.0,211104.0,1426533.0,681541.0,212925.0,212925.0,0.0,0.0,0.0,443917.0,0.0,0.0,75698.0,1426533.0,613720470.0,211104.0
batch,grpc,1024,capacity,profile,1,True,16.51775945595,105.35,542331,33281.0,1907.0,4627.0,194.254062555893,4156160.0,840385.0,0.0,1172012103.0,122577.0,407848.0,2730187.0,1278957.0,411280.0,411280.0,0.0,0.0,0.0,840386.0,0.0,0.0,147016.0,2730187.0,1172012103.0,407848.0
batch,grpc,1024,capacity,trace,1,True,12.519259923021309,71.7,347525,32243.0,1977.0,4388.0,206.31609236745558,2667813.0,544085.0,0.0,751021953.0,90399.0,258803.0,1746718.0,816260.0,261007.0,261007.0,0.0,0.0,0.0,544085.0,0.0,0.0,104835.0,1746718.0,751021953.0,258803.0
batch,grpc,1024,matched,clean,1,True,8.523439343902282,53.48,159999,19999.0,1043.0,2108.0,334.25208907555674,2456238.0,477436.0,0.0,345774668.0,68319.0,250039.0,1645312.0,727419.0,251123.0,251123.0,0.0,0.0,0.0,477436.0,0.0,0.0,83507.0,1645312.0,345774668.0,250039.0
batch,grpc,1024,matched,clean,2,True,8.534096572897397,53.56,160000,20000.0,1040.0,2093.0,334.75,2447080.0,473827.0,0.0,345777832.0,65245.0,249527.0,1641306.0,723325.0,250603.0,250603.0,0.0,0.0,0.0,473827.0,0.0,0.0,82449.0,1641306.0,345777832.0,249527.0
batch,grpc,1024,matched,clean,3,True,8.459535880945623,53.71,159999,19999.0,1024.0,2026.0,335.6895980599879,2459261.0,476629.0,0.0,345775705.0,65061.0,250842.0,1647123.0,728343.0,251914.0,251914.0,0.0,0.0,0.0,476629.0,0.0,0.0,83795.0,1647123.0,345775705.0,250842.0
batch,grpc,64,capacity,clean,1,True,8.540951089002192,52.93,289218,34872.0,1822.0,3327.0,183.01073930391607,2211782.0,450776.0,0.0,68262187.0,65109.0,212979.0,1438618.0,699198.0,213240.0,213240.0,0.0,0.0,0.0,450776.0,0.0,0.0,73966.0,1438618.0,68262187.0,212979.0
batch,grpc,64,capacity,clean,2,True,8.537327278987505,53.56,295141,35627.0,1813.0,2918.0,181.4725842902206,2227160.0,455083.0,0.0,69661783.0,65280.0,213463.0,1445733.0,706109.0,213730.0,213730.0,0.0,0.0,0.0,455083.0,0.0,0.0,75318.0,1445733.0,69661783.0,213463.0
