arm,protocol,size,mode,kind,reps,rps,rps_min,rps_max,p50_us,p50_us_min,p50_us_max,p99_us,p99_us_min,p99_us_max,cpu_seconds,cpu_seconds_min,cpu_seconds_max,cpu_us_per_scheduled_rpc,cpu_us_per_scheduled_rpc_min,cpu_us_per_scheduled_rpc_max,dmesh_tx_budget_wait_total,dmesh_tx_budget_wait_total_min,dmesh_tx_budget_wait_total_max,dmesh_tx_writer_wakes_total,dmesh_tx_writer_wakes_total_min,dmesh_tx_writer_wakes_total_max,dmesh_tx_publications_total,dmesh_tx_publications_total_min,dmesh_tx_publications_total_max,dmesh_tx_reserve_attempts_total,dmesh_tx_reserve_attempts_total_min,dmesh_tx_reserve_attempts_total_max,dmesh_tx_arena_copy_bytes_total,dmesh_tx_arena_copy_bytes_total_min,dmesh_tx_arena_copy_bytes_total_max,dmesh_tx_retries_total,dmesh_tx_retries_total_min,dmesh_tx_retries_total_max,dmesh_tx_accepted_bytes_total,dmesh_tx_accepted_bytes_total_min,dmesh_tx_accepted_bytes_total_max,dmesh_worker_drain_calls_total,dmesh_worker_drain_calls_total_min,dmesh_worker_drain_calls_total_max,dmesh_worker_arms_total,dmesh_worker_arms_total_min,dmesh_worker_arms_total_max
batch,grpc,64,capacity,clean,3,35154.0,34872.0,35627.0,1822.0,1813.0,1824.0,3083.0,2918.0,3327.0,53.49,52.93,53.56,183.01073930391607,181.4725842902206,183.54762664580352,0.0,0.0,0.0,0.0,0.0,0.0,213730.0,213240.0,215237.0,213730.0,213240.0,215237.0,68783907.0,68262187.0,69661783.0,0.0,0.0,0.0,68783907.0,68262187.0,69661783.0,2227160.0,2211782.0,2230677.0,453660.0,450776.0,455083.0
batch,grpc,64,capacity,profile,1,34288.0,34288.0,34288.0,1852.0,1852.0,1852.0,4433.0,4433.0,4433.0,104.68,104.68,104.68,187.30016157054442,187.30016157054442,187.30016157054442,0.0,0.0,0.0,0.0,0.0,0.0,413259.0,413259.0,413259.0,413259.0,413259.0,413259.0,131910700.0,131910700.0,131910700.0,0.0,0.0,0.0,131910700.0,131910700.0,131910700.0,4234785.0,4234785.0,4234785.0,859293.0,859293.0,859293.0
batch,grpc,64,capacity,trace,1,28615.0,28615.0,28615.0,1942.0,1942.0,1942.0,5071.0,5071.0,5071.0,70.39,70.39,70.39,200.01136589662718,200.01136589662718,200.01136589662718,0.0,0.0,0.0,0.0,0.0,0.0,259078.0,259078.0,259078.0,259078.0,259078.0,259078.0,83064122.0,83064122.0,83064122.0,0.0,0.0,0.0,83064122.0,83064122.0,83064122.0,2688264.0,2688264.0,2688264.0,552029.0,552029.0,552029.0
batch,grpc,64,matched,clean,3,19999.0,19999.0,19999.0,998.0,997.0,1005.0,2003.0,1990.0,2181.0,53.28,53.2,53.31,333.0020812630079,332.5,333.1895824348902,0.0,0.0,0.0,0.0,0.0,0.0,256791.0,255376.0,256849.0,256791.0,255376.0,256849.0,37768240.0,37768206.0,37768568.0,0.0,0.0,0.0,37768240.0,37768206.0,37768568.0,2522667.0,2511372.0,2527268.0,492089.0,489928.0,493576.0
batch,grpc,1024,capacity,clean,3,33790.0,33536.0,34227.0,1878.0,1870.0,1882.0,4156.0,3893.0,5131.0,53.37,52.9,53.79,190.14345227183685,189.40874470490053,190.43643020007065,0.0,0.0,0.0,0.0,0.0,0.0,211958.0,210380.0,212925.0,211958.0,210380.0,212925.0,605628371.0,601220905.0,613720470.0,0.0,0.0,0.0,605628371.0,601220905.0,613720470.0,2174419.0,2153389.0,2183772.0,443917.0,438261.0,444578.0
batch,grpc,1024,capacity,profile,1,33281.0,33281.0,33281.0,1907.0,1907.0,1907.0,4627.0,4627.0,4627.0,105.35,105.35,105.35,194.254062555893,194.254062555893,194.254062555893,0.0,0.0,0.0,0.0,0.0,0.0,411280.0,411280.0,411280.0,411280.0,411280.0,411280.0,1172012103.0,1172012103.0,1172012103.0,0.0,0.0,0.0,1172012103.0,1172012103.0,1172012103.0,4156160.0,4156160.0,4156160.0,840385.0,840385.0,840385.0
batch,grpc,1024,capacity,trace,1,32243.0,32243.0,32243.0,1977.0,1977.0,1977.0,4388.0,4388.0,4388.0,71.7,71.7,71.7,206.31609236745558,206.31609236745558,206.31609236745558,0.0,0.0,0.0,0.0,0.0,0.0,261007.0,261007.0,261007.0,261007.0,261007.0,261007.0,751021953.0,751021953.0,751021953.0,0.0,0.0,0.0,751021953.0,751021953.0,751021953.0,2667813.0,2667813.0,2667813.0,544085.0,544085.0,544085.0
batch,grpc,1024,matched,clean,3,19999.0,19999.0,20000.0,1040.0,1024.0,1043.0,2093.0,2026.0,2108.0,53.56,53.48,53.71,334.75,334.25208907555674,335.6895980599879,0.0,0.0,0.0,0.0,0.0,0.0,251123.0,250603.0,251914.0,251123.0,250603.0,251914.0,345775705.0,345774668.0,345777832.0,0.0,0.0,0.0,345775705.0,345774668.0,345777832.0,2456238.0,2447080.0,2459261.0,476629.0,473827.0,477436.0
batch,grpc,8192,capacity,clean,3,20960.0,20774.0,21059.0,3027.0,3009.0,3048.0,4777.0,4726.0,4834.0,54.64,54.13,54.69,314.0789450994143,313.0169014245732,314.20328888940486,2.0,1.0,2.0,1.0,1.0,1.0,412220.0,408732.0,414095.0,412220.0,408732.0,414095.0,2869882625.0,2842018125.0,2882296884.0,0.0,0.0,0.0,2869882625.0,2842018125.0,2882296884.0,1271138.0,1269818.0,1277393.0,128871.0,128436.0,129498.0
batch,grpc,8192,capacity,trace,1,17733.0,17733.0,17733.0,3583.0,3583.0,3583.0,5462.0,5462.0,5462.0,81.51,81.51,81.51,373.6385639370714,373.6385639370714,373.6385639370714,1.0,1.0,1.0,1.0,1.0,1.0,514043.0,514043.0,514043.0,514043.0,514043.0,514043.0,3598945932.0,3598945932.0,3598945932.0,0.0,0.0,0.0,3598945932.0,3598945932.0,3598945932.0,1558437.0,1558437.0,1558437.0,155280.0,155280.0,155280.0
