arm,protocol,size,mode,rep,write_calls,vectored_calls,commits,zero_returns,terminal_returns,bytes,mean_commit_bytes,commits_per_mib,full_64k_commits,histogram_dropped
batch,grpc,1024,capacity,1,,,167754,0,0,483044337,2879.480292571265,364.1546020319042,0,0
batch,grpc,64,capacity,1,,,167291,0,0,53619311,320.5152160008608,3271.5326688177697,0,0
batch,grpc,65536,capacity,1,,,850858,0,0,8075352527,9490.834577567584,110.48301299849867,0,0
batch,grpc,8192,capacity,1,,,325989,0,0,2284187970,7006.947995177751,149.64803516761364,0,0
batch,opaque,1024,capacity,1,,,507807,0,0,1751436960,3449.020907549522,304.0213521770147,0,0
batch,opaque,64,capacity,1,,,532479,0,0,141668320,266.05428570891996,3941.2107089573733,0,0
lean,grpc,1024,capacity,1,,,194440,0,0,558566303,2872.6923626825755,365.0150686587336,0,0
lean,grpc,64,capacity,1,,,194460,0,0,62603226,321.9336933045356,3257.1179152972086,0,0
lean,grpc,65536,capacity,1,,,916798,0,0,8717268627,9508.385300796905,110.27908176082411,0,0
lean,grpc,8192,capacity,1,,,339264,0,0,2374627933,6999.351339959441,149.81045372214106,0,0
lean,opaque,1024,capacity,1,,,511704,0,0,1766308960,3451.817769648078,303.7750165203261,0,0
lean,opaque,64,capacity,1,,,536410,0,0,142778320,266.173859547734,3939.4401906395874,0,0
