channels,reactors,frame,rep,offered,achieved,ratio,p50_us,p99_us,p999_us,fail,drops,client_core,server_core,dpu_core_total,dpu_core_workers,w0,w1,w2,w3,w4,w5,w6,w7,window_s
1,8,64,1,8000,7999.0,0.9999,276.00,877.00,1151.00,0,0,0.5309,0.4426,0.849569,0.529240,0.013927,0.436391,0.012380,0.015475,0.012380,0.013927,0.012380,0.012380,6.4621
1,8,64,2,8000,7999.0,0.9999,298.00,908.00,1142.00,0,0,0.5700,0.4712,1.088398,0.548824,0.013875,0.013875,0.456325,0.012333,0.013875,0.012333,0.013875,0.012333,6.4866
1,8,64,3,8000,8000.0,1.0000,277.00,874.00,1140.00,0,0,0.5514,0.4550,1.308311,0.540625,0.013902,0.012357,0.013902,0.447946,0.012357,0.012357,0.013902,0.013902,6.4740
1,8,64,1,16000,16000.0,1.0000,274.00,761.00,1013.00,0,0,0.9137,0.9862,1.649976,0.619319,0.010784,0.012325,0.013865,0.013865,0.529965,0.012325,0.012325,0.013865,6.4910
1,8,64,2,16000,15999.0,0.9999,276.00,793.00,1086.00,0,0,0.9206,0.9868,1.802531,0.626547,0.017901,0.013770,0.012393,0.013770,0.013770,0.527403,0.013770,0.013770,7.2620
1,8,64,3,16000,16000.0,1.0000,276.00,788.00,1029.00,0,0,0.9202,0.9812,2.178341,0.618638,0.012342,0.012342,0.012342,0.012342,0.013885,0.013885,0.529158,0.012342,6.4820
1,8,64,1,24000,24000.0,1.0000,324.00,984.00,9555.00,0,0,1.3613,1.5467,2.609441,0.719632,0.012301,0.013839,0.012301,0.012301,0.013839,0.012301,0.013839,0.628911,6.5033
1,8,64,2,24000,23999.0,1.0000,305.00,906.00,1167.00,0,0,1.3647,1.5666,2.961201,0.710193,0.617560,0.013895,0.013895,0.013895,0.012351,0.012351,0.013895,0.012351,6.4771
1,8,64,3,24000,23998.0,0.9999,320.00,940.00,1572.00,0,0,1.3670,1.5494,3.318017,0.727742,0.012335,0.627525,0.013876,0.013876,0.015418,0.013876,0.015418,0.015418,6.4858
1,8,64,1,32000,32000.0,1.0000,573.00,1515.00,8335.00,0,0,1.6117,2.1419,3.571155,0.654919,0.012357,0.012357,0.565330,0.012357,0.013902,0.012357,0.012357,0.013902,6.4741
1,8,64,2,32000,31999.0,1.0000,536.00,1337.00,1658.00,0,0,1.6210,2.1403,3.863047,0.664977,0.010825,0.013918,0.012372,0.576828,0.012372,0.013918,0.012372,0.012372,6.4664
1,8,64,3,32000,31998.0,0.9999,555.00,1422.00,1825.00,0,0,1.6145,2.1479,4.159524,0.662621,0.012357,0.013901,0.012357,0.013901,0.571490,0.012357,0.012357,0.013901,6.4743
1,8,64,1,40000,40001.0,1.0000,1836.00,20699.00,29448.00,0,0,1.6951,2.4231,4.114997,0.430315,0.010796,0.013881,0.013881,0.010796,0.012339,0.340860,0.013881,0.013881,6.4836
1,8,64,2,40000,39999.0,1.0000,1680.00,2753.00,3321.00,0,0,1.7229,2.4245,3.930210,0.450309,0.017902,0.012394,0.012394,0.012394,0.012394,0.013771,0.355289,0.013771,7.2617
1,8,64,3,40000,39999.0,1.0000,1702.00,2868.00,3917.00,0,0,1.7189,2.4121,4.529420,0.450155,0.012375,0.013922,0.013922,0.012375,0.013922,0.012375,0.013922,0.357342,6.4644
2,8,64,1,8000,7999.0,0.9999,293.00,860.00,1117.00,0,0,0.6100,0.4572,4.889857,0.587340,0.243568,0.268233,0.012333,0.012333,0.012333,0.012333,0.013874,0.012333,6.4869
2,8,64,2,8000,8000.0,1.0000,314.00,887.00,1123.00,0,0,0.6179,0.4541,5.149342,0.622059,0.012349,0.012349,0.274755,0.270124,0.013892,0.013892,0.012349,0.012349,6.4785
2,8,64,3,8000,8000.0,1.0000,296.00,871.00,1135.00,0,0,0.6003,0.4534,5.383500,0.634534,0.013895,0.015439,0.015439,0.015439,0.273266,0.271722,0.015439,0.013895,6.4772
2,8,64,1,16000,16000.0,1.0000,262.00,719.00,936.00,0,0,0.9549,0.9516,5.963947,0.925253,0.013902,0.012357,0.013902,0.012357,0.012357,0.013902,0.429417,0.417059,6.4739
2,8,64,2,16000,15999.0,0.9999,255.00,701.00,919.00,0,0,0.9712,0.9512,6.208757,0.909650,0.414739,0.417823,0.012334,0.012334,0.013876,0.012334,0.013876,0.012334,6.4860
2,8,64,3,16000,15999.0,0.9999,258.00,719.00,960.00,0,0,0.9676,0.7592,6.558317,0.947057,0.012360,0.012360,0.455760,0.415592,0.012360,0.012360,0.013905,0.012360,6.4727
2,8,64,1,24000,24000.0,1.0000,254.00,692.00,908.00,0,0,1.4213,1.4465,7.135781,1.146738,0.013928,0.012380,0.013928,0.013928,0.541645,0.526169,0.012380,0.012380,6.4618
2,8,64,2,24000,24000.0,1.0000,252.00,677.00,880.00,0,0,1.4176,1.4555,6.796579,1.153929,0.012290,0.013656,0.012290,0.017753,0.013656,0.012290,0.543508,0.528486,7.3228
2,8,64,3,24000,24000.0,1.0000,246.00,679.00,896.00,0,0,1.4345,1.2055,7.879592,1.134031,0.541558,0.513786,0.013886,0.012343,0.012343,0.013886,0.013886,0.012343,6.4813
2,8,64,1,32000,31999.0,1.0000,259.00,690.00,923.00,0,0,1.8134,1.9611,8.516976,1.330248,0.010802,0.012346,0.638889,0.617284,0.012346,0.012346,0.013889,0.012346,6.4800
2,8,64,2,32000,32000.0,1.0000,259.00,687.00,964.00,0,0,1.8246,1.9997,8.944465,1.333660,0.012320,0.012320,0.013860,0.012320,0.636030,0.620630,0.013860,0.012320,6.4934
2,8,64,3,32000,31999.0,1.0000,261.00,702.00,948.00,0,0,1.8139,2.0353,9.410311,1.335288,0.013893,0.015437,0.013893,0.015437,0.013893,0.012349,0.628280,0.622106,6.4780
2,8,64,1,40000,39999.0,1.0000,254.00,656.00,3418.00,0,0,2.1848,2.5429,10.118761,1.485690,0.694970,0.711958,0.013899,0.012355,0.013899,0.012355,0.012355,0.013899,6.4751
2,8,64,2,40000,40000.0,1.0000,261.00,662.00,907.00,0,0,2.1810,2.5442,10.562753,1.503032,0.012307,0.012307,0.715363,0.707671,0.013846,0.013846,0.013846,0.013846,6.5002
2,8,64,3,40000,39999.0,1.0000,257.00,626.00,850.00,0,0,2.2151,2.3668,11.139939,1.516624,0.012355,0.010811,0.013900,0.012355,0.733602,0.708891,0.012355,0.012355,6.4749
4,8,64,1,8000,8000.0,1.0000,357.00,894.00,1167.00,0,0,0.6395,0.4646,10.502936,0.606804,0.125385,0.140865,0.013932,0.013932,0.013932,0.013932,0.142413,0.142413,6.4601
4,8,64,2,8000,8000.0,1.0000,375.00,891.00,1083.00,0,0,0.6422,0.4662,9.623690,0.623057,0.011003,0.017880,0.143042,0.143042,0.140291,0.141666,0.013754,0.012379,7.2706
4,8,64,3,8000,7999.0,0.9999,372.00,876.00,1087.00,0,0,0.6304,0.4873,10.919486,0.601143,0.126719,0.140627,0.012363,0.012363,0.012363,0.013908,0.140627,0.142173,6.4710
4,8,64,1,16000,16000.0,1.0000,264.00,714.00,1029.00,0,0,1.0053,0.8894,11.739992,1.152374,0.012358,0.013903,0.274963,0.278052,0.274963,0.270329,0.013903,0.013903,6.4736
4,8,64,2,16000,15999.0,0.9999,262.00,681.00,908.00,0,0,1.0107,0.9352,11.990998,1.124013,0.245155,0.272908,0.013877,0.012335,0.012335,0.013877,0.277534,0.275992,6.4857
4,8,64,3,16000,16000.0,1.0000,266.00,710.00,1002.00,0,0,0.9992,0.9088,12.285801,1.159820,0.013844,0.015382,0.275342,0.275342,0.276880,0.272266,0.015382,0.015382,6.5010
4,8,64,1,24000,24000.0,1.0000,250.00,610.00,878.00,0,0,1.4030,1.3265,12.983448,1.474832,0.342482,0.362537,0.013884,0.013884,0.012342,0.012342,0.364080,0.353281,6.4821
4,8,64,2,24000,23999.0,1.0000,254.00,630.00,875.00,0,0,1.4105,1.3376,13.309259,1.501614,0.013890,0.013890,0.370388,0.364214,0.359585,0.351868,0.015433,0.012346,6.4797
4,8,64,3,24000,24000.0,1.0000,249.00,607.00,865.00,0,0,1.3876,1.2747,13.605706,1.484540,0.344955,0.363435,0.013860,0.012320,0.012320,0.013860,0.363435,0.360355,6.4936
4,8,64,1,32000,32000.0,1.0000,243.00,565.00,775.00,0,0,1.8126,1.7171,14.332430,1.766104,0.013882,0.012340,0.444225,0.427258,0.428801,0.413376,0.013882,0.012340,6.4832
4,8,64,2,32000,32000.0,1.0000,237.00,541.00,740.00,0,0,1.6510,1.4963,12.274017,1.630584,0.397274,0.398532,0.013829,0.012572,0.012572,0.013829,0.397274,0.384702,7.9542
4,8,64,3,32000,31999.0,1.0000,242.00,550.00,757.00,0,0,1.8069,1.7047,15.169220,1.760643,0.012301,0.013839,0.441314,0.435164,0.419787,0.413636,0.012301,0.012301,6.5033
4,8,64,1,40000,39999.0,1.0000,230.00,529.00,736.00,0,0,2.1856,2.0573,15.972008,2.059419,0.494138,0.503345,0.015346,0.013811,0.012277,0.013811,0.506415,0.500276,6.5164
4,8,64,2,40000,39999.0,1.0000,236.00,560.00,1412.00,0,0,2.2065,2.2085,16.569058,2.071323,0.013870,0.012329,0.519372,0.505502,0.500878,0.494714,0.012329,0.012329,6.4886
4,8,64,3,40000,39999.0,1.0000,233.00,579.00,9323.00,0,0,2.1893,2.2432,17.071368,2.056885,0.485332,0.508443,0.013867,0.012326,0.013867,0.013867,0.506903,0.502280,6.4904
4,8,64,1,48000,47999.0,1.0000,237.00,519.00,729.00,0,0,2.5992,2.6193,18.029748,2.367824,0.012357,0.013901,0.585391,0.577669,0.577669,0.574579,0.013901,0.012357,6.4743
4,8,64,2,48000,47999.0,1.0000,234.00,514.00,728.00,0,0,2.5847,2.7090,18.304990,2.355107,0.552621,0.580023,0.013701,0.013701,0.013701,0.013701,0.584591,0.583068,6.5687
4,8,64,3,48000,47999.0,1.0000,239.00,540.00,7095.00,0,0,2.6018,2.7224,19.110830,2.365868,0.012362,0.012362,0.584127,0.579491,0.581036,0.568674,0.013908,0.013908,6.4712
4,8,64,1,56000,55999.0,1.0000,254.00,623.00,3995.00,0,0,3.0369,3.0894,19.788288,2.528844,0.583816,0.628370,0.013827,0.013827,0.012291,0.012291,0.636052,0.628370,6.5089
4,8,64,2,56000,55999.0,1.0000,246.00,541.00,1361.00,0,0,3.0300,3.0850,18.566779,2.569031,0.015104,0.016477,0.630243,0.630243,0.628870,0.622005,0.012358,0.013731,7.2829
4,8,64,3,56000,55999.0,1.0000,243.00,541.00,1418.00,0,0,3.0315,3.1419,21.022490,2.535444,0.588063,0.626549,0.015394,0.013855,0.013855,0.015394,0.631167,0.631167,6.4959
8,8,64,1,8000,8000.0,1.0000,437.00,1000.00,1409.00,0,0,0.7396,0.4783,19.351854,0.575896,0.066390,0.071022,0.074110,0.072566,0.072566,0.072566,0.074110,0.072566,6.4769
8,8,64,2,8000,7999.0,0.9999,432.00,992.00,2346.00,0,0,0.7398,0.4710,19.544558,0.580105,0.064799,0.072513,0.074056,0.072513,0.074056,0.072513,0.075599,0.074056,6.4816
8,8,64,3,8000,8000.0,1.0000,439.00,1039.00,2266.00,0,0,0.7463,0.4643,19.712456,0.591096,0.067730,0.073887,0.073887,0.073887,0.075426,0.078505,0.073887,0.073887,6.4964
8,8,64,1,16000,16000.0,1.0000,271.00,777.00,10584.00,0,0,1.0544,0.9110,20.577299,1.124669,0.126506,0.140391,0.143476,0.143476,0.143476,0.141934,0.143476,0.141934,6.4819
8,8,64,2,16000,16000.0,1.0000,269.00,745.00,8226.00,0,0,1.0527,0.9026,20.832112,1.118430,0.126498,0.137297,0.145010,0.141925,0.141925,0.141925,0.143468,0.140382,6.4823
8,8,64,3,16000,15999.0,0.9999,272.00,755.00,1188.00,0,0,1.0573,0.9166,21.196447,1.123025,0.125469,0.140959,0.144057,0.142508,0.142508,0.144057,0.140959,0.142508,6.4558
8,8,64,1,24000,23999.0,1.0000,253.00,615.00,4210.00,0,0,1.4236,1.3141,21.925404,1.657501,0.187410,0.204307,0.213524,0.208916,0.211988,0.208916,0.211988,0.210452,6.5098
8,8,64,2,24000,24000.0,1.0000,252.00,611.00,1807.00,0,0,1.4062,1.2568,20.045934,1.654092,0.188648,0.203685,0.211888,0.209154,0.210521,0.210521,0.210521,0.209154,7.3152
8,8,64,3,24000,23999.0,1.0000,251.00,582.00,839.00,0,0,1.4256,1.1885,22.759876,1.667463,0.188187,0.209783,0.214410,0.211325,0.211325,0.211325,0.211325,0.209783,6.4829
8,8,64,1,32000,31999.0,1.0000,247.00,507.00,722.00,0,0,1.8029,1.7630,23.699616,2.201712,0.249599,0.274251,0.280414,0.277333,0.280414,0.278873,0.281955,0.278873,6.4904
8,8,64,2,32000,32000.0,1.0000,245.00,500.00,682.00,0,0,1.8051,1.6530,24.120008,2.209784,0.249120,0.275262,0.282951,0.279875,0.281413,0.281413,0.281413,0.278337,6.5029
8,8,64,3,32000,31999.0,1.0000,247.00,518.00,991.00,0,0,1.8056,1.7502,24.549033,2.207986,0.248917,0.278111,0.281184,0.278111,0.281184,0.278111,0.281184,0.281184,6.5082
8,8,64,1,40000,40000.0,1.0000,246.00,548.00,1021.00,0,0,2.1974,2.0444,25.191108,2.663386,0.305164,0.335378,0.341421,0.336889,0.336889,0.336889,0.336889,0.333867,6.6194
8,8,64,2,40000,40000.0,1.0000,245.00,539.00,744.00,0,0,2.2259,2.0607,26.021517,2.686754,0.305000,0.337185,0.341783,0.340251,0.343316,0.340251,0.341783,0.337185,6.5246
8,8,64,3,40000,40000.0,1.0000,246.00,540.00,742.00,0,0,2.2319,2.0963,26.626574,2.679425,0.304550,0.336851,0.346079,0.339927,0.339927,0.338389,0.336851,0.336851,6.5014
8,8,64,1,48000,48000.0,1.0000,243.00,515.00,829.00,0,0,2.6030,2.4594,27.290253,2.723627,0.013880,0.370142,0.490438,0.373226,0.370142,0.370142,0.368600,0.367057,6.4840
8,8,64,2,48000,47999.0,1.0000,245.00,534.00,1456.00,0,0,2.5617,2.4068,24.953039,2.883980,0.336509,0.363538,0.368944,0.362187,0.364890,0.363538,0.364890,0.359484,7.3995
8,8,64,3,48000,48000.0,1.0000,244.00,515.00,858.00,0,0,2.6220,2.4343,28.555606,2.933077,0.342987,0.370672,0.369134,0.370672,0.373748,0.369134,0.367596,0.369134,6.5017
8,8,64,1,56000,55999.0,1.0000,246.00,495.00,970.00,0,0,2.9939,2.8205,29.526662,3.219885,0.384164,0.408850,0.415021,0.401136,0.407307,0.396507,0.408850,0.398050,6.4816
8,8,64,2,56000,55999.0,1.0000,242.00,495.00,984.00,0,0,2.9883,2.8584,30.031380,3.199410,0.379930,0.401464,0.409155,0.406079,0.403003,0.396850,0.406079,0.396850,6.5012
8,8,64,3,56000,55999.0,1.0000,247.00,498.00,825.00,0,0,2.9964,2.8250,30.671429,3.223225,0.381738,0.409445,0.414063,0.398670,0.410984,0.407906,0.403288,0.397131,6.4966
2,8,64,1,48000,48000.0,1.0000,271.00,733.00,14677.00,0,0,2.5517,3.0566,29.297000,1.578443,0.012165,0.012165,0.013686,0.752726,0.748164,0.015207,0.012165,0.012165,6.5761
2,8,64,2,48000,48000.0,1.0000,273.00,7085.00,18499.00,0,0,2.5677,2.9667,30.173463,1.563487,0.010793,0.013877,0.012335,0.013877,0.012335,0.753990,0.733945,0.012335,6.4855
2,8,64,3,48000,47999.0,1.0000,271.00,712.00,2857.00,0,0,2.5772,3.1475,30.702633,1.568253,0.734830,0.013865,0.013865,0.012324,0.012324,0.012324,0.012324,0.756397,6.4913
2,8,64,1,56000,55999.0,1.0000,306.00,839.00,5903.00,0,0,2.9166,3.5716,31.328143,1.617205,0.012333,0.770832,0.766207,0.013875,0.012333,0.013875,0.013875,0.013875,6.4865
2,8,64,2,56000,55999.0,1.0000,305.00,811.00,1510.00,0,0,2.9386,3.5920,28.617292,1.631314,0.010976,0.012348,0.013720,0.779299,0.776555,0.012348,0.013720,0.012348,7.2886
2,8,64,3,56000,56000.0,1.0000,311.00,834.00,2461.00,0,0,2.9683,3.5055,32.424198,1.623828,0.012313,0.013853,0.013853,0.013853,0.013853,0.778821,0.763429,0.013853,6.4970
2,8,64,1,64000,63999.0,1.0000,718.00,6297.00,14568.00,0,0,3.1506,3.8429,32.567336,1.485677,0.691688,0.013742,0.015269,0.013742,0.012215,0.013742,0.013742,0.711537,6.5492
2,8,64,2,64000,64000.0,1.0000,695.00,4507.00,12413.00,0,0,3.1213,3.8253,33.303122,1.506864,0.013824,0.717336,0.706584,0.013824,0.013824,0.013824,0.013824,0.013824,6.5102
2,8,64,3,64000,63978.0,0.9997,760.00,8376.00,18230.00,0,0,3.1150,3.7756,33.525783,1.482215,0.012187,0.012187,0.013710,0.709879,0.693122,0.015233,0.013710,0.012187,6.5645
4,8,64,1,64000,62441.0,0.9756,134339.00,236063.00,245394.00,0,0,3.2808,3.4894,35.464829,2.665135,0.626911,0.012232,0.013761,0.013761,0.013761,0.665138,0.660550,0.659021,6.5400
4,8,64,2,64000,62970.0,0.9839,96971.00,168353.00,173562.00,0,0,3.2811,3.5134,36.109834,2.683031,0.012258,0.657350,0.661947,0.657350,0.651221,0.013791,0.013791,0.015323,6.5262
4,8,64,3,64000,62057.0,0.9696,246336.00,300102.00,302348.00,0,0,3.2622,3.5200,36.520969,2.638727,0.618094,0.013735,0.015262,0.013735,0.013735,0.657774,0.653196,0.653196,6.5524
4,8,64,1,72000,62280.0,0.8650,687422.00,1350120.83,1350120.83,0,0,3.2568,3.4003,36.915782,2.676989,0.010605,0.652961,0.665081,0.659021,0.649931,0.013635,0.013635,0.012120,6.6007
4,8,64,2,72000,63429.0,0.8810,627806.00,1190209.03,1190209.03,0,0,3.3106,3.5061,34.277226,2.683793,0.628500,0.017801,0.015062,0.015062,0.012324,0.669579,0.659994,0.665471,7.3031
4,8,64,3,72000,62308.0,0.8654,657876.00,1346657.32,1346657.32,0,0,3.2494,3.2198,38.877154,2.682992,0.012336,0.655328,0.666122,0.659954,0.650702,0.012336,0.013878,0.012336,6.4853
4,8,64,1,80000,63037.0,0.7880,2122571.88,2122571.88,2122571.88,0,0,3.2959,3.4479,39.236881,2.688674,0.632359,0.013780,0.015311,0.013780,0.015311,0.672169,0.662982,0.662982,6.5311
4,8,64,2,80000,63521.0,0.7940,1015839.00,2059974.04,2059974.04,0,0,3.3093,3.5416,40.188098,2.695035,0.013876,0.659883,0.667592,0.658341,0.656799,0.012334,0.013876,0.012334,6.4860
4,8,64,3,80000,62202.0,0.7775,2230578.55,2230578.55,2230578.55,0,0,3.2626,3.4685,40.669282,2.644819,0.618509,0.013847,0.012309,0.012309,0.015386,0.661589,0.655435,0.655435,6.4995
8,8,64,1,64000,62857.0,0.9821,50891.00,188984.00,190976.00,0,0,3.1930,3.1714,41.715296,3.306264,0.400713,0.418997,0.423567,0.408331,0.420520,0.414426,0.409855,0.409855,6.5633
