channels,reactors,frame,rep,offered,achieved,ratio,p50_us,p99_us,p999_us,fail,drops,client_core,server_core,dpu_core_total,dpu_core_workers,w0,w1,w2,w3,w4,w5,w6,w7,window_s
1,8,64,1,16000,15998.0,0.9999,283.00,721.00,944.00,0,0,0.9632,0.9861,1.035484,0.794386,0.012364,0.013909,0.703202,0.012364,0.012364,0.015455,0.012364,0.012364,6.4704
1,8,64,1,32000,31998.0,0.9999,349.00,1059.00,1377.00,0,0,1.7214,2.3340,1.116427,0.836934,0.010809,0.012353,0.013897,0.748919,0.012353,0.012353,0.012353,0.013897,6.4760
1,8,64,1,48000,20936.0,0.4362,4952406.23,4952406.23,4952406.23,0,0,1.7925,2.5052,0.557100,0.439816,0.012346,0.013889,0.012346,0.012346,0.348765,0.013889,0.013889,0.012346,6.4800
2,8,64,1,16000,15998.0,0.9999,265.00,637.00,946.00,0,0,0.9204,0.8885,1.231930,0.967282,0.012381,0.445724,0.445724,0.013929,0.012381,0.012381,0.012381,0.012381,6.4614
2,8,64,1,32000,31998.0,0.9999,250.00,455.00,647.00,0,0,1.8189,1.6531,1.820349,1.481608,0.012207,0.012207,0.012207,0.712575,0.689687,0.013733,0.015259,0.013733,6.5537
2,8,64,1,48000,47998.0,1.0000,278.00,393.00,2317.00,0,0,2.7463,3.3290,2.034927,1.662835,0.013896,0.013896,0.013896,0.013896,0.015439,0.787414,0.790502,0.013896,6.4769
2,8,64,1,64000,64000.0,1.0000,335.00,646.00,1477.00,0,0,3.4496,4.3127,1.948533,1.582893,0.748249,0.012342,0.015428,0.012342,0.013885,0.012342,0.015428,0.752877,6.4818
2,8,64,1,100000,3569.0,0.0357,9160630.98,9160630.98,9160630.98,0,0,2.2097,1.7519,0.221785,0.183214,0.011020,0.017908,0.093674,0.011020,0.012398,0.013776,0.011020,0.012398,7.2592
2,8,64,1,140000,5543.0,0.0396,294159.00,4512005.08,4512005.08,0,12154,1.9291,0.0008,0.102158,0.091324,0.010835,0.012383,0.010835,0.010835,0.010835,0.010835,0.012383,0.012383,6.4607
4,8,64,1,16000,15998.0,0.9999,275.00,559.00,793.00,0,0,0.9052,0.8491,1.429409,1.167274,0.012336,0.274471,0.276013,0.282181,0.280639,0.013878,0.013878,0.013878,6.4852
4,8,64,1,32000,31998.0,0.9999,249.00,423.00,613.00,0,0,1.7645,1.7445,2.080636,1.744403,0.413351,0.015424,0.013881,0.015424,0.015424,0.428774,0.431859,0.410266,6.4836
4,8,64,1,48000,47998.0,1.0000,249.00,371.00,2500.00,0,0,2.6853,2.7558,2.579305,2.200493,0.012319,0.525100,0.543579,0.531260,0.548198,0.012319,0.013859,0.013859,6.4940
4,8,64,1,64000,63998.0,1.0000,254.00,359.00,850.00,0,0,3.5799,3.8508,3.076047,2.672882,0.638599,0.013849,0.012310,0.015388,0.013849,0.667836,0.666297,0.644754,6.4986
8,8,64,1,16000,15998.0,0.9999,276.00,603.00,918.00,0,0,0.9012,0.8258,1.379683,1.128411,0.129490,0.141822,0.143364,0.144905,0.144905,0.141822,0.143364,0.138739,6.4870
8,8,64,1,32000,31998.0,0.9999,260.00,399.00,635.00,0,0,1.7469,1.8093,2.544238,2.209591,0.250604,0.278109,0.279637,0.284221,0.281165,0.279637,0.278109,0.278109,6.5442
8,8,64,1,48000,47998.0,1.0000,261.00,338.00,632.00,0,0,2.6517,2.5386,3.450772,3.079916,0.366333,0.388947,0.388947,0.396484,0.385932,0.388947,0.388947,0.375379,6.6333
8,8,64,1,64000,63998.0,1.0000,249.00,338.00,637.00,0,0,3.4669,3.3697,3.629385,3.234820,0.403777,0.409918,0.409918,0.402241,0.411453,0.400706,0.405312,0.391495,6.5135
8,8,64,1,100000,100162.0,1.0016,262.00,491.00,13899.00,0,0,5.3667,5.0943,4.714208,4.295708,0.502201,0.545401,0.540001,0.542701,0.545401,0.538651,0.542701,0.538651,7.4074
8,8,64,1,140000,139969.0,0.9998,397.00,2961.00,4693.00,0,0,6.6769,6.8300,5.134052,4.733437,0.565485,0.591680,0.599384,0.599384,0.597843,0.596302,0.593220,0.590139,6.4900
8,8,64,1,180000,77264.0,0.4292,7130494.29,7130494.29,7130494.29,0,0,3.9167,4.5182,0.273442,0.222461,0.026263,0.032442,0.023173,0.024718,0.026263,0.020083,0.037077,0.032442,6.4731
8,8,64,1,220000,89091.0,0.4050,6865736.08,6865736.08,6865736.08,0,4821,4.3216,4.5875,0.348728,0.285463,0.033947,0.032404,0.047834,0.023146,0.040119,0.052463,0.032404,0.023146,6.4807
16,8,64,1,16000,15998.0,0.9999,275.00,557.00,1345.00,0,0,0.9205,0.8352,1.376312,1.125659,0.129124,0.139758,0.145835,0.142796,0.142796,0.142796,0.142796,0.139758,6.5828
