config,frame,threads,conc,rep,achieved,p50_us,p99_us,p999_us,avg_us,fail,client_core,server_core,dpu_arm_cores,window_s
grpc-envoy-permissive,64,8,1,1,37403.0,207.00,344.00,514.00,213.75,0,3.6334,3.7685,NA,6.0249
grpc-envoy-permissive,64,8,2,1,55703.0,274.00,537.00,755.00,287.12,0,4.4672,4.7782,NA,6.0248
grpc-envoy-permissive,64,8,4,1,64880.0,404.00,1939.00,3277.00,493.09,0,4.1817,4.8861,NA,6.0246
grpc-envoy-permissive,64,8,8,1,77258.0,678.00,2877.00,4168.00,828.30,0,4.0585,5.0035,NA,6.0251
grpc-envoy-permissive,64,8,16,1,94375.0,1183.00,3831.00,5304.00,1356.24,0,4.1111,5.2124,NA,6.0239
grpc-envoy-permissive,64,8,32,1,111701.0,2102.00,5436.00,7072.00,2291.62,0,4.1518,5.3547,NA,6.0253
grpc-envoy-permissive,1024,8,1,1,36114.0,214.00,366.00,549.00,221.37,0,3.5538,3.6797,NA,6.0233
grpc-envoy-permissive,1024,8,2,1,53073.0,287.00,570.00,825.00,301.35,0,4.3435,4.7644,NA,6.0256
grpc-envoy-permissive,1024,8,4,1,61837.0,420.00,2134.00,3531.00,517.38,0,4.1490,4.8937,NA,6.0262
grpc-envoy-permissive,1024,8,8,1,73966.0,690.00,3265.00,5065.00,865.16,0,4.0644,4.9932,NA,6.0264
grpc-envoy-permissive,1024,8,16,1,91135.0,1210.00,4084.00,5625.00,1404.25,0,4.1041,5.1888,NA,6.0266
grpc-envoy-permissive,1024,8,32,1,109581.0,2142.00,5486.00,7048.00,2336.07,0,4.2049,5.3846,NA,6.0260
grpc-envoy-permissive,8192,8,1,1,33507.0,233.00,352.00,422.00,238.63,0,3.6931,3.8903,NA,6.0261
grpc-envoy-permissive,8192,8,2,1,47845.0,320.00,605.00,875.00,334.31,0,4.3280,4.6563,NA,6.0257
grpc-envoy-permissive,8192,8,4,1,55972.0,474.00,2251.00,3766.00,571.62,0,4.2696,4.9003,NA,6.0258
grpc-envoy-permissive,8192,8,8,1,65995.0,789.00,3462.00,4947.00,969.67,0,4.1215,5.0321,NA,6.0267
grpc-envoy-permissive,8192,8,16,1,80952.0,1390.00,4378.00,5966.00,1581.05,0,4.1963,5.2113,NA,6.0202
