config,frame,kind,offered,achieved,client,server,client_cgroup,server_cgroup,p99,drop,clean
grpc-dpumesh,64,bound,4541,4541.0,0.164643,0.151308,0.165706,0.152369,442.0,0.0,1
grpc-dpumesh,64,bound,15135,15134.0,0.506901,0.424593,0.510372,0.427522,292.0,0.0,1
grpc-dpumesh,64,bound,28757,28790.0,0.865433,0.844799,0.871267,0.850263,36113.0,0.0,1
grpc-dpumesh,64,bound,30270,29939.0,0.933844,0.872208,0.940557,0.877912,85491.0,0.0,1
grpc-dpumesh,64,bound,31784,29675.0,0.955578,0.989673,0.962283,0.995789,2158642.76,0.0,0
grpc-dpumesh,64,bound,34811,28303.0,0.989156,0.989158,0.995891,0.995781,2061329.26,0.0,0
grpc-dpumesh,64,common,7568,7568.0,0.266223,0.240499,0.268028,0.242082,416.0,0.0,1
grpc-dpumesh,64,common,22703,22349.0,0.687378,0.69928,0.691974,0.703751,208575.0,0.0,1
grpc-dpumesh,64,common,27243,27243.0,0.825594,0.810243,0.831228,0.815556,23256.0,0.0,1
grpc-dpumesh,1024,bound,3908,3908.0,0.144048,0.135224,0.144997,0.136211,450.0,0.0,1
grpc-dpumesh,1024,bound,13026,13025.0,0.444234,0.355559,0.447147,0.35793,283.0,0.0,1
grpc-dpumesh,1024,bound,24749,24749.0,0.762817,0.742007,0.768322,0.746874,16318.0,0.0,1
grpc-dpumesh,1024,bound,26052,26051.0,0.808064,0.764171,0.813558,0.768996,18219.0,0.0,1
grpc-dpumesh,1024,bound,27355,26601.0,0.863176,0.832791,0.868905,0.838166,317421.0,0.0,0
grpc-dpumesh,1024,bound,29960,29890.0,0.942861,0.875901,0.949686,0.881717,431135.0,0.0,1
grpc-dpumesh,1024,common,6513,6513.0,0.242268,0.210823,0.243927,0.212351,399.0,0.0,1
grpc-dpumesh,1024,common,19539,19539.0,0.609557,0.568734,0.613746,0.572626,10665.0,0.0,1
grpc-dpumesh,1024,common,23447,23446.0,0.714835,0.712068,0.718556,0.715781,15323.0,0.0,1
grpc-dpumesh,8192,bound,3363,3363.0,0.15559,0.132014,0.1566,0.132912,277.0,0.0,1
grpc-dpumesh,8192,bound,11211,11211.0,0.478213,0.408672,0.481504,0.411487,343.0,0.0,1
grpc-dpumesh,8192,bound,21301,21300.0,0.84569,0.863414,0.85147,0.867619,130184.0,0.0,1
grpc-dpumesh,8192,bound,22422,21115.0,0.876193,0.934947,0.882906,0.941082,1493496.46,0.0,0
grpc-dpumesh,8192,bound,23543,23642.0,0.933016,0.937828,0.939727,0.943911,830103.0,0.0,0
grpc-dpumesh,8192,bound,25785,23724.0,0.988892,0.944051,0.995385,0.938282,4039603.83,0.0,0
grpc-dpumesh,8192,common,5606,5606.0,0.263563,0.222501,0.265238,0.223995,292.0,0.0,1
grpc-dpumesh,8192,common,16817,16819.0,0.725942,0.773662,0.730513,0.778473,160458.0,0.0,1
grpc-dpumesh,8192,common,20180,20151.0,0.791549,0.789268,0.796919,0.794278,15861.0,0.0,1
grpc-envoy-permissive,64,bound,7122,7122.0,0.489303,0.434672,0.49429199999999995,0.439597,469.0,0.0,1
grpc-envoy-permissive,64,bound,23741,23740.0,0.98206,0.930925,0.992147,0.9405779999999999,1541.0,0.0,1
grpc-envoy-permissive,64,bound,45107,45111.0,0.981964,0.898483,0.992251,0.907915,8467.0,0.0,1
grpc-envoy-permissive,64,bound,47481,47459.0,0.982,0.89889,0.9920990000000001,0.908165,18660.0,0.0,1
grpc-envoy-permissive,64,bound,49855,49830.0,0.982376,0.923275,0.992228,0.932282,23762.0,0.0,1
grpc-envoy-permissive,64,bound,54603,49593.0,0.981839,0.921372,0.991828,0.930116,952551.0,0.0,0
grpc-envoy-permissive,64,common,7568,7568.0,0.500747,0.462408,0.505911,0.46740099999999996,459.0,0.0,1
grpc-envoy-permissive,64,common,15135,15135.0,0.968197,0.906683,0.9780960000000001,0.9160600000000001,505.0,0.0,1
grpc-envoy-permissive,64,common,22703,22702.0,0.9818,0.937036,0.992018,0.9468799999999999,1446.0,0.0,1
