config,frame,kind,offered,achieved,client,server,p99,drop,clean
grpc-dpumesh,64,bound,1860,1860.0,0.046124,0.073991,529.0,0.0,1
grpc-dpumesh,64,bound,5581,5581.0,0.224856,0.17681,520.0,0.0,1
grpc-dpumesh,64,bound,11162,11162.0,0.352701,0.292156,588.0,0.0,1
grpc-dpumesh,64,bound,18603,18603.0,0.489259,0.477747,397.0,0.0,1
grpc-dpumesh,64,bound,26044,26043.0,0.685393,0.640339,938.0,0.0,1
grpc-dpumesh,64,bound,31625,31624.0,0.801654,0.690153,1305.0,0.0,1
grpc-dpumesh,64,bound,37206,37149.0,0.941837,0.727217,14826.0,0.0,0
grpc-dpumesh,64,bound,39066,38653.0,0.95522,0.809359,105660.0,0.0,0
grpc-dpumesh,64,common,8157,8157.0,0.286205,0.234495,465.0,0.0,1
grpc-dpumesh,64,common,16315,16314.0,0.466816,0.467971,520.0,0.0,1
grpc-dpumesh,64,common,24472,24471.0,0.651829,0.613373,10545.0,0.0,0
grpc-dpumesh,64,common,29366,29365.0,0.773676,0.618922,1287.0,0.0,1
grpc-dpumesh,1024,bound,1896,1896.0,0.080535,0.06903,522.0,0.0,1
grpc-dpumesh,1024,bound,5687,5687.0,0.208398,0.16038,479.0,0.0,1
grpc-dpumesh,1024,bound,11373,11373.0,0.360442,0.316227,645.0,0.0,1
grpc-dpumesh,1024,bound,18956,18955.0,0.524415,0.516746,363.0,0.0,1
grpc-dpumesh,1024,bound,26538,26537.0,0.706538,0.618101,753.0,0.0,1
grpc-dpumesh,1024,bound,32224,32223.0,0.843397,0.639752,1264.0,0.0,1
grpc-dpumesh,1024,bound,37911,37144.0,0.958359,0.738926,202071.0,0.0,0
grpc-dpumesh,1024,bound,39807,39490.0,0.956031,0.887634,136479.0,0.0,0
grpc-dpumesh,1024,common,6762,6762.0,0.245106,0.198968,581.0,0.0,1
grpc-dpumesh,1024,common,13524,13523.0,0.398814,0.367418,487.0,0.0,1
grpc-dpumesh,1024,common,20286,20285.0,0.546277,0.519395,562.0,0.0,1
grpc-dpumesh,1024,common,24343,24342.0,0.666864,0.620741,1219.0,0.0,1
grpc-dpumesh,8192,bound,651,650.0,0.039107,0.060091,582.0,0.0,1
grpc-dpumesh,8192,bound,1952,1952.0,0.091344,0.083652,332.0,0.0,1
grpc-dpumesh,8192,bound,3905,3905.0,0.171939,0.155609,352.0,0.0,1
grpc-dpumesh,8192,bound,6508,6508.0,0.295879,0.26147,335.0,0.0,1
grpc-dpumesh,8192,bound,9111,9111.0,0.353977,0.349206,356.0,0.0,1
grpc-dpumesh,8192,bound,11064,11064.0,0.447742,0.420897,5921.0,0.0,1
grpc-dpumesh,8192,bound,13016,13016.0,0.515215,0.508499,9194.0,0.0,0
grpc-dpumesh,8192,bound,13667,13667.0,0.569928,0.536136,11362.0,0.0,0
grpc-dpumesh,8192,common,3254,3254.0,0.14129,0.130584,413.0,0.0,1
grpc-dpumesh,8192,common,9762,9762.0,0.399715,0.374733,862.0,0.0,1
grpc-dpumesh,8192,common,11714,11714.0,0.468962,0.473555,115997.0,0.0,0
grpc-envoy-permissive,64,bound,2330,2330.0,0.145557,0.154175,604.0,0.0,1
grpc-envoy-permissive,64,bound,6990,6990.0,0.471731,0.405574,510.0,0.0,1
grpc-envoy-permissive,64,bound,13980,13979.0,0.839606,0.800264,469.0,0.0,1
grpc-envoy-permissive,64,bound,23300,23300.0,0.961621,0.955869,1305.0,0.0,1
grpc-envoy-permissive,64,bound,32619,32619.0,0.960441,0.935519,1935.0,0.0,1
grpc-envoy-permissive,64,bound,39609,39612.0,0.960197,0.920371,2990.0,0.0,1
grpc-envoy-permissive,64,bound,46599,46595.0,0.960188,0.89481,9069.0,0.0,1
grpc-envoy-permissive,64,bound,48929,48916.0,0.957483,0.836125,28220.0,0.0,0
grpc-envoy-permissive,64,common,8157,8157.0,0.54358,0.474554,725.0,0.0,1
grpc-envoy-permissive,64,common,16315,16315.0,0.958655,0.933142,651.0,0.0,1
grpc-envoy-permissive,64,common,24472,24471.0,0.96036,0.96036,1494.0,0.0,1
grpc-envoy-permissive,64,common,29366,29366.0,0.961534,0.955394,1741.0,0.0,1
grpc-envoy-permissive,1024,bound,2202,2202.0,0.165702,0.150377,544.0,0.0,1
grpc-envoy-permissive,1024,bound,6607,6607.0,0.454426,0.377729,631.0,0.0,1
grpc-envoy-permissive,1024,bound,13215,13215.0,0.849764,0.777444,666.0,0.0,1
grpc-envoy-permissive,1024,bound,22025,22025.0,0.955527,0.952666,1649.0,0.0,1
grpc-envoy-permissive,1024,bound,30834,30833.0,0.958589,0.951892,2454.0,0.0,1
grpc-envoy-permissive,1024,bound,37442,37445.0,0.961556,0.941057,3487.0,0.0,1
grpc-envoy-permissive,1024,bound,44049,44053.0,0.95906,0.894031,8308.0,0.0,1
grpc-envoy-permissive,1024,bound,46251,46245.0,0.95931,0.878969,22547.0,0.0,0
grpc-envoy-permissive,1024,common,6762,6762.0,0.476417,0.394309,646.0,0.0,1
grpc-envoy-permissive,1024,common,13524,13524.0,0.855711,0.810943,491.0,0.0,1
grpc-envoy-permissive,1024,common,20286,20285.0,0.960855,0.958216,1536.0,0.0,1
grpc-envoy-permissive,1024,common,24343,24342.0,0.95676,0.95168,1879.0,0.0,0
grpc-envoy-permissive,8192,bound,1601,1601.0,0.14181,0.118814,552.0,0.0,1
grpc-envoy-permissive,8192,bound,4803,4803.0,0.385969,0.333293,255.0,0.0,1
grpc-envoy-permissive,8192,bound,9607,9607.0,0.720011,0.662943,401.0,0.0,1
grpc-envoy-permissive,8192,bound,16011,16011.0,0.960279,0.954529,1591.0,0.0,1
grpc-envoy-permissive,8192,bound,22415,22415.0,0.963924,0.952415,2250.0,0.0,1
grpc-envoy-permissive,8192,bound,27219,27221.0,0.959099,0.936556,3150.0,0.0,1
grpc-envoy-permissive,8192,bound,32022,32026.0,0.958939,0.931715,5453.0,0.0,1
grpc-envoy-permissive,8192,bound,33623,33632.0,0.96061,0.907706,9371.0,0.0,0
grpc-envoy-permissive,8192,common,3254,3254.0,0.260597,0.22223,272.0,0.0,1
grpc-envoy-permissive,8192,common,6508,6508.0,0.510335,0.462371,315.0,0.0,1
grpc-envoy-permissive,8192,common,9762,9762.0,0.75254,0.687004,393.0,0.0,1
grpc-envoy-permissive,8192,common,11714,11713.0,0.881163,0.830567,573.0,0.0,1
grpc-envoy-strict,64,bound,2330,2330.0,0.182468,0.160495,585.0,0.0,1
grpc-envoy-strict,64,bound,6990,6990.0,0.515906,0.418095,649.0,0.0,1
grpc-envoy-strict,64,bound,13980,13980.0,0.890133,0.856597,526.0,0.0,1
grpc-envoy-strict,64,bound,23300,23299.0,0.961747,0.957911,1471.0,0.0,1
grpc-envoy-strict,64,bound,32619,32618.0,0.960229,0.944912,2547.0,0.0,1
grpc-envoy-strict,64,bound,39609,39609.0,0.958846,0.915784,3547.0,0.0,1
grpc-envoy-strict,64,bound,46599,46609.0,0.959975,0.915036,9117.0,0.0,1
grpc-envoy-strict,64,bound,48929,48858.0,0.958024,0.829608,47244.0,0.0,0
grpc-envoy-strict,64,common,8157,8157.0,0.597148,0.492503,768.0,0.0,1
grpc-envoy-strict,64,common,16315,16314.0,0.960885,0.955131,1003.0,0.0,1
grpc-envoy-strict,64,common,24472,24472.0,0.960569,0.955016,1564.0,0.0,1
grpc-envoy-strict,64,common,29366,29366.0,0.959936,0.952291,1875.0,0.0,1
grpc-envoy-strict,1024,bound,2121,2121.0,0.177003,0.153084,600.0,0.0,1
grpc-envoy-strict,1024,bound,6364,6364.0,0.48321,0.393088,664.0,0.0,1
grpc-envoy-strict,1024,bound,12728,12728.0,0.90008,0.804225,798.0,0.0,1
grpc-envoy-strict,1024,bound,21214,21213.0,0.952392,0.942887,1511.0,0.0,1
grpc-envoy-strict,1024,bound,29699,29701.0,0.96102,0.949522,2415.0,0.0,1
grpc-envoy-strict,1024,bound,36063,36063.0,0.960541,0.938871,3685.0,0.0,1
grpc-envoy-strict,1024,bound,42427,42443.0,0.953046,0.920321,8143.0,0.0,1
grpc-envoy-strict,1024,bound,44548,44528.0,0.95948,0.890535,27091.0,0.0,0
grpc-envoy-strict,1024,common,6762,6762.0,0.506583,0.403078,682.0,0.0,1
grpc-envoy-strict,1024,common,13524,13523.0,0.920397,0.847184,823.0,0.0,1
grpc-envoy-strict,1024,common,20286,20285.0,0.955819,0.95105,1571.0,0.0,1
grpc-envoy-strict,1024,common,24343,24342.0,0.958771,0.953991,1960.0,0.0,1
grpc-envoy-strict,8192,bound,1327,1327.0,0.122437,0.154002,583.0,0.0,1
grpc-envoy-strict,8192,bound,3982,3982.0,0.336963,0.313988,259.0,0.0,1
grpc-envoy-strict,8192,bound,7964,7964.0,0.674133,0.571154,398.0,0.0,1
grpc-envoy-strict,8192,bound,13273,13273.0,0.959728,0.937698,1188.0,0.0,1
grpc-envoy-strict,8192,bound,18582,18582.0,0.952155,0.949307,2661.0,0.0,1
grpc-envoy-strict,8192,bound,22563,22564.0,0.960296,0.953919,3911.0,0.0,1
grpc-envoy-strict,8192,bound,26545,26546.0,0.960247,0.945049,7091.0,0.0,1
grpc-envoy-strict,8192,bound,27872,27873.0,0.955034,0.933134,10094.0,0.0,0
grpc-envoy-strict,8192,common,3254,3254.0,0.274476,0.247698,298.0,0.0,1
grpc-envoy-strict,8192,common,6508,6507.0,0.561335,0.508427,338.0,0.0,1
grpc-envoy-strict,8192,common,9762,9762.0,0.81573,0.72446,462.0,0.0,1
grpc-envoy-strict,8192,common,11714,11713.0,0.949979,0.84966,820.0,0.0,1
grpc-tcp,64,bound,1631,1631.0,0.081746,0.092202,451.0,0.0,1
grpc-tcp,64,bound,4894,4894.0,0.198365,0.200263,453.0,0.0,1
grpc-tcp,64,bound,9789,9786.0,0.40897,0.391025,220.0,0.0,1
grpc-tcp,64,bound,16315,16314.0,0.674295,0.656851,359.0,0.0,1
grpc-tcp,64,bound,22840,22839.0,0.827319,0.772228,1699.0,0.0,1
grpc-tcp,64,bound,27735,27734.0,0.873166,0.858867,3111.0,0.0,1
grpc-tcp,64,bound,32629,32626.0,0.927539,0.916939,11700.0,0.0,0
grpc-tcp,64,bound,34260,32631.0,0.951849,0.93677,515937.0,0.0,0
grpc-tcp,64,common,8157,8157.0,0.338829,0.323685,588.0,0.0,1
grpc-tcp,64,common,24472,24471.0,0.844443,0.804418,2271.0,0.0,1
grpc-tcp,64,common,29366,29366.0,0.898254,0.886063,5148.0,0.0,1
grpc-tcp,1024,bound,1352,1352.0,0.066524,0.091232,452.0,0.0,1
grpc-tcp,1024,bound,4057,4057.0,0.177832,0.161752,255.0,0.0,1
grpc-tcp,1024,bound,8114,8114.0,0.363074,0.33361,576.0,0.0,1
grpc-tcp,1024,bound,13524,13523.0,0.565468,0.568675,251.0,0.0,1
grpc-tcp,1024,bound,18934,18933.0,0.741286,0.690917,669.0,0.0,1
grpc-tcp,1024,bound,22991,22990.0,0.856019,0.809824,1391.0,0.0,1
grpc-tcp,1024,bound,27048,27050.0,0.923297,0.886213,6682.0,0.0,1
grpc-tcp,1024,bound,28400,28403.0,0.928634,0.898656,7958.0,0.0,0
grpc-tcp,1024,common,6762,6762.0,0.292686,0.277332,558.0,0.0,1
grpc-tcp,1024,common,20286,20285.0,0.794644,0.708847,773.0,0.0,1
grpc-tcp,1024,common,24343,24342.0,0.895617,0.81874,1732.0,0.0,1
grpc-tcp,8192,bound,1186,1186.0,0.059468,0.164245,426.0,0.0,1
grpc-tcp,8192,bound,3558,3558.0,0.178507,0.161416,169.0,0.0,1
grpc-tcp,8192,bound,7116,7116.0,0.355522,0.328905,160.0,0.0,1
grpc-tcp,8192,bound,11860,11860.0,0.571303,0.56655,230.0,0.0,1
grpc-tcp,8192,bound,16604,16603.0,0.783799,0.750747,481.0,0.0,1
grpc-tcp,8192,bound,20162,20162.0,0.931489,0.816623,2923.0,0.0,1
grpc-tcp,8192,bound,23720,23722.0,0.945342,0.883793,34409.0,0.0,0
grpc-tcp,8192,bound,24906,24294.0,0.953663,0.934445,260417.0,0.0,0
grpc-tcp,8192,common,3254,3254.0,0.175391,0.14889,201.0,0.0,1
grpc-tcp,8192,common,6508,6508.0,0.327171,0.306691,169.0,0.0,1
grpc-tcp,8192,common,9762,9762.0,0.488405,0.454472,169.0,0.0,1
grpc-tcp,8192,common,11714,11714.0,0.558187,0.575365,236.0,0.0,1
