config,frame,threads,conc,rep,achieved,p50_us,p99_us,p999_us,avg_us,fail,client_core,server_core,dpu_arm_cores,window_s
grpc-dpumesh,64,8,1,1,30264.0,232.00,626.00,829.00,264.20,0,1.8154,1.6400,2.3183,6.0258
grpc-dpumesh,64,8,2,1,72567.0,215.00,341.00,535.00,220.35,0,3.1955,3.6527,3.7768,6.0259
grpc-dpumesh,64,8,4,1,108125.0,283.00,502.00,1262.00,295.84,0,3.9774,4.9255,4.2236,6.0266
grpc-dpumesh,64,8,8,1,119193.0,471.00,1941.00,3618.00,536.85,0,3.9215,5.1133,3.7987,6.0265
grpc-dpumesh,64,8,16,1,126060.0,917.00,3020.00,4685.00,1015.30,0,3.8384,5.1412,3.2756,6.0266
grpc-dpumesh,64,8,32,1,128739.0,1837.00,5148.00,8298.00,1988.32,0,3.6338,5.0519,2.7582,6.0268
grpc-dpumesh,1024,8,1,1,29974.0,233.00,638.00,904.00,266.76,0,1.8238,1.6556,2.3183,6.0265
grpc-dpumesh,1024,8,2,1,70996.0,220.00,350.00,502.00,225.23,0,3.2106,3.6595,3.7629,6.0264
grpc-dpumesh,1024,8,4,1,107547.0,285.00,501.00,1365.00,297.43,0,4.0519,4.9427,4.2740,6.0272
grpc-dpumesh,1024,8,8,1,117719.0,484.00,1755.00,3305.00,543.57,0,3.9650,5.1351,3.8203,6.0252
grpc-dpumesh,1024,8,16,1,124884.0,932.00,2837.00,4674.00,1024.84,0,3.8914,5.1876,3.3420,6.0266
grpc-dpumesh,1024,8,32,1,128680.0,1856.00,4624.00,7322.00,1989.34,0,3.7289,5.0984,2.8029,6.0260
grpc-dpumesh,8192,8,1,1,31818.0,238.00,487.00,655.00,251.31,0,2.0620,2.0588,3.3443,6.0265
grpc-dpumesh,8192,8,2,1,63804.0,245.00,378.00,522.00,250.66,0,3.1460,3.7793,3.5533,6.0274
grpc-dpumesh,8192,8,4,1,94148.0,325.00,580.00,1412.00,339.78,0,4.0234,4.9540,4.3565,6.0270
grpc-dpumesh,8192,8,8,1,106986.0,539.00,1738.00,3929.00,598.08,0,4.0488,5.1386,4.0784,6.0271
grpc-dpumesh,8192,8,16,1,116297.0,1018.00,2629.00,4466.00,1100.53,0,4.0636,5.2684,3.7245,6.0274
grpc-dpumesh,8192,8,32,1,119016.0,2020.00,4787.00,7257.00,2150.81,0,3.9099,5.1992,3.2368,6.0272
