config,frame,threads,conc,rep,achieved,p50_us,p99_us,p999_us,avg_us,fail,client_core,server_core,dpu_arm_cores,window_s
grpc-linkerd,64,8,1,1,10545.0,718.00,1458.00,1715.00,758.48,0,1.8741,1.4534,NA,6.0264
grpc-linkerd,64,8,2,1,15711.0,990.00,1746.00,2205.00,1018.19,0,1.8685,1.9245,NA,6.0266
grpc-linkerd,64,8,4,1,18665.0,1692.00,2769.00,3358.00,1714.20,0,1.8327,2.0291,NA,6.0259
grpc-linkerd,64,8,8,1,20142.0,3139.00,4991.00,5596.00,3177.42,0,1.7776,1.9824,NA,6.0269
grpc-linkerd,64,8,16,1,21252.0,5860.00,9496.00,10727.00,6022.97,0,1.7000,1.9997,NA,6.0265
grpc-linkerd,64,8,32,1,22421.0,11066.00,17118.00,18508.00,11417.71,0,1.6798,2.0741,NA,6.0268
grpc-linkerd,1024,8,1,1,10283.0,739.00,1459.00,1731.00,777.79,0,2.0053,1.5823,NA,6.0268
grpc-linkerd,1024,8,2,1,13876.0,1115.00,1938.00,2527.00,1152.90,0,1.9337,1.9461,NA,6.0268
grpc-linkerd,1024,8,4,1,15628.0,2001.00,3378.00,4307.00,2047.41,0,1.8258,1.9962,NA,6.0246
grpc-linkerd,1024,8,8,1,17118.0,3661.00,5928.00,6908.00,3738.40,0,1.7646,2.0155,NA,6.0267
grpc-linkerd,1024,8,16,1,18274.0,6828.00,10823.00,12097.00,7004.60,0,1.7155,2.0509,NA,6.0261
grpc-linkerd,1024,8,32,1,19353.0,13188.00,16760.00,20433.00,13230.31,0,1.7547,2.1465,NA,6.0267
grpc-linkerd,8192,8,1,1,10535.0,710.00,1366.00,1708.00,759.25,0,1.8996,1.7830,NA,6.0274
grpc-linkerd,8192,8,2,1,11932.0,1297.00,2251.00,3174.00,1340.79,0,1.8183,1.8848,NA,6.0255
grpc-linkerd,8192,8,4,1,13497.0,2319.00,3844.00,4789.00,2370.63,0,1.7568,1.9642,NA,6.0267
grpc-linkerd,8192,8,8,1,14302.0,4366.00,6894.00,7727.00,4474.13,0,1.6791,1.9212,NA,6.0273
grpc-linkerd,8192,8,16,1,15207.0,8181.00,12559.00,13845.00,8417.54,0,1.6685,1.9929,NA,6.0272
grpc-linkerd,8192,8,32,1,16226.0,15735.00,19845.00,21919.00,15779.70,0,1.7157,2.0910,NA,6.0262
