run_id,generator,config,frame_bytes,threads,duration_s,offered_rps,rep,scheduled,scheduler_drops,schedule_ratio,scheduler_drop_ratio,clean,raw_result
selftest-grpc-p64-r500000-v1,grpc,grpc-envoy-permissive,64,8,1,500000,1,499987,13,0.999974,0.000026,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r500000-v1.result.txt
selftest-grpc-p64-r500000-v2,grpc,grpc-envoy-permissive,64,8,1,500000,2,499989,11,0.999978,0.000022,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r500000-v2.result.txt
selftest-grpc-p64-r500000-v3,grpc,grpc-envoy-permissive,64,8,1,500000,3,499985,15,0.999970,0.000030,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r500000-v3.result.txt
selftest-grpc-p64-r750000-v1,grpc,grpc-envoy-permissive,64,8,1,750000,1,749992,8,0.999989,0.000011,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r750000-v1.result.txt
selftest-grpc-p64-r750000-v2,grpc,grpc-envoy-permissive,64,8,1,750000,2,750004,0,1.000005,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r750000-v2.result.txt
selftest-grpc-p64-r750000-v3,grpc,grpc-envoy-permissive,64,8,1,750000,3,749998,2,0.999997,0.000003,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r750000-v3.result.txt
selftest-grpc-p64-r1125000-v1,grpc,grpc-envoy-permissive,64,8,1,1125000,1,1125030,0,1.000027,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r1125000-v1.result.txt
selftest-grpc-p64-r1125000-v2,grpc,grpc-envoy-permissive,64,8,1,1125000,2,1125040,0,1.000036,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r1125000-v2.result.txt
selftest-grpc-p64-r1125000-v3,grpc,grpc-envoy-permissive,64,8,1,1125000,3,1125066,0,1.000059,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r1125000-v3.result.txt
selftest-grpc-p64-r1687500-v1,grpc,grpc-envoy-permissive,64,8,1,1687500,1,1687566,0,1.000039,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r1687500-v1.result.txt
selftest-grpc-p64-r1687500-v2,grpc,grpc-envoy-permissive,64,8,1,1687500,2,1687562,0,1.000037,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r1687500-v2.result.txt
selftest-grpc-p64-r1687500-v3,grpc,grpc-envoy-permissive,64,8,1,1687500,3,1687550,0,1.000030,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r1687500-v3.result.txt
selftest-grpc-p64-r2531250-v1,grpc,grpc-envoy-permissive,64,8,1,2531250,1,2530907,343,0.999864,0.000136,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r2531250-v1.result.txt
selftest-grpc-p64-r2531250-v2,grpc,grpc-envoy-permissive,64,8,1,2531250,2,2530908,342,0.999865,0.000135,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r2531250-v2.result.txt
selftest-grpc-p64-r2531250-v3,grpc,grpc-envoy-permissive,64,8,1,2531250,3,2530850,400,0.999842,0.000158,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r2531250-v3.result.txt
selftest-grpc-p64-r3796875-v1,grpc,grpc-envoy-permissive,64,8,1,3796875,1,3797305,0,1.000113,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r3796875-v1.result.txt
selftest-grpc-p64-r3796875-v2,grpc,grpc-envoy-permissive,64,8,1,3796875,2,3797295,0,1.000111,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r3796875-v2.result.txt
selftest-grpc-p64-r3796875-v3,grpc,grpc-envoy-permissive,64,8,1,3796875,3,3797458,0,1.000154,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r3796875-v3.result.txt
selftest-grpc-p64-r5695313-v1,grpc,grpc-envoy-permissive,64,8,1,5695313,1,5696224,0,1.000160,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r5695313-v1.result.txt
selftest-grpc-p64-r5695313-v2,grpc,grpc-envoy-permissive,64,8,1,5695313,2,5696236,0,1.000162,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r5695313-v2.result.txt
