run_id,stage,sequence,config,frame_bytes,offered_rps,duration_s,achieved_rps,p50_us,p99_us,scheduled,admission_drops,pending,fail,overflow,reorder,achieved_ratio,schedule_ratio,admission_drop_ratio,client_busy_cores,server_busy_cores,host_busy_cores,host_core_budget,dpu_arm_cores,tx_grow_waits,clean,reason,raw_result
scout-64-grpc-tcp-pilot1-v1,pilot,1,grpc-tcp,64,5000,2,4998.000,134.00,441.00,10000,0,0,0,0,0,0.999600,1.000000,0.000000,0.218175,0.209815,0.427990,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-pilot1-v1.result.attempt1.txt
scout-64-grpc-tcp-pilot2-v1,pilot,2,grpc-tcp,64,6750,2,6748.000,134.00,172.00,13500,0,0,0,0,0,0.999704,1.000000,0.000000,0.299598,0.274278,0.573876,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-pilot2-v1.result.attempt1.txt
scout-64-grpc-tcp-pilot3-v1,pilot,3,grpc-tcp,64,9113,2,9110.000,134.00,516.00,18226,0,0,0,0,0,0.999671,1.000000,0.000000,0.402144,0.372734,0.774878,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-pilot3-v1.result.attempt1.txt
scout-64-grpc-tcp-pilot4-v1,pilot,4,grpc-tcp,64,12303,2,12301.000,157.00,199.00,24606,0,0,0,0,0,0.999837,1.000000,0.000000,0.540930,0.494657,1.035587,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-pilot4-v1.result.attempt1.txt
scout-64-grpc-tcp-pilot5-v1,pilot,5,grpc-tcp,64,16609,2,16606.000,162.00,310.00,33218,0,0,0,0,0,0.999819,1.000000,0.000000,0.737785,0.707416,1.445201,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-pilot5-v1.result.attempt1.txt
scout-64-grpc-tcp-pilot6-v1,pilot,6,grpc-tcp,64,22422,2,22421.000,560.00,1115.00,44838,0,0,0,0,0,0.999955,0.999866,0.000000,0.889821,0.786727,1.676548,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-pilot6-v1.result.attempt1.txt
scout-64-grpc-tcp-pilot7-v1,pilot,7,grpc-tcp,64,30270,2,30516.000,2478.00,33903.00,60503,0,0,0,0,0,1.008127,0.999389,0.000000,0.965638,0.931485,1.897123,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-pilot7-v1.result.attempt1.txt
scout-64-grpc-tcp-pilot8-v1,pilot,8,grpc-tcp,64,40865,2,31633.000,474056.00,632336.00,70302,0,0,0,0,0,0.774085,0.860174,0.000000,0.981919,0.977893,1.959812,2,NA,0,0,achieved+scheduler,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-pilot8-v1.result.attempt1.txt
scout-64-grpc-tcp-validate8-v1,validate,8,grpc-tcp,64,40865,10,25401.000,3870478.23,3870478.23,390988,0,0,0,150942,0,0.621583,0.956780,0.000000,0.996004,0.996385,1.992389,2,NA,0,0,overflow+achieved+scheduler,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-validate8-v1.result.attempt1.txt
scout-64-grpc-tcp-validate8-v2,validate,8,grpc-tcp,64,40865,10,26281.000,3703491.81,3703491.81,372562,0,0,0,153853,0,0.643118,0.911690,0.000000,0.996439,0.996414,1.992853,2,NA,0,0,overflow+achieved+scheduler,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-validate8-v2.result.attempt1.txt
