run_id,generator,config,frame_bytes,threads,duration_s,offered_rps,rep,scheduled,scheduler_drops,schedule_ratio,scheduler_drop_ratio,clean,raw_result
selftest-grpc-p64-r500000-v1,grpc,grpc-envoy-permissive,64,8,1,500000,1,499979,21,0.999958,0.000042,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r500000-v1.result.txt
selftest-grpc-p64-r500000-v2,grpc,grpc-envoy-permissive,64,8,1,500000,2,499984,16,0.999968,0.000032,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r500000-v2.result.txt
selftest-grpc-p64-r500000-v3,grpc,grpc-envoy-permissive,64,8,1,500000,3,499993,7,0.999986,0.000014,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r500000-v3.result.txt
selftest-grpc-p64-r750000-v1,grpc,grpc-envoy-permissive,64,8,1,750000,1,749993,7,0.999991,0.000009,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r750000-v1.result.txt
selftest-grpc-p64-r750000-v2,grpc,grpc-envoy-permissive,64,8,1,750000,2,749980,20,0.999973,0.000027,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r750000-v2.result.txt
selftest-grpc-p64-r750000-v3,grpc,grpc-envoy-permissive,64,8,1,750000,3,749989,11,0.999985,0.000015,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r750000-v3.result.txt
selftest-grpc-p64-r1125000-v1,grpc,grpc-envoy-permissive,64,8,1,1125000,1,1125071,0,1.000063,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r1125000-v1.result.txt
selftest-grpc-p64-r1125000-v2,grpc,grpc-envoy-permissive,64,8,1,1125000,2,1125073,0,1.000065,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r1125000-v2.result.txt
selftest-grpc-p64-r1125000-v3,grpc,grpc-envoy-permissive,64,8,1,1125000,3,1125054,0,1.000048,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r1125000-v3.result.txt
selftest-grpc-p64-r1687500-v1,grpc,grpc-envoy-permissive,64,8,1,1687500,1,1687547,0,1.000028,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r1687500-v1.result.txt
selftest-grpc-p64-r1687500-v2,grpc,grpc-envoy-permissive,64,8,1,1687500,2,1687565,0,1.000039,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r1687500-v2.result.txt
selftest-grpc-p64-r1687500-v3,grpc,grpc-envoy-permissive,64,8,1,1687500,3,1687571,0,1.000042,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r1687500-v3.result.txt
selftest-grpc-p64-r2531250-v1,grpc,grpc-envoy-permissive,64,8,1,2531250,1,2530785,465,0.999816,0.000184,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r2531250-v1.result.txt
selftest-grpc-p64-r2531250-v2,grpc,grpc-envoy-permissive,64,8,1,2531250,2,2530793,457,0.999819,0.000181,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r2531250-v2.result.txt
selftest-grpc-p64-r2531250-v3,grpc,grpc-envoy-permissive,64,8,1,2531250,3,2530906,344,0.999864,0.000136,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r2531250-v3.result.txt
selftest-grpc-p64-r3796875-v1,grpc,grpc-envoy-permissive,64,8,1,3796875,1,3797492,0,1.000163,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r3796875-v1.result.txt
selftest-grpc-p64-r3796875-v2,grpc,grpc-envoy-permissive,64,8,1,3796875,2,3797452,0,1.000152,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r3796875-v2.result.txt
selftest-grpc-p64-r3796875-v3,grpc,grpc-envoy-permissive,64,8,1,3796875,3,3797483,0,1.000160,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r3796875-v3.result.txt
selftest-grpc-p64-r5695313-v1,grpc,grpc-envoy-permissive,64,8,1,5695313,1,5696036,0,1.000127,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r5695313-v1.result.txt
selftest-grpc-p64-r5695313-v2,grpc,grpc-envoy-permissive,64,8,1,5695313,2,5696159,0,1.000149,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r5695313-v2.result.txt
selftest-grpc-p64-r5695313-v3,grpc,grpc-envoy-permissive,64,8,1,5695313,3,5696221,0,1.000159,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r5695313-v3.result.txt
selftest-grpc-p64-r8542970-v1,grpc,grpc-envoy-permissive,64,8,1,8542970,1,8547032,0,1.000475,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r8542970-v1.result.txt
selftest-grpc-p64-r8542970-v2,grpc,grpc-envoy-permissive,64,8,1,8542970,2,8547180,0,1.000493,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r8542970-v2.result.txt
selftest-grpc-p64-r8542970-v3,grpc,grpc-envoy-permissive,64,8,1,8542970,3,8547129,0,1.000487,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/selftest-grpc-p64-r8542970-v3.result.txt
