config,frame_bytes,knee_rps,retained_reps,retained_clean,min_achieved_ratio,max_p99_us,knee_unstable,generator_ceiling_rps,generator_ceiling_status,generator_headroom_ratio
grpc-tcp,64,33876.000,1,1,1.000649,49284.000000,0,NA,NA,NA
grpc-dpumesh,64,29707.000,1,1,1.000034,336065.000000,0,NA,NA,NA
grpc-envoy-permissive,64,52149.000,1,1,0.998945,40541.000000,0,NA,NA,NA
grpc-envoy-strict,64,51180.000,1,1,0.999472,45410.000000,0,NA,NA,NA
grpc-linkerd,64,15701.000,1,1,1.000510,26776.000000,0,NA,NA,NA
grpc-linkerd-opaque,64,50229.000,1,1,0.999602,50054.000000,0,NA,NA,NA
grpc-tcp,1024,30270.000,1,1,0.999240,63170.000000,0,NA,NA,NA
grpc-dpumesh,1024,27560.000,1,1,0.999492,32056.000000,0,NA,NA,NA
grpc-envoy-permissive,1024,48380.000,1,1,0.999711,35278.000000,0,NA,NA,NA
grpc-envoy-strict,1024,46599.000,1,0,0.956372,453678.000000,1,NA,NA,NA
grpc-linkerd,1024,13262.000,1,1,1.000151,21993.000000,0,NA,NA,NA
grpc-linkerd-opaque,1024,44049.000,1,1,0.999955,27563.000000,0,NA,NA,NA
grpc-linkerd,8192,10790.000,1,1,1.000000,11932.000000,0,NA,NA,NA
grpc-linkerd-opaque,8192,25568.000,1,1,1.000000,31451.000000,0,NA,NA,NA
grpc-tcp,8192,26052.000,1,1,0.993014,282916.000000,0,NA,NA,NA
grpc-dpumesh,8192,22005.000,1,1,0.999636,37275.000000,0,NA,NA,NA
grpc-envoy-permissive,8192,35171.000,1,1,0.999716,25661.000000,0,NA,NA,NA
grpc-envoy-strict,8192,28613.000,1,1,1.000315,22811.000000,0,NA,NA,NA
