config,frame_bytes,highest_clean_rps,lowest_bad_rps,bracket_ratio,status,validation_duration_s,highest_clean_client_busy,highest_clean_server_busy,lowest_bad_client_busy,lowest_bad_server_busy,host_core_budget,core_saturated,core_saturation_threshold,highest_clean_dpu_arm_cores,lowest_bad_dpu_arm_cores,highest_clean_tx_grow_waits,lowest_bad_tx_grow_waits,capacity_signal
grpc-tcp,64,33876,34517,1.018922,bracketed,10,0.992962,0.990893,0.996046,0.996428,2,1,0.95,NA,NA,0.000000,0.000000,host_core
grpc-dpumesh,64,29707,30270,1.018952,bracketed,10,0.943770,0.883926,0.935571,0.957483,2,1,0.95,2.250059,2.167210,0.000000,0.000000,host_core
grpc-envoy-permissive,64,52149,53137,1.018946,bracketed,10,0.996563,0.955267,0.996378,0.931274,2,1,0.95,NA,NA,0.000000,0.000000,host_core
grpc-envoy-strict,64,51180,52149,1.018933,bracketed,10,0.996174,0.959151,0.996128,0.949088,2,1,0.95,NA,NA,0.000000,0.000000,host_core
grpc-linkerd,64,15701,15998,1.018916,bracketed,10,0.995875,0.859454,0.996044,0.717052,2,1,0.95,NA,NA,0.000000,0.000000,host_core
grpc-linkerd-opaque,64,50229,51180,1.018933,bracketed,10,0.996133,0.941240,0.996088,0.926769,2,1,0.95,NA,NA,0.000000,0.000000,host_core
grpc-tcp,1024,30270,30843,1.018930,bracketed,10,0.996455,0.994398,0.993948,0.996324,2,1,0.95,NA,NA,0.000000,0.000000,host_core
grpc-dpumesh,1024,27560,28082,1.018940,bracketed,10,0.853754,0.826544,0.870186,0.876637,2,0,0.95,2.294455,2.103789,0.000000,0.000000,achieved_rolloff
grpc-envoy-permissive,1024,48380,49296,1.018933,bracketed,10,0.996247,0.942857,0.995737,0.893188,2,1,0.95,NA,NA,0.000000,0.000000,host_core
grpc-envoy-strict,1024,46599,47481,1.018927,bracketed,10,0.996401,0.954803,0.996117,0.903385,2,1,0.95,NA,NA,0.000000,0.000000,host_core
grpc-linkerd,1024,13262,13513,1.018926,bracketed,10,0.996425,0.869290,0.996263,0.835139,2,1,0.95,NA,NA,0.000000,0.000000,host_core
grpc-linkerd-opaque,1024,44049,44883,1.018933,bracketed,10,0.996259,0.935580,0.996170,0.882581,2,1,0.95,NA,NA,0.000000,0.000000,host_core
grpc-linkerd,8192,10790,10994,1.018906,bracketed,10,0.996169,0.848629,0.995899,0.971329,2,1,0.95,NA,NA,0.000000,0.000000,host_core
grpc-linkerd-opaque,8192,25568,26052,1.018930,bracketed,10,0.996231,0.944783,0.996335,0.913644,2,1,0.95,NA,NA,0.000000,0.000000,host_core
grpc-tcp,8192,26052,26545,1.018924,bracketed,10,0.996246,0.994874,0.996124,0.994555,2,1,0.95,NA,NA,0.000000,0.000000,host_core
grpc-dpumesh,8192,22005,22422,1.018950,bracketed,10,0.889705,0.899470,0.918117,0.930480,2,0,0.95,2.497066,2.419879,3.000000,20.000000,dmesh_tx_backpressure
grpc-envoy-permissive,8192,35171,35837,1.018936,bracketed,10,0.996271,0.918204,0.996314,0.878985,2,1,0.95,NA,NA,0.000000,0.000000,host_core
grpc-envoy-strict,8192,28613,29155,1.018942,bracketed,10,0.996183,0.948874,0.996074,0.906253,2,1,0.95,NA,NA,0.000000,0.000000,host_core
