frame_bytes,config,rate_index,offered_rps,source,min_knee_rps,config_knee_rps
64,grpc-envoy-permissive,1,2607,span,15701,52149
64,grpc-envoy-permissive,2,3925,common,15701,52149
64,grpc-envoy-permissive,3,7822,span,15701,52149
64,grpc-envoy-permissive,4,7851,common,15701,52149
64,grpc-envoy-permissive,5,11776,common,15701,52149
64,grpc-envoy-permissive,6,14131,common,15701,52149
64,grpc-envoy-permissive,7,15645,span,15701,52149
64,grpc-envoy-permissive,8,26075,span,15701,52149
64,grpc-envoy-permissive,9,36504,span,15701,52149
64,grpc-envoy-permissive,10,44327,knee,15701,52149
64,grpc-envoy-permissive,11,49542,knee,15701,52149
64,grpc-envoy-permissive,12,52149,knee,15701,52149
64,grpc-envoy-permissive,13,54756,knee,15701,52149
64,grpc-envoy-permissive,14,59971,knee,15701,52149
64,grpc-envoy-permissive,15,67794,knee,15701,52149
64,grpc-envoy-strict,1,2559,span,15701,51180
64,grpc-envoy-strict,2,3925,common,15701,51180
64,grpc-envoy-strict,3,7677,span,15701,51180
64,grpc-envoy-strict,4,7851,common,15701,51180
64,grpc-envoy-strict,5,11776,common,15701,51180
64,grpc-envoy-strict,6,14131,common,15701,51180
64,grpc-envoy-strict,7,15354,span,15701,51180
64,grpc-envoy-strict,8,25590,span,15701,51180
64,grpc-envoy-strict,9,35826,span,15701,51180
64,grpc-envoy-strict,10,43503,knee,15701,51180
64,grpc-envoy-strict,11,48621,knee,15701,51180
64,grpc-envoy-strict,12,51180,knee,15701,51180
64,grpc-envoy-strict,13,53739,knee,15701,51180
64,grpc-envoy-strict,14,58857,knee,15701,51180
64,grpc-envoy-strict,15,66534,knee,15701,51180
64,grpc-linkerd,1,785,span,15701,15701
64,grpc-linkerd,2,2355,span,15701,15701
64,grpc-linkerd,3,3925,common,15701,15701
64,grpc-linkerd,4,4710,span,15701,15701
64,grpc-linkerd,5,7851,common+span,15701,15701
64,grpc-linkerd,6,10991,span,15701,15701
64,grpc-linkerd,7,11776,common,15701,15701
64,grpc-linkerd,8,13346,knee,15701,15701
64,grpc-linkerd,9,14131,common,15701,15701
64,grpc-linkerd,10,14916,knee,15701,15701
64,grpc-linkerd,11,15701,knee,15701,15701
64,grpc-linkerd,12,16486,knee,15701,15701
64,grpc-linkerd,13,18056,knee,15701,15701
64,grpc-linkerd,14,20411,knee,15701,15701
64,grpc-linkerd-opaque,1,2511,span,15701,50229
64,grpc-linkerd-opaque,2,3925,common,15701,50229
64,grpc-linkerd-opaque,3,7534,span,15701,50229
64,grpc-linkerd-opaque,4,7851,common,15701,50229
64,grpc-linkerd-opaque,5,11776,common,15701,50229
64,grpc-linkerd-opaque,6,14131,common,15701,50229
64,grpc-linkerd-opaque,7,15069,span,15701,50229
64,grpc-linkerd-opaque,8,25115,span,15701,50229
64,grpc-linkerd-opaque,9,35160,span,15701,50229
64,grpc-linkerd-opaque,10,42695,knee,15701,50229
64,grpc-linkerd-opaque,11,47718,knee,15701,50229
64,grpc-linkerd-opaque,12,50229,knee,15701,50229
64,grpc-linkerd-opaque,13,52740,knee,15701,50229
64,grpc-linkerd-opaque,14,57763,knee,15701,50229
64,grpc-linkerd-opaque,15,65298,knee,15701,50229
64,grpc-tcp,1,1694,span,15701,33876
64,grpc-tcp,2,3925,common,15701,33876
64,grpc-tcp,3,5081,span,15701,33876
64,grpc-tcp,4,7851,common,15701,33876
64,grpc-tcp,5,10163,span,15701,33876
64,grpc-tcp,6,11776,common,15701,33876
64,grpc-tcp,7,14131,common,15701,33876
64,grpc-tcp,8,16938,span,15701,33876
64,grpc-tcp,9,23713,span,15701,33876
64,grpc-tcp,10,28795,knee,15701,33876
64,grpc-tcp,11,32182,knee,15701,33876
64,grpc-tcp,12,33876,knee,15701,33876
64,grpc-tcp,13,35570,knee,15701,33876
64,grpc-tcp,14,38957,knee,15701,33876
64,grpc-tcp,15,44039,knee,15701,33876
64,grpc-dpumesh,1,1485,span,15701,29707
64,grpc-dpumesh,2,3925,common,15701,29707
64,grpc-dpumesh,3,4456,span,15701,29707
64,grpc-dpumesh,4,7851,common,15701,29707
64,grpc-dpumesh,5,8912,span,15701,29707
64,grpc-dpumesh,6,11776,common,15701,29707
64,grpc-dpumesh,7,14131,common,15701,29707
64,grpc-dpumesh,8,14854,span,15701,29707
64,grpc-dpumesh,9,20795,span,15701,29707
64,grpc-dpumesh,10,25251,knee,15701,29707
64,grpc-dpumesh,11,28222,knee,15701,29707
64,grpc-dpumesh,12,29707,knee,15701,29707
64,grpc-dpumesh,13,31192,knee,15701,29707
64,grpc-dpumesh,14,34163,knee,15701,29707
64,grpc-dpumesh,15,38619,knee,15701,29707
1024,grpc-envoy-permissive,1,2419,span,13262,48380
1024,grpc-envoy-permissive,2,3316,common,13262,48380
1024,grpc-envoy-permissive,3,6631,common,13262,48380
1024,grpc-envoy-permissive,4,7257,span,13262,48380
1024,grpc-envoy-permissive,5,9947,common,13262,48380
1024,grpc-envoy-permissive,6,11936,common,13262,48380
1024,grpc-envoy-permissive,7,14514,span,13262,48380
1024,grpc-envoy-permissive,8,24190,span,13262,48380
1024,grpc-envoy-permissive,9,33866,span,13262,48380
1024,grpc-envoy-permissive,10,41123,knee,13262,48380
1024,grpc-envoy-permissive,11,45961,knee,13262,48380
1024,grpc-envoy-permissive,12,48380,knee,13262,48380
1024,grpc-envoy-permissive,13,50799,knee,13262,48380
1024,grpc-envoy-permissive,14,55637,knee,13262,48380
1024,grpc-envoy-permissive,15,62894,knee,13262,48380
1024,grpc-envoy-strict,1,2330,span,13262,46599
1024,grpc-envoy-strict,2,3316,common,13262,46599
1024,grpc-envoy-strict,3,6631,common,13262,46599
1024,grpc-envoy-strict,4,6990,span,13262,46599
1024,grpc-envoy-strict,5,9947,common,13262,46599
1024,grpc-envoy-strict,6,11936,common,13262,46599
1024,grpc-envoy-strict,7,13980,span,13262,46599
1024,grpc-envoy-strict,8,23300,span,13262,46599
1024,grpc-envoy-strict,9,32619,span,13262,46599
1024,grpc-envoy-strict,10,39609,knee,13262,46599
1024,grpc-envoy-strict,11,44269,knee,13262,46599
1024,grpc-envoy-strict,12,46599,knee,13262,46599
1024,grpc-envoy-strict,13,48929,knee,13262,46599
1024,grpc-envoy-strict,14,53589,knee,13262,46599
1024,grpc-envoy-strict,15,60579,knee,13262,46599
1024,grpc-linkerd,1,663,span,13262,13262
1024,grpc-linkerd,2,1989,span,13262,13262
1024,grpc-linkerd,3,3316,common,13262,13262
1024,grpc-linkerd,4,3979,span,13262,13262
1024,grpc-linkerd,5,6631,common+span,13262,13262
1024,grpc-linkerd,6,9283,span,13262,13262
1024,grpc-linkerd,7,9947,common,13262,13262
1024,grpc-linkerd,8,11273,knee,13262,13262
1024,grpc-linkerd,9,11936,common,13262,13262
1024,grpc-linkerd,10,12599,knee,13262,13262
1024,grpc-linkerd,11,13262,knee,13262,13262
1024,grpc-linkerd,12,13925,knee,13262,13262
1024,grpc-linkerd,13,15251,knee,13262,13262
1024,grpc-linkerd,14,17241,knee,13262,13262
1024,grpc-linkerd-opaque,1,2202,span,13262,44049
