Linux 5.15.0-186-generic (rapids4) 	08/11/2026 	_x86_64_	(36 CPU)

12:35:11 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:35:12 AM  all    5.39    0.00    1.75    0.08    0.00    0.23    0.00    0.00    0.00   92.55
12:35:12 AM    0    6.32    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   91.58
12:35:12 AM    1   10.10    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   81.82
12:35:12 AM    2    4.17    0.00    3.12    0.00    0.00    1.04    0.00    0.00    0.00   91.67
12:35:12 AM    3    5.21    0.00    2.08    0.00    0.00    1.04    0.00    0.00    0.00   91.67
12:35:12 AM    4    4.21    0.00    1.05    0.00    0.00    1.05    0.00    0.00    0.00   93.68
12:35:12 AM    5    7.07    0.00    5.05    1.01    0.00    0.00    0.00    0.00    0.00   86.87
12:35:12 AM    6    8.08    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   89.90
12:35:12 AM    7    7.14    0.00    3.06    1.02    0.00    0.00    0.00    0.00    0.00   88.78
12:35:12 AM    8    7.29    0.00    8.33    0.00    0.00    0.00    0.00    0.00    0.00   84.38
12:35:12 AM    9    4.21    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   93.68
12:35:12 AM   10    4.17    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   94.79
12:35:12 AM   11   12.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   83.00
12:35:12 AM   12    4.17    0.00    1.04    1.04    0.00    0.00    0.00    0.00    0.00   93.75
12:35:12 AM   13    5.15    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   92.78
12:35:12 AM   14    6.19    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   91.75
12:35:12 AM   15   11.22    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   85.71
12:35:12 AM   16    5.32    0.00    4.26    0.00    0.00    0.00    0.00    0.00    0.00   90.43
12:35:12 AM   17    4.12    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   91.75
12:35:12 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:35:12 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:35:12 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:35:12 AM   21    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
12:35:12 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:35:12 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:35:12 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:35:12 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:35:12 AM   26   41.00    0.00    3.00    0.00    0.00    2.00    0.00    0.00    0.00   54.00
12:35:12 AM   27   36.27    0.00    0.98    0.00    0.00    0.98    0.00    0.00    0.00   61.76
12:35:12 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:35:12 AM   29    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
12:35:12 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:35:12 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:35:12 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:35:12 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:35:12 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:35:12 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:35:12 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:35:13 AM  all    7.34    0.00    1.43    0.03    0.00    0.34    0.00    0.00    0.00   90.86
12:35:13 AM    0    6.12    0.00    1.02    0.00    0.00    2.04    0.00    0.00    0.00   90.82
12:35:13 AM    1    4.12    0.00    1.03    0.00    0.00    3.09    0.00    0.00    0.00   91.75
12:35:13 AM    2    5.26    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   93.68
12:35:13 AM    3    4.21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.79
12:35:13 AM    4    4.12    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   92.78
12:35:13 AM    5    5.10    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   92.86
12:35:13 AM    6    5.15    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   93.81
12:35:13 AM    7    7.07    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   89.90
12:35:13 AM    8    3.09    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   93.81
12:35:13 AM    9    6.00    0.00    3.00    1.00    0.00    0.00    0.00    0.00    0.00   90.00
12:35:13 AM   10    6.12    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   90.82
12:35:13 AM   11    3.12    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   93.75
12:35:13 AM   12    9.38    0.00    4.17    0.00    0.00    0.00    0.00    0.00    0.00   86.46
