Linux 5.15.0-186-generic (rapids4) 	08/11/2026 	_x86_64_	(36 CPU)

01:11:13 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:14 AM  all    2.16    0.00    1.09    0.08    0.00    0.08    0.00    0.00    0.00   96.58
01:11:14 AM    0    4.17    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   94.79
01:11:14 AM    1    2.08    0.00    2.08    0.00    0.00    1.04    0.00    0.00    0.00   94.79
01:11:14 AM    2    5.10    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   90.82
01:11:14 AM    3    5.05    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   91.92
01:11:14 AM    4    7.14    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   90.82
01:11:14 AM    5    3.03    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   93.94
01:11:14 AM    6    2.04    0.00    2.04    1.02    0.00    0.00    0.00    0.00    0.00   94.90
01:11:14 AM    7    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
01:11:14 AM    8    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
01:11:14 AM    9    5.15    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   93.81
01:11:14 AM   10    8.16    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   89.80
01:11:14 AM   11    3.06    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   93.88
01:11:14 AM   12    4.04    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   92.93
01:11:14 AM   13    4.04    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   92.93
01:11:14 AM   14    2.04    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   95.92
01:11:14 AM   15    4.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
01:11:14 AM   16    7.14    0.00    3.06    1.02    0.00    0.00    0.00    0.00    0.00   88.78
01:11:14 AM   17    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
01:11:14 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:14 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:14 AM   20    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:11:14 AM   21    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01:11:14 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:14 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:14 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:14 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:14 AM   26    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01:11:14 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:14 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:14 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:14 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:14 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:14 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:14 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:14 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:14 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:11:14 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:15 AM  all    2.08    0.00    1.18    0.00    0.00    0.20    0.00    0.00    0.00   96.54
01:11:15 AM    0    3.16    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   93.68
01:11:15 AM    1    4.04    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   91.92
01:11:15 AM    2    4.04    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   91.92
01:11:15 AM    3    5.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
01:11:15 AM    4    2.08    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   95.83
01:11:15 AM    5    4.12    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   93.81
01:11:15 AM    6    5.10    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   92.86
01:11:15 AM    7    3.12    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   95.83
01:11:15 AM    8    2.04    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   94.90
01:11:15 AM    9    3.03    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   93.94
01:11:15 AM   10    7.22    0.00    2.06    0.00    0.00    1.03    0.00    0.00    0.00   89.69
01:11:15 AM   11    6.06    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   91.92
01:11:15 AM   12    4.12    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   93.81
01:11:15 AM   13    5.15    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   92.78
01:11:15 AM   14    4.12    0.00    2.06    0.00    0.00    1.03    0.00    0.00    0.00   92.78
01:11:15 AM   15    4.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.90
01:11:15 AM   16    5.15    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   93.81
01:11:15 AM   17    4.08    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00   88.78
01:11:15 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:15 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:15 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
