Linux 5.15.0-186-generic (rapids4) 	08/11/2026 	_x86_64_	(36 CPU)

01:12:47 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:12:48 AM  all    3.71    0.00    1.80    0.03    0.00    0.17    0.00    0.00    0.00   94.29
01:12:48 AM    0   10.20    0.00   16.33    0.00    0.00    0.00    0.00    0.00    0.00   73.47
01:12:48 AM    1   14.14    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   83.84
01:12:48 AM    2   12.12    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   85.86
01:12:48 AM    3    5.94    0.00    2.97    0.99    0.00    1.98    0.00    0.00    0.00   88.12
01:12:48 AM    4    9.18    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   84.69
01:12:48 AM    5   13.73    0.00    6.86    0.00    0.00    0.98    0.00    0.00    0.00   78.43
01:12:48 AM    6    6.12    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   91.84
01:12:48 AM    7    6.12    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   89.80
01:12:48 AM    8    3.16    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   93.68
01:12:48 AM    9   10.20    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   86.73
01:12:48 AM   10    4.17    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   93.75
01:12:48 AM   11    6.19    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   89.69
01:12:48 AM   12    2.11    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   96.84
01:12:48 AM   13   11.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00
01:12:48 AM   14   11.22    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   86.73
01:12:48 AM   15    4.08    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   92.86
01:12:48 AM   16    3.09    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   94.85
01:12:48 AM   17    1.05    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   97.89
01:12:48 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:48 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:48 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:48 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:48 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:48 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:48 AM   24    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:12:48 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:48 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:48 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:48 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:48 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:48 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:48 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:48 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:48 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:48 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:48 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:12:48 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:12:49 AM  all    2.36    0.00    1.49    0.06    0.00    0.06    0.00    0.00    0.00   96.04
