Linux 5.15.0-186-generic (rapids4) 	08/11/2026 	_x86_64_	(36 CPU)

01:11:38 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:39 AM  all    1.99    0.00    1.12    0.06    0.00    0.14    0.00    0.00    0.00   96.70
01:11:39 AM    0    1.04    0.00    2.08    1.04    0.00    1.04    0.00    0.00    0.00   94.79
01:11:39 AM    1    3.06    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   92.86
01:11:39 AM    2    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
01:11:39 AM    3    4.04    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   92.93
01:11:39 AM    4    6.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   92.00
01:11:39 AM    5    3.09    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   95.88
01:11:39 AM    6    4.04    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   91.92
01:11:39 AM    7    5.77    0.00    4.81    0.00    0.00    0.00    0.00    0.00    0.00   89.42
01:11:39 AM    8    3.06    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   93.88
01:11:39 AM    9    5.15    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   93.81
01:11:39 AM   10    3.00    0.00    2.00    1.00    0.00    1.00    0.00    0.00    0.00   93.00
01:11:39 AM   11    4.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
01:11:39 AM   12    4.04    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   93.94
01:11:39 AM   13    5.94    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   90.10
01:11:39 AM   14    3.09    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   95.88
01:11:39 AM   15    3.09    0.00    0.00    0.00    0.00    1.03    0.00    0.00    0.00   95.88
01:11:39 AM   16    4.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.88
01:11:39 AM   17    3.96    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   94.06
01:11:39 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
