Linux 5.15.0-186-generic (rapids4) 	08/11/2026 	_x86_64_	(36 CPU)

01:10:52 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:10:53 AM  all    3.47    0.00    1.59    0.03    0.00    0.08    0.00    0.00    0.00   94.83
01:10:53 AM    0    8.08    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   89.90
01:10:53 AM    1    7.14    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   89.80
01:10:53 AM    2    5.15    0.00    3.09    0.00    0.00    1.03    0.00    0.00    0.00   90.72
01:10:53 AM    3    8.91    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00   88.12
01:10:53 AM    4    5.10    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   92.86
01:10:53 AM    5    9.18    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   84.69
01:10:53 AM    6    6.19    0.00    7.22    0.00    0.00    0.00    0.00    0.00    0.00   86.60
01:10:53 AM    7    6.93    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   89.11
01:10:53 AM    8    5.21    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   93.75
01:10:53 AM    9   12.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   84.00
01:10:53 AM   10    6.86    0.00    3.92    0.98    0.00    0.00    0.00    0.00    0.00   88.24
01:10:53 AM   11    7.14    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   91.84
01:10:53 AM   12    6.93    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   88.12
01:10:53 AM   13    6.06    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   89.90
01:10:53 AM   14    6.06    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   90.91
01:10:53 AM   15    8.25    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   89.69
01:10:53 AM   16    5.15    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   92.78
01:10:53 AM   17    5.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
01:10:53 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:53 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:53 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:53 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:53 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:53 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:53 AM   24    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:10:53 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:53 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:53 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:53 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:53 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:53 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:53 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:53 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:53 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:53 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:53 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:10:53 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:10:54 AM  all    3.85    0.00    1.35    0.17    0.00    0.03    0.00    0.00    0.00   94.61
01:10:54 AM    0    9.38    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   89.58
01:10:54 AM    1   11.11    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   85.86
01:10:54 AM    2   12.37    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   86.60
01:10:54 AM    3    9.18    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   89.80
01:10:54 AM    4    8.16    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00   84.69
01:10:54 AM    5    9.09    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   87.88
01:10:54 AM    6   11.11    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   85.86
01:10:54 AM    7    6.19    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   91.75
01:10:54 AM    8    7.29    0.00    0.00    1.04    0.00    0.00    0.00    0.00    0.00   91.67
01:10:54 AM    9    6.12    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   91.84
01:10:54 AM   10    6.12    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   92.86
01:10:54 AM   11    8.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
01:10:54 AM   12    4.12    0.00    7.22    1.03    0.00    0.00    0.00    0.00    0.00   87.63
01:10:54 AM   13    5.10    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   92.86
01:10:54 AM   14    6.25    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   91.67
01:10:54 AM   15    7.14    0.00    6.12    1.02    0.00    0.00    0.00    0.00    0.00   85.71
01:10:54 AM   16    9.09    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   87.88
01:10:54 AM   17    4.04    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   94.95
01:10:54 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:54 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:54 AM   20    0.00    0.00    0.99    0.99    0.00    0.00    0.00    0.00    0.00   98.02
01:10:54 AM   21    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:10:54 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:54 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:54 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:54 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:54 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:54 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:54 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:54 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:54 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:54 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:54 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:54 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:54 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:54 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:10:54 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:10:55 AM  all    1.89    0.00    1.32    0.06    0.00    0.11    0.00    0.00    0.00   96.62
01:10:55 AM    0    6.12    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   88.78
01:10:55 AM    1    3.12    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   94.79
01:10:55 AM    2    3.09    0.00    3.09    1.03    0.00    0.00    0.00    0.00    0.00   92.78
01:10:55 AM    3    3.06    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   93.88
01:10:55 AM    4    4.17    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   94.79
01:10:55 AM    5    4.08    0.00    3.06    1.02    0.00    1.02    0.00    0.00    0.00   90.82
01:10:55 AM    6    3.09    0.00    2.06    0.00    0.00    1.03    0.00    0.00    0.00   93.81
01:10:55 AM    7    8.25    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   87.63
01:10:55 AM    8    4.12    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   92.78
01:10:55 AM    9    3.06    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.90
01:10:55 AM   10    2.04    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   93.88
01:10:55 AM   11    4.17    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   94.79
01:10:55 AM   12    4.17    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   93.75
01:10:55 AM   13    3.09    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   95.88
01:10:55 AM   14    3.09    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   93.81
01:10:55 AM   15    3.06    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   93.88
01:10:55 AM   16    4.08    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   91.84
01:10:55 AM   17    3.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
01:10:55 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:55 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:10:55 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
