Linux 5.15.0-186-generic (rapids4) 	08/11/2026 	_x86_64_	(36 CPU)

01:12:22 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:12:23 AM  all    2.65    0.00    1.38    0.08    0.00    0.06    0.00    0.00    0.00   95.83
01:12:23 AM    0    6.19    0.00    2.06    1.03    0.00    1.03    0.00    0.00    0.00   89.69
01:12:23 AM    1    5.26    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   91.58
01:12:23 AM    2    5.15    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   91.75
01:12:23 AM    3   10.31    0.00    8.25    0.00    0.00    0.00    0.00    0.00    0.00   81.44
01:12:23 AM    4    4.04    0.00    3.03    1.01    0.00    0.00    0.00    0.00    0.00   91.92
01:12:23 AM    5    5.21    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   93.75
01:12:23 AM    6    4.04    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   92.93
01:12:23 AM    7    8.42    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   90.53
01:12:23 AM    8    4.08    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   92.86
01:12:23 AM    9    3.12    0.00    1.04    0.00    0.00    1.04    0.00    0.00    0.00   94.79
01:12:23 AM   10    3.12    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   95.83
01:12:23 AM   11    5.10    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   92.86
01:12:23 AM   12    2.06    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   94.85
01:12:23 AM   13    3.09    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   92.78
01:12:23 AM   14    4.17    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   93.75
01:12:23 AM   15    5.10    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   92.86
01:12:23 AM   16   10.20    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   85.71
01:12:23 AM   17    6.06    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   91.92
01:12:23 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:23 AM   19    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
