Linux 5.15.0-186-generic (rapids4) 	08/11/2026 	_x86_64_	(36 CPU)

01:45:33 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:45:34 AM  all    5.25    0.00    2.34    0.11    0.00    0.17    0.00    0.00    0.00   92.12
01:45:34 AM    0   11.58    0.00    2.11    0.00    0.00    1.05    0.00    0.00    0.00   85.26
01:45:34 AM    1    7.45    0.00    2.13    0.00    0.00    0.00    0.00    0.00    0.00   90.43
01:45:34 AM    2    7.14    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   87.76
01:45:34 AM    3    8.33    0.00    4.17    1.04    0.00    0.00    0.00    0.00    0.00   86.46
01:45:34 AM    4   11.34    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   85.57
01:45:34 AM    5    7.29    0.00    2.08    0.00    0.00    1.04    0.00    0.00    0.00   89.58
01:45:34 AM    6   14.85    0.00    3.96    0.99    0.00    0.00    0.00    0.00    0.00   80.20
01:45:34 AM    7   10.31    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   86.60
01:45:34 AM    8    8.08    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   85.86
01:45:34 AM    9    7.22    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   86.60
01:45:34 AM   10    8.16    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   88.78
01:45:34 AM   11    8.16    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   86.73
01:45:34 AM   12   10.00    0.00    4.00    1.00    0.00    1.00    0.00    0.00    0.00   84.00
01:45:34 AM   13    5.00    0.00    5.00    0.00    0.00    1.00    0.00    0.00    0.00   89.00
01:45:34 AM   14    5.32    0.00    4.26    0.00    0.00    0.00    0.00    0.00    0.00   90.43
01:45:34 AM   15    8.08    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   89.90
01:45:34 AM   16    7.14    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   89.80
01:45:34 AM   17    3.03    0.00    3.03    1.01    0.00    0.00    0.00    0.00    0.00   92.93
01:45:34 AM   18   19.10    0.00   11.24    0.00    0.00    0.00    0.00    0.00    0.00   69.66
01:45:34 AM   19   24.24    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   68.69
01:45:34 AM   20    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:45:34 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:45:34 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:45:34 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:45:34 AM   24    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:45:34 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:45:34 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:45:34 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:45:34 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:45:34 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:45:34 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
