Linux 5.15.0-186-generic (rapids4) 	08/11/2026 	_x86_64_	(36 CPU)

01:25:56 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:25:57 AM  all    3.74    0.00    1.83    0.03    0.00    0.56    0.00    0.00    0.00   93.85
01:25:57 AM    0    4.04    0.00    2.02    0.00    0.00    2.02    0.00    0.00    0.00   91.92
01:25:57 AM    1    5.05    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   92.93
01:25:57 AM    2    6.06    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   90.91
01:25:57 AM    3    1.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.92
01:25:57 AM    4    3.03    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   93.94
01:25:57 AM    5    3.03    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   94.95
01:25:57 AM    6    9.28    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   87.63
01:25:57 AM    7    7.14    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   91.84
01:25:57 AM    8    2.04    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   92.86
01:25:57 AM    9    5.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
01:25:57 AM   10    6.25    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   91.67
01:25:57 AM   11    4.21    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   94.74
01:25:57 AM   12    5.15    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   93.81
01:25:57 AM   13    3.12    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   95.83
01:25:57 AM   14    6.12    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   92.86
01:25:57 AM   15    4.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
01:25:57 AM   16    4.04    0.00    4.04    1.01    0.00    0.00    0.00    0.00    0.00   90.91
01:25:57 AM   17    4.08    0.00    7.14    0.00    0.00    1.02    0.00    0.00    0.00   87.76
01:25:57 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:25:57 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:25:57 AM   20    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:25:57 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:25:57 AM   22   31.68    0.00    7.92    0.00    0.00    5.94    0.00    0.00    0.00   54.46
01:25:57 AM   23   20.00    0.00   14.00    0.00    0.00    9.00    0.00    0.00    0.00   57.00
01:25:57 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:25:57 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:25:57 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:25:57 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:25:57 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:25:57 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:25:57 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:25:57 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:25:57 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:25:57 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:25:57 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:25:57 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:25:57 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:25:58 AM  all    5.56    0.00    2.22    0.06    0.00    1.35    0.00    0.00    0.00   90.81
01:25:58 AM    0    4.04    0.00    2.02    0.00    0.00    3.03    0.00    0.00    0.00   90.91
01:25:58 AM    1    6.86    0.00    1.96    0.00    0.00    3.92    0.00    0.00    0.00   87.25
01:25:58 AM    2    4.12    0.00    2.06    0.00    0.00    1.03    0.00    0.00    0.00   92.78
01:25:58 AM    3    4.12    0.00    2.06    0.00    0.00    1.03    0.00    0.00    0.00   92.78
01:25:58 AM    4    8.16    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   88.78
01:25:58 AM    5    4.04    0.00    1.01    1.01    0.00    1.01    0.00    0.00    0.00   92.93
01:25:58 AM    6    2.11    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   96.84
01:25:58 AM    7    5.15    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   93.81
01:25:58 AM    8    2.06    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   94.85
01:25:58 AM    9    7.07    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   89.90
01:25:58 AM   10    4.12    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   92.78
01:25:58 AM   11    4.12    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   93.81
01:25:58 AM   12    6.06    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   90.91
01:25:58 AM   13    7.84    0.00    2.94    0.00    0.00    0.00    0.00    0.00    0.00   89.22
01:25:58 AM   14    3.12    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   94.79
01:25:58 AM   15    3.09    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   95.88
01:25:58 AM   16    3.12    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   93.75
