Linux 5.15.0-186-generic (rapids4) 	08/11/2026 	_x86_64_	(36 CPU)

01:18:51 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:18:52 AM  all    8.11    0.00    3.18    0.06    0.00    0.45    0.00    0.00    0.00   88.21
01:18:52 AM    0   16.67    0.00    4.17    1.04    0.00    0.00    0.00    0.00    0.00   78.12
01:18:52 AM    1   13.27    0.00    6.12    0.00    0.00    1.02    0.00    0.00    0.00   79.59
01:18:52 AM    2   13.27    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   82.65
01:18:52 AM    3   15.31    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   80.61
01:18:52 AM    4   24.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   73.00
01:18:52 AM    5   14.74    0.00   15.79    0.00    0.00    0.00    0.00    0.00    0.00   69.47
01:18:52 AM    6   13.54    0.00    8.33    0.00    0.00    0.00    0.00    0.00    0.00   78.12
01:18:52 AM    7   16.84    0.00    2.11    0.00    0.00    1.05    0.00    0.00    0.00   80.00
01:18:52 AM    8   12.50    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   85.42
01:18:52 AM    9   12.77    0.00    3.19    0.00    0.00    0.00    0.00    0.00    0.00   84.04
01:18:52 AM   10   13.83    0.00    6.38    1.06    0.00    1.06    0.00    0.00    0.00   77.66
01:18:52 AM   11   12.63    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   84.21
01:18:52 AM   12    9.47    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   87.37
01:18:52 AM   13   14.58    0.00    5.21    0.00    0.00    0.00    0.00    0.00    0.00   80.21
01:18:52 AM   14   12.50    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   84.38
01:18:52 AM   15   13.40    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   83.51
01:18:52 AM   16    9.38    0.00    5.21    0.00    0.00    0.00    0.00    0.00    0.00   85.42
01:18:52 AM   17    7.37    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   91.58
01:18:52 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:52 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:52 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:52 AM   21    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01:18:52 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:52 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:52 AM   24   26.53    0.00   17.35    0.00    0.00    7.14    0.00    0.00    0.00   48.98
01:18:52 AM   25   23.23    0.00   14.14    0.00    0.00    5.05    0.00    0.00    0.00   57.58
01:18:52 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:52 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:52 AM   28    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:18:52 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:52 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:52 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:52 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:52 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:52 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:52 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:18:52 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:18:53 AM  all    5.90    0.00    3.23    0.17    0.00    1.01    0.00    0.00    0.00   89.69
01:18:53 AM    0    5.94    0.00    2.97    0.00    0.00    5.94    0.00    0.00    0.00   85.15
01:18:53 AM    1    6.12    0.00    3.06    0.00    0.00    2.04    0.00    0.00    0.00   88.78
01:18:53 AM    2    7.14    0.00    2.04    1.02    0.00    1.02    0.00    0.00    0.00   88.78
01:18:53 AM    3   11.22    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   87.76
01:18:53 AM    4    7.07    0.00    2.02    2.02    0.00    1.01    0.00    0.00    0.00   87.88
01:18:53 AM    5    7.00    0.00    9.00    0.00    0.00    1.00    0.00    0.00    0.00   83.00
01:18:53 AM    6    5.15    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   91.75
01:18:53 AM    7    4.12    0.00    4.12    0.00    0.00    1.03    0.00    0.00    0.00   90.72
01:18:53 AM    8    6.19    0.00    3.09    0.00    0.00    1.03    0.00    0.00    0.00   89.69
01:18:53 AM    9    8.08    0.00    3.03    1.01    0.00    0.00    0.00    0.00    0.00   87.88
01:18:53 AM   10    7.07    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   88.89
01:18:53 AM   11    8.25    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   88.66
01:18:53 AM   12    6.32    0.00    2.11    1.05    0.00    0.00    0.00    0.00    0.00   90.53
01:18:53 AM   13    6.12    0.00    3.06    1.02    0.00    0.00    0.00    0.00    0.00   89.80
01:18:53 AM   14   12.50    0.00    8.33    0.00    0.00    0.00    0.00    0.00    0.00   79.17
01:18:53 AM   15   10.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   87.00
01:18:53 AM   16    7.29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.71
01:18:53 AM   17    5.05    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   93.94
01:18:53 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:53 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:53 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:53 AM   21    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:18:53 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:53 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:53 AM   24   46.46    0.00   32.32    0.00    0.00   11.11    0.00    0.00    0.00   10.10
01:18:53 AM   25   37.50    0.00   26.04    0.00    0.00   12.50    0.00    0.00    0.00   23.96
01:18:53 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:53 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:53 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:53 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:53 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:53 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:53 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:53 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:53 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:18:53 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:18:53 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:18:54 AM  all    5.31    0.00    2.90    0.03    0.00    0.91    0.00    0.00    0.00   90.85
01:18:54 AM    0    3.09    0.00    4.12    0.00    0.00    3.09    0.00    0.00    0.00   89.69
01:18:54 AM    1    5.21    0.00    3.12    0.00    0.00    1.04    0.00    0.00    0.00   90.62
01:18:54 AM    2    7.07    0.00    3.03    0.00    0.00    2.02    0.00    0.00    0.00   87.88
01:18:54 AM    3    5.21    0.00    2.08    1.04    0.00    1.04    0.00    0.00    0.00   90.62
01:18:54 AM    4    4.12    0.00    2.06    0.00    0.00    2.06    0.00    0.00    0.00   91.75
01:18:54 AM    5    4.21    0.00    0.00    0.00    0.00    2.11    0.00    0.00    0.00   93.68
01:18:54 AM    6    2.13    0.00    2.13    0.00    0.00    0.00    0.00    0.00    0.00   95.74
01:18:54 AM    7    8.42    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   90.53
01:18:54 AM    8    7.37    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   91.58
01:18:54 AM    9    6.32    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   90.53
01:18:54 AM   10   11.22    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   84.69
01:18:54 AM   11    5.21    0.00    4.17    0.00    0.00    0.00    0.00    0.00    0.00   90.62
01:18:54 AM   12    3.12    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   93.75
01:18:54 AM   13    5.26    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   91.58
01:18:54 AM   14    6.32    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   92.63
