Linux 5.15.0-186-generic (rapids4) 	08/11/2026 	_x86_64_	(36 CPU)

02:08:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:08:11 AM  all    5.20    0.00    2.11    0.00    0.00    0.73    0.00    0.00    0.00   91.96
02:08:11 AM    0    6.86    0.00    4.90    0.00    0.00    2.94    0.00    0.00    0.00   85.29
02:08:11 AM    1    9.18    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   87.76
02:08:11 AM    2   11.11    0.00    2.02    0.00    0.00    2.02    0.00    0.00    0.00   84.85
02:08:11 AM    3    5.26    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   91.58
02:08:11 AM    4    9.18    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   87.76
02:08:11 AM    5    7.37    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   90.53
02:08:11 AM    6    5.21    0.00    3.12    0.00    0.00    1.04    0.00    0.00    0.00   90.62
02:08:11 AM    7    7.37    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   90.53
02:08:11 AM    8    7.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
02:08:11 AM    9    8.33    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   88.54
02:08:11 AM   10    5.21    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   92.71
02:08:11 AM   11    7.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   89.00
02:08:11 AM   12    8.42    0.00    1.05    0.00    0.00    1.05    0.00    0.00    0.00   89.47
02:08:11 AM   13   14.29    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   82.65
02:08:11 AM   14    6.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
02:08:11 AM   15   11.11    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   83.84
02:08:11 AM   16    7.07    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   88.89
02:08:11 AM   17    5.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   94.90
02:08:11 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:11 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:11 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:11 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:11 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:11 AM   23    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
02:08:11 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:11 AM   25    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
02:08:11 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:11 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:11 AM   28   24.49    0.00   12.24    0.00    0.00    7.14    0.00    0.00    0.00   56.12
02:08:11 AM   29   22.55    0.00   10.78    0.00    0.00    8.82    0.00    0.00    0.00   57.84
02:08:11 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:11 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:11 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:11 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:11 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:11 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

02:08:11 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:08:12 AM  all    5.55    0.00    3.38    0.03    0.00    1.21    0.00    0.00    0.00   89.82
02:08:12 AM    0    4.08    0.00    4.08    0.00    0.00    4.08    0.00    0.00    0.00   87.76
02:08:12 AM    1    4.04    0.00    2.02    0.00    0.00    3.03    0.00    0.00    0.00   90.91
02:08:12 AM    2    2.97    0.00    1.98    0.00    0.00    5.94    0.00    0.00    0.00   89.11
02:08:12 AM    3    3.16    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   94.74
02:08:12 AM    4    7.22    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   89.69
02:08:12 AM    5    5.94    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   89.11
02:08:12 AM    6    4.12    0.00    1.03    1.03    0.00    0.00    0.00    0.00    0.00   93.81
02:08:12 AM    7    4.21    0.00    0.00    0.00    0.00    1.05    0.00    0.00    0.00   94.74
02:08:12 AM    8    6.32    0.00    4.21    0.00    0.00    1.05    0.00    0.00    0.00   88.42
02:08:12 AM    9    8.08    0.00   16.16    0.00    0.00    0.00    0.00    0.00    0.00   75.76
02:08:12 AM   10    5.26    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   92.63
02:08:12 AM   11    7.14    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   89.80
02:08:12 AM   12    5.21    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   91.67
02:08:12 AM   13    5.21    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   93.75
02:08:12 AM   14    6.19    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   90.72
02:08:12 AM   15    3.16    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   93.68
02:08:12 AM   16    5.15    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   92.78
02:08:12 AM   17    4.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
02:08:12 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:12 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:12 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:12 AM   21    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
02:08:12 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:12 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:12 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:12 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:12 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:12 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:12 AM   28   57.00    0.00   30.00    0.00    0.00   13.00    0.00    0.00    0.00    0.00
02:08:12 AM   29   50.50    0.00   31.68    0.00    0.00   13.86    0.00    0.00    0.00    3.96
02:08:12 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:12 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:12 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:12 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:12 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:12 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

02:08:12 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:08:13 AM  all    5.40    0.00    3.26    0.03    0.00    1.44    0.00    0.00    0.00   89.87
02:08:13 AM    0    4.72    0.00    2.83    0.00    0.00   10.38    0.00    0.00    0.00   82.08
02:08:13 AM    1    4.95    0.00    1.98    0.00    0.00    4.95    0.00    0.00    0.00   88.12
02:08:13 AM    2    2.11    0.00    3.16    0.00    0.00    1.05    0.00    0.00    0.00   93.68
02:08:13 AM    3    4.08    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   91.84
02:08:13 AM    4    4.17    0.00    5.21    0.00    0.00    1.04    0.00    0.00    0.00   89.58
02:08:13 AM    5    5.32    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   93.62
02:08:13 AM    6    4.08    0.00    5.10    0.00    0.00    1.02    0.00    0.00    0.00   89.80
02:08:13 AM    7    5.15    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   90.72
02:08:13 AM    8    4.12    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   92.78
02:08:13 AM    9    6.12    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   92.86
02:08:13 AM   10    4.08    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   90.82
02:08:13 AM   11    4.17    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   94.79
02:08:13 AM   12    4.17    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   94.79
02:08:13 AM   13    3.19    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   95.74
02:08:13 AM   14    8.08    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   89.90
02:08:13 AM   15   14.29    0.00    9.18    0.00    0.00    0.00    0.00    0.00    0.00   76.53
02:08:13 AM   16    7.14    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   90.82
02:08:13 AM   17    3.09    0.00    0.00    1.03    0.00    0.00    0.00    0.00    0.00   95.88
02:08:13 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:13 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:13 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:13 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:13 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:13 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:13 AM   24    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
02:08:13 AM   25    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
02:08:13 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:13 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:13 AM   28   56.00    0.00   32.00    0.00    0.00   12.00    0.00    0.00    0.00    0.00
02:08:13 AM   29   45.00    0.00   32.00    0.00    0.00   18.00    0.00    0.00    0.00    5.00
02:08:13 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:13 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:13 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:13 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:13 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:08:13 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

02:08:13 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:08:14 AM  all    5.19    0.00    2.87    0.03    0.00    1.27    0.00    0.00    0.00   90.64
02:08:14 AM    0    5.83    0.00    1.94    0.00    0.00    6.80    0.00    0.00    0.00   85.44
02:08:14 AM    1    3.09    0.00    2.06    0.00    0.00    2.06    0.00    0.00    0.00   92.78
