Linux 5.15.0-186-generic (rapids4) 	08/11/2026 	_x86_64_	(36 CPU)

02:09:52 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:09:53 AM  all    6.07    0.00    2.60    0.06    0.00    0.45    0.00    0.00    0.00   90.83
02:09:53 AM    0    7.22    0.00    1.03    0.00    0.00    2.06    0.00    0.00    0.00   89.69
02:09:53 AM    1    6.06    0.00    2.02    0.00    0.00    2.02    0.00    0.00    0.00   89.90
02:09:53 AM    2    7.07    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   88.89
02:09:53 AM    3    7.77    0.00    3.88    0.00    0.00    1.94    0.00    0.00    0.00   86.41
02:09:53 AM    4    8.08    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   86.87
02:09:53 AM    5    7.14    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   90.82
02:09:53 AM    6    9.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
02:09:53 AM    7    7.14    0.00    2.04    1.02    0.00    0.00    0.00    0.00    0.00   89.80
02:09:53 AM    8    7.07    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   88.89
02:09:53 AM    9    8.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
02:09:53 AM   10    5.26    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   93.68
02:09:53 AM   11   11.34    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   85.57
02:09:53 AM   12    7.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   88.00
02:09:53 AM   13    6.25    0.00    4.17    0.00    0.00    0.00    0.00    0.00    0.00   89.58
02:09:53 AM   14   13.13    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   81.82
02:09:53 AM   15    9.18    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   87.76
02:09:53 AM   16   13.27    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   80.61
02:09:53 AM   17    7.84    0.00    8.82    0.00    0.00    0.00    0.00    0.00    0.00   83.33
02:09:53 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:53 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:53 AM   20   39.00    0.00   15.00    0.00    0.00    4.00    0.00    0.00    0.00   42.00
02:09:53 AM   21   32.65    0.00   14.29    0.00    0.00    5.10    0.00    0.00    0.00   47.96
02:09:53 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:53 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:53 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:53 AM   25    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
02:09:53 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:53 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:53 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:53 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:53 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:53 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:53 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:53 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:09:53 AM   34    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
02:09:53 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

02:09:53 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
