Linux 5.15.0-186-generic (rapids4) 	08/11/2026 	_x86_64_	(36 CPU)

02:11:23 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:11:24 AM  all    4.62    0.00    1.55    0.00    0.00    0.23    0.00    0.00    0.00   93.61
02:11:24 AM    0    6.25    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   91.67
02:11:24 AM    1    4.12    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   92.78
02:11:24 AM    2   10.10    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   84.85
02:11:24 AM    3    5.26    0.00    1.05    0.00    0.00    1.05    0.00    0.00    0.00   92.63
02:11:24 AM    4    4.12    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   92.78
02:11:24 AM    5    5.26    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   93.68
02:11:24 AM    6    7.07    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   90.91
02:11:24 AM    7    2.08    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   95.83
02:11:24 AM    8    6.06    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   90.91
02:11:24 AM    9    3.96    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   91.09
02:11:24 AM   10   10.20    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   87.76
02:11:24 AM   11    4.17    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   94.79
02:11:24 AM   12    5.15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   94.85
02:11:24 AM   13    9.18    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   88.78
02:11:24 AM   14    4.12    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   93.81
02:11:24 AM   15    6.19    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   91.75
02:11:24 AM   16    5.26    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   92.63
02:11:24 AM   17    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
02:11:24 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:11:24 AM   19    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
02:11:24 AM   20    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
02:11:24 AM   21    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
02:11:24 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:11:24 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:11:24 AM   24    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
02:11:24 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:11:24 AM   26   34.34    0.00    7.07    0.00    0.00    4.04    0.00    0.00    0.00   54.55
02:11:24 AM   27   29.70    0.00    6.93    0.00    0.00    1.98    0.00    0.00    0.00   61.39
02:11:24 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:11:24 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:11:24 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:11:24 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:11:24 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:11:24 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:11:24 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:11:24 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

02:11:24 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:11:25 AM  all    7.23    0.00    2.27    0.08    0.00    0.50    0.00    0.00    0.00   89.90
02:11:25 AM    0    6.19    0.00    1.03    0.00    0.00    2.06    0.00    0.00    0.00   90.72
02:11:25 AM    1    6.25    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   92.71
02:11:25 AM    2    5.10    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   92.86
02:11:25 AM    3    5.10    0.00    3.06    1.02    0.00    1.02    0.00    0.00    0.00   89.80
02:11:25 AM    4    6.12    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   91.84
02:11:25 AM    5    7.29    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   91.67
02:11:25 AM    6    4.12    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   93.81
02:11:25 AM    7    6.86    0.00    2.94    0.00    0.00    0.00    0.00    0.00    0.00   90.20
02:11:25 AM    8    4.04    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   93.94
02:11:25 AM    9    5.10    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   93.88
02:11:25 AM   10    4.08    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   91.84
02:11:25 AM   11    8.16    0.00   17.35    0.00    0.00    0.00    0.00    0.00    0.00   74.49
02:11:25 AM   12   13.13    0.00    7.07    1.01    0.00    0.00    0.00    0.00    0.00   78.79
02:11:25 AM   13    4.12    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   93.81
02:11:25 AM   14    7.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   90.00
02:11:25 AM   15    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
02:11:25 AM   16    7.07    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   90.91
02:11:25 AM   17    3.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.94
02:11:25 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:11:25 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:11:25 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:11:25 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:11:25 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:11:25 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:11:25 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:11:25 AM   25    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
02:11:25 AM   26   80.00    0.00   13.00    0.00    0.00    7.00    0.00    0.00    0.00    0.00
02:11:25 AM   27   71.57    0.00   12.75    0.00    0.00    5.88    0.00    0.00    0.00    9.80
02:11:25 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:11:25 AM   29    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
02:11:25 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:11:25 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:11:25 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:11:25 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:11:25 AM   34    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
02:11:25 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

02:11:25 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:11:26 AM  all    6.62    0.00    2.10    0.00    0.00    0.53    0.00    0.00    0.00   90.74
02:11:26 AM    0    6.12    0.00    1.02    0.00    0.00    2.04    0.00    0.00    0.00   90.82
