config,frame_bytes,fixed_budget_clean_rps,sat_start_rps,sat_endpoint,sat_basis,sat_client_cores,sat_server_cores,sat_clean_reps,sat_total_reps,n_unsaturated,slope_us_per_req,client_slope_us_per_req,server_slope_us_per_req,intercept_cores,r2,arm_slope_us_per_req,knee_rps,post_sat_amplification,note
grpc-dpumesh,64,29707.000,27128.000,server,endpoint_physical_core,0.932124,0.988558,0,1,12,58.035642,29.810758,26.674035,0.006867,0.966950,74.465024,29707.000,1.095068,ok
grpc-dpumesh,1024,28938.000,25889.000,server,endpoint_physical_core,0.927977,0.988931,0,1,13,54.710267,29.718252,27.741839,0.053364,0.981367,75.585039,28938.000,1.117772,ok
grpc-dpumesh,8192,23105.000,24885.000,client,endpoint_physical_core,0.964447,0.943980,0,1,13,76.888734,37.037682,37.968593,0.019204,0.976513,94.972375,23105.000,0.928471,ok
grpc-envoy-permissive,64,52149.000,15645.000,client,endpoint_physical_core,0.979749,0.930509,1,1,6,122.170405,65.935643,44.348394,0.010669,0.998945,NA,52149.000,3.333269,ok
grpc-envoy-permissive,1024,48380.000,14514.000,client,endpoint_physical_core,0.958331,0.881650,1,1,6,122.743886,67.337937,50.046390,0.021004,0.999918,NA,48380.000,3.333333,ok
grpc-envoy-permissive,8192,35171.000,17585.000,client,endpoint_physical_core,0.981584,0.923798,1,1,7,139.578160,76.376270,64.344513,0.023089,0.999881,NA,35171.000,2.000057,ok
grpc-envoy-strict,64,51180.000,14131.000,client,endpoint_physical_core,0.969420,0.882951,1,1,5,127.438048,72.244418,44.296818,0.038663,0.999290,NA,51180.000,3.621824,ok
grpc-envoy-strict,1024,44269.000,13980.000,client,endpoint_physical_core,0.976920,0.899163,1,1,6,133.758633,75.224115,54.378299,0.016231,0.998555,NA,44269.000,3.166595,ok
grpc-envoy-strict,8192,28613.000,14307.000,both,endpoint_physical_core,0.981700,0.979746,1,1,7,155.309265,88.130033,70.320569,0.043968,0.998937,NA,28613.000,1.999930,ok
grpc-linkerd,64,15701.000,7851.000,client,endpoint_physical_core,0.969196,0.742628,1,1,4,251.017762,146.259529,96.348217,0.131407,0.995455,NA,15701.000,1.999873,ok
grpc-linkerd,1024,13262.000,6631.000,client,endpoint_physical_core,0.970903,0.767774,1,1,4,243.145664,167.983666,94.775065,0.274323,0.998514,NA,13262.000,2.000000,ok
grpc-linkerd,8192,10790.000,5395.000,client,endpoint_physical_core,0.962978,0.766680,1,1,4,287.176971,172.111196,124.911069,0.224117,0.990234,NA,10790.000,2.000000,ok
grpc-linkerd-opaque,64,50229.000,25115.000,client,endpoint_physical_core,0.982519,0.908530,1,1,7,111.430327,59.769833,44.109085,0.049801,0.999573,NA,50229.000,1.999960,ok
grpc-linkerd-opaque,1024,44049.000,22025.000,client,endpoint_physical_core,0.981763,0.904284,1,1,7,115.909125,63.761381,44.399842,0.043443,0.999314,NA,44049.000,1.999955,ok
grpc-linkerd-opaque,8192,25568.000,12784.000,client,endpoint_physical_core,0.981567,0.938844,1,1,7,164.735328,92.405695,76.153646,0.088991,0.994339,NA,25568.000,2.000000,ok
grpc-tcp,64,33876.000,28805.000,client,endpoint_physical_core,0.960473,0.899775,1,1,9,75.256082,40.078802,31.612432,0.066137,0.975045,NA,33876.000,1.176046,ok
grpc-tcp,1024,30270.000,25743.000,client,endpoint_physical_core,0.970255,0.882245,1,1,9,80.230127,43.603936,35.273669,0.039728,0.986730,NA,30270.000,1.175854,ok
grpc-tcp,8192,26052.000,22151.000,client,endpoint_physical_core,0.985779,0.929618,1,1,9,96.169816,51.520236,47.060485,0.025810,0.984636,NA,26052.000,1.176109,ok
