run_id,stage,sequence,config,frame_bytes,offered_rps,duration_s,achieved_rps,p50_us,p99_us,scheduled,admission_drops,pending,fail,overflow,reorder,achieved_ratio,schedule_ratio,admission_drop_ratio,client_busy_cores,server_busy_cores,host_busy_cores,host_core_budget,dpu_arm_cores,tx_grow_waits,clean,reason,raw_result
scout-64-grpc-tcp-pilot1-v1,pilot,1,grpc-tcp,64,5000,2,4998.000,134.00,144.00,10000,0,0,0,0,0,0.999600,1.000000,0.000000,0.220058,0.198198,0.418256,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-pilot1-v1.result.attempt1.txt
scout-64-grpc-tcp-pilot2-v1,pilot,2,grpc-tcp,64,6750,2,6748.000,134.00,143.00,13500,0,0,0,0,0,0.999704,1.000000,0.000000,0.302158,0.268404,0.570562,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-pilot2-v1.result.attempt1.txt
scout-64-grpc-tcp-pilot3-v1,pilot,3,grpc-tcp,64,9113,2,9110.000,133.00,506.00,18226,0,0,0,0,0,0.999671,1.000000,0.000000,0.404069,0.370903,0.774972,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-pilot3-v1.result.attempt1.txt
scout-64-grpc-tcp-pilot4-v1,pilot,4,grpc-tcp,64,12303,2,12301.000,156.00,1624.00,24606,0,0,0,0,0,0.999837,1.000000,0.000000,0.536447,0.501853,1.038300,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-pilot4-v1.result.attempt1.txt
scout-64-grpc-tcp-pilot5-v1,pilot,5,grpc-tcp,64,16609,2,16607.000,159.00,5012.00,33217,0,0,0,0,0,0.999880,0.999970,0.000000,0.747337,0.710180,1.457517,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-pilot5-v1.result.attempt1.txt
scout-64-grpc-tcp-pilot6-v1,pilot,6,grpc-tcp,64,22422,2,22424.000,546.00,1094.00,44838,0,0,0,0,0,1.000089,0.999866,0.000000,0.896915,0.784958,1.681873,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-pilot6-v1.result.attempt1.txt
scout-64-grpc-tcp-pilot7-v1,pilot,7,grpc-tcp,64,30270,2,30449.000,2482.00,31219.00,60526,0,0,0,0,0,1.005913,0.999769,0.000000,0.966460,0.929827,1.896287,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-pilot7-v1.result.attempt1.txt
scout-64-grpc-tcp-pilot8-v1,pilot,8,grpc-tcp,64,40865,2,28784.000,302943.00,629178.00,75026,0,0,0,0,0,0.704368,0.917974,0.000000,0.980595,0.975859,1.956454,2,NA,0,0,achieved+scheduler,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-pilot8-v1.result.attempt1.txt
scout-64-grpc-tcp-validate8-v1,validate,8,grpc-tcp,64,40865,10,27770.000,3389414.95,3389414.95,381609,0,0,0,151072,0,0.679555,0.933828,0.000000,0.996277,0.996245,1.992522,2,NA,0,0,overflow+achieved+scheduler,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-validate8-v1.result.attempt1.txt
scout-64-grpc-tcp-validate8-v2,validate,8,grpc-tcp,64,40865,10,31829.000,3921057.85,3921057.85,394164,0,0,0,186656,0,0.778882,0.964552,0.000000,0.996239,0.975262,1.971501,2,NA,0,0,overflow+achieved+scheduler,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-validate8-v2.result.attempt1.txt
