NAME                                         READY   STATUS    RESTARTS   AGE    IP             NODE      NOMINATED NODE   READINESS GATES
bench-grpc-dpumesh-686dfb7846-dcqn7          1/1     Running   0          103m   10.244.0.221   rapids4   <none>           <none>
bench-grpc-envoy-645c85c9f6-7lk97            2/2     Running   0          102m   10.244.0.223   rapids4   <none>           <none>
bench-grpc-envoy-strict-7d869f6f4f-7n5fk     2/2     Running   0          102m   10.244.0.227   rapids4   <none>           <none>
bench-grpc-linkerd-78494f4d89-flqw6          2/2     Running   0          102m   10.244.0.229   rapids4   <none>           <none>
bench-grpc-linkerd-opaque-6c6b945bcc-9g99v   2/2     Running   0          102m   10.244.0.231   rapids4   <none>           <none>
bench-grpc-tcp-6b6f77b98-vl6hv               1/1     Running   0          102m   10.244.0.225   rapids4   <none>           <none>
echo-grpc-dpumesh-758b6d6dbb-fk7nm           1/1     Running   0          103m   10.244.0.220   rapids4   <none>           <none>
echo-grpc-envoy-554f5bf54-d2hfg              2/2     Running   0          102m   10.244.0.222   rapids4   <none>           <none>
echo-grpc-envoy-strict-5c67c9d997-6tqwz      2/2     Running   0          102m   10.244.0.226   rapids4   <none>           <none>
echo-grpc-linkerd-778d747ddc-495tz           2/2     Running   0          102m   10.244.0.228   rapids4   <none>           <none>
echo-grpc-linkerd-opaque-7c9cc95f5f-dtjs8    2/2     Running   0          102m   10.244.0.230   rapids4   <none>           <none>
echo-grpc-tcp-95c584986-b4f4f                1/1     Running   0          102m   10.244.0.224   rapids4   <none>           <none>
