config,frame,threads,conc,rep,achieved,p50_us,p99_us,p999_us,avg_us,fail,client_core,server_core,dpu_arm_cores,window_s
grpc-envoy-strict,64,8,1,1,35631.0,217.00,356.00,523.00,224.37,0,3.5461,3.7395,NA,6.0234
grpc-envoy-strict,64,8,2,1,53721.0,285.00,535.00,715.00,297.71,0,4.4478,4.7805,NA,6.0267
grpc-envoy-strict,64,8,4,1,63510.0,415.00,2009.00,3406.00,503.73,0,4.2145,4.9252,NA,6.0276
grpc-envoy-strict,64,8,8,1,75226.0,692.00,3087.00,4486.00,850.70,0,4.0503,5.0148,NA,6.0293
grpc-envoy-strict,64,8,16,1,91614.0,1204.00,4065.00,5776.00,1396.99,0,4.0507,5.1949,NA,6.0271
grpc-envoy-strict,64,8,32,1,109104.0,2139.00,5625.00,7389.00,2346.28,0,4.1190,5.3365,NA,6.0279
grpc-envoy-strict,1024,8,1,1,34801.0,223.00,352.00,509.00,229.73,0,3.5908,3.7872,NA,6.0269
grpc-envoy-strict,1024,8,2,1,51368.0,297.00,574.00,785.00,311.36,0,4.3586,4.8172,NA,6.0266
grpc-envoy-strict,1024,8,4,1,60727.0,439.00,2068.00,3520.00,526.83,0,4.2114,4.9033,NA,6.0271
grpc-envoy-strict,1024,8,8,1,72181.0,714.00,3278.00,4653.00,886.61,0,4.0936,5.0394,NA,6.0272
grpc-envoy-strict,1024,8,16,1,88617.0,1244.00,4259.00,5910.00,1444.33,0,4.1113,5.1993,NA,6.0251
grpc-envoy-strict,1024,8,32,1,105947.0,2206.00,5826.00,7512.00,2416.24,0,4.1894,5.3769,NA,6.0257
grpc-envoy-strict,8192,8,1,1,31077.0,251.00,375.00,443.00,257.30,0,3.7096,3.9318,NA,6.0271
grpc-envoy-strict,8192,8,2,1,44095.0,349.00,624.00,804.00,362.75,0,4.3150,4.7449,NA,6.0263
grpc-envoy-strict,8192,8,4,1,53184.0,521.00,2090.00,3654.00,601.59,0,4.3638,5.0619,NA,6.0270
grpc-envoy-strict,8192,8,8,1,62093.0,876.00,3467.00,5082.00,1030.57,0,4.2469,5.1255,NA,6.0289
grpc-envoy-strict,8192,8,16,1,73694.0,1529.00,4898.00,6932.00,1736.69,0,4.3427,5.2613,NA,6.0266
grpc-envoy-strict,8192,8,32,1,85617.0,2754.00,7045.00,9609.00,2990.09,0,4.4405,5.4115,NA,6.0260
