config,frame,threads,conc,rep,achieved,p50_us,p99_us,p999_us,avg_us,fail,client_core,server_core,dpu_arm_cores,window_s
grpc-linkerd-opaque,64,8,1,1,33042.0,219.00,579.00,814.00,241.97,0,2.8821,2.9543,NA,6.0261
grpc-linkerd-opaque,64,8,2,1,46525.0,327.00,631.00,795.00,343.77,0,3.2012,3.6292,NA,6.0271
grpc-linkerd-opaque,64,8,4,1,61315.0,492.00,1154.00,2574.00,521.79,0,3.4291,4.2326,NA,6.0264
grpc-linkerd-opaque,64,8,8,1,75385.0,765.00,2764.00,4636.00,848.88,0,3.5491,4.6094,NA,6.0269
grpc-linkerd-opaque,64,8,16,1,89380.0,1285.00,4124.00,5760.00,1432.00,0,3.5980,4.8135,NA,6.0268
grpc-linkerd-opaque,64,8,32,1,105898.0,2227.00,5700.00,7885.00,2417.41,0,3.7241,5.0489,NA,6.0268
grpc-linkerd-opaque,1024,8,1,1,31527.0,229.00,613.00,843.00,253.60,0,2.8619,2.9185,NA,6.0269
grpc-linkerd-opaque,1024,8,2,1,44025.0,345.00,669.00,838.00,363.31,0,3.1716,3.6134,NA,6.0270
grpc-linkerd-opaque,1024,8,4,1,56899.0,530.00,1171.00,2673.00,562.30,0,3.3462,4.1507,NA,6.0267
grpc-linkerd-opaque,1024,8,8,1,71030.0,826.00,2796.00,4428.00,900.93,0,3.4953,4.5527,NA,6.0270
grpc-linkerd-opaque,1024,8,16,1,84206.0,1371.00,4316.00,5909.00,1520.03,0,3.5435,4.7679,NA,6.0266
grpc-linkerd-opaque,1024,8,32,1,99657.0,2376.00,6048.00,7973.00,2568.73,0,3.6722,5.0091,NA,6.0252
grpc-linkerd-opaque,8192,8,1,1,25587.0,301.00,551.00,748.00,312.53,0,2.8655,2.8445,NA,6.0280
grpc-linkerd-opaque,8192,8,2,1,28102.0,507.00,1119.00,1464.00,569.24,0,2.7147,3.0670,NA,6.0277
grpc-linkerd-opaque,8192,8,4,1,35209.0,831.00,1706.00,2281.00,908.75,0,2.8032,3.2514,NA,6.0266
grpc-linkerd-opaque,8192,8,8,1,42290.0,1437.00,2851.00,4135.00,1513.24,0,2.8320,3.3182,NA,6.0263
grpc-linkerd-opaque,8192,8,16,1,48418.0,2568.00,4819.00,6245.00,2643.70,0,2.7705,3.4268,NA,6.0271
grpc-linkerd-opaque,8192,8,32,1,53249.0,4661.00,8647.00,10518.00,4807.58,0,2.7074,3.4814,NA,6.0272
