config,frame,threads,conc,rep,achieved,p50_us,p99_us,p999_us,avg_us,fail,client_core,server_core,dpu_arm_cores,window_s
grpc-tcp,64,8,1,1,52039.0,156.00,240.00,431.00,153.59,0,3.4341,3.0895,NA,6.0257
grpc-tcp,64,8,2,1,71006.0,198.00,779.00,1536.00,225.21,0,4.1268,4.5266,NA,6.0256
grpc-tcp,64,8,4,1,85013.0,323.00,1415.00,2678.00,376.31,0,4.1822,4.9110,NA,6.0265
grpc-tcp,64,8,8,1,99681.0,557.00,2347.00,4282.00,641.96,0,4.1934,5.1014,NA,6.0267
grpc-tcp,64,8,16,1,115665.0,1009.00,3062.00,4730.00,1106.57,0,4.2739,5.2636,NA,6.0268
grpc-tcp,64,8,32,1,120217.0,1988.00,5041.00,6864.00,2129.47,0,4.0095,5.1180,NA,6.0263
grpc-tcp,1024,8,1,1,51388.0,158.00,246.00,437.00,155.54,0,3.4300,3.1048,NA,6.0235
grpc-tcp,1024,8,2,1,67646.0,202.00,942.00,1931.00,236.40,0,4.0209,4.4699,NA,6.0262
grpc-tcp,1024,8,4,1,81800.0,334.00,1518.00,2881.00,391.09,0,4.1674,4.9054,NA,6.0270
grpc-tcp,1024,8,8,1,97322.0,570.00,2392.00,4194.00,657.54,0,4.2112,5.1168,NA,6.0260
grpc-tcp,1024,8,16,1,113148.0,1027.00,3201.00,5112.00,1131.17,0,4.3012,5.2756,NA,6.0269
grpc-tcp,1024,8,32,1,118488.0,2015.00,5160.00,7235.00,2160.61,0,4.0803,5.1732,NA,6.0269
grpc-tcp,8192,8,1,1,45824.0,166.00,267.00,435.00,174.46,0,3.3600,3.1449,NA,6.0270
grpc-tcp,8192,8,2,1,62480.0,221.00,861.00,1571.00,255.96,0,4.1427,4.5880,NA,6.0267
grpc-tcp,8192,8,4,1,74407.0,369.00,1582.00,3016.00,429.97,0,4.1920,4.9194,NA,6.0262
grpc-tcp,8192,8,8,1,87977.0,632.00,2574.00,4458.00,727.37,0,4.2328,5.1140,NA,6.0266
grpc-tcp,8192,8,16,1,103910.0,1122.00,3426.00,5114.00,1231.76,0,4.2759,5.2365,NA,6.0257
grpc-tcp,8192,8,32,1,109381.0,2177.00,5608.00,8034.00,2340.40,0,4.1358,5.1433,NA,6.0270
