config,frame,kind,offered,achieved,client,server,client_cgroup,server_cgroup,p99,drop,clean
grpc-dpumesh,64,bound,1485,1485.0,0.058443,0.142776,0.058712,0.143866,519.0,0.0,1
grpc-dpumesh,64,bound,4456,4456.0,0.16585,0.151447,0.166997,0.15237,430.0,0.0,1
grpc-dpumesh,64,bound,8912,8911.0,0.297787,0.268359,0.299816,0.270142,413.0,0.0,1
grpc-dpumesh,64,bound,14854,14854.0,0.500106,0.413644,0.50317,0.416324,294.0,0.0,1
grpc-dpumesh,64,bound,20795,20794.0,0.614492,0.553571,0.618755,0.55736,384.0,0.0,1
grpc-dpumesh,64,bound,25251,25250.0,0.778102,0.77447,0.785007,0.780357,335378.0,0.0,1
grpc-dpumesh,64,bound,28222,28222.0,0.855091,0.806793,0.860046,0.811379,32239.0,0.0,1
grpc-dpumesh,64,bound,29707,29708.0,0.926666,0.86833,0.933295,0.873963,336065.0,0.0,1
grpc-dpumesh,64,bound,31192,27128.0,0.932124,0.988558,0.938139,0.995115,1548628.63,0.0,0
grpc-dpumesh,64,bound,34163,24108.0,0.971464,0.988838,0.977636,0.995709,3096718.93,0.0,0
grpc-dpumesh,64,bound,38619,22980.0,0.988764,0.988897,0.995656,0.996269,4242803.16,0.0,0
grpc-dpumesh,64,common,3925,3925.0,0.145927,0.218045,0.146931,0.219442,530.0,0.0,1
grpc-dpumesh,64,common,7851,7851.0,0.276222,0.242856,0.278123,0.24446,389.0,0.0,1
grpc-dpumesh,64,common,11776,11776.0,0.377082,0.320893,0.379683,0.32308,330.0,0.0,1
grpc-dpumesh,64,common,14131,14130.0,0.47959,0.390008,0.482847,0.39268,289.0,0.0,1
grpc-dpumesh,1024,bound,1378,1378.0,0.05483,0.132364,0.055129,0.13323,528.0,0.0,1
grpc-dpumesh,1024,bound,4134,4133.0,0.159508,0.142123,0.160606,0.143068,536.0,0.0,1
grpc-dpumesh,1024,bound,8268,8267.0,0.287982,0.253744,0.289929,0.255461,386.0,0.0,1
grpc-dpumesh,1024,bound,13780,13780.0,0.473471,0.383873,0.476653,0.386486,373.0,0.0,1
grpc-dpumesh,1024,bound,19292,19041.0,0.569157,0.530809,0.572113,0.532537,2998.0,0.0,1
grpc-dpumesh,1024,bound,23426,23425.0,0.711403,0.681521,0.716381,0.686001,15036.0,0.0,1
grpc-dpumesh,1024,bound,26182,26182.0,0.819377,0.791616,0.826022,0.79705,141335.0,0.0,1
grpc-dpumesh,1024,bound,27560,27546.0,0.85095,0.80263,0.856774,0.80768,32056.0,0.0,1
grpc-dpumesh,1024,bound,28938,29300.0,0.897606,0.844125,0.903975,0.849553,132710.0,0.0,1
grpc-dpumesh,1024,bound,31694,25889.0,0.927977,0.988931,0.934597,0.995683,1868882.96,0.0,0
grpc-dpumesh,1024,bound,35828,24239.0,0.98815,0.988141,0.995411,0.995596,3508050.36,0.0,0
grpc-dpumesh,1024,common,3316,3316.0,0.126404,0.124741,0.127182,0.125506,502.0,0.0,1
grpc-dpumesh,1024,common,6631,6631.0,0.245483,0.213851,0.246854,0.215061,398.0,0.0,1
grpc-dpumesh,1024,common,9947,9946.0,0.333574,0.291322,0.335805,0.293305,409.0,0.0,1
grpc-dpumesh,1024,common,11936,11936.0,0.387228,0.325517,0.389939,0.32779,328.0,0.0,1
grpc-dpumesh,8192,bound,1100,1100.0,0.054504,0.091506,0.054719,0.09206,534.0,0.0,1
grpc-dpumesh,8192,bound,3301,3301.0,0.156044,0.130286,0.157122,0.131193,282.0,0.0,1
