config,binary_class,role,app,container,path,sha256
grpc-envoy-permissive,grpc,client,bench-grpc-envoy,bench-grpc-envoy,/usr/local/bin/bench_grpc,4b9b9c0b307408d6b38ae49f8e794568b2e4f654a2ed820aa191d7723ed21af5
grpc-envoy-permissive,grpc,server,echo-grpc-envoy,echo-grpc-envoy,/usr/local/bin/echo_grpc,81bdf996d03defeb7b01b6d26bf94ed1166e39924884d1741252a6d01bc6fb8e
grpc-envoy-strict,grpc,client,bench-grpc-envoy-strict,bench-grpc-envoy-strict,/usr/local/bin/bench_grpc,4b9b9c0b307408d6b38ae49f8e794568b2e4f654a2ed820aa191d7723ed21af5
grpc-envoy-strict,grpc,server,echo-grpc-envoy-strict,echo-grpc-envoy-strict,/usr/local/bin/echo_grpc,81bdf996d03defeb7b01b6d26bf94ed1166e39924884d1741252a6d01bc6fb8e
grpc-linkerd,grpc,client,bench-grpc-linkerd,bench-grpc-linkerd,/usr/local/bin/bench_grpc,4b9b9c0b307408d6b38ae49f8e794568b2e4f654a2ed820aa191d7723ed21af5
grpc-linkerd,grpc,server,echo-grpc-linkerd,echo-grpc-linkerd,/usr/local/bin/echo_grpc,81bdf996d03defeb7b01b6d26bf94ed1166e39924884d1741252a6d01bc6fb8e
grpc-linkerd-opaque,grpc,client,bench-grpc-linkerd-opaque,bench-grpc-linkerd-opaque,/usr/local/bin/bench_grpc,4b9b9c0b307408d6b38ae49f8e794568b2e4f654a2ed820aa191d7723ed21af5
grpc-linkerd-opaque,grpc,server,echo-grpc-linkerd-opaque,echo-grpc-linkerd-opaque,/usr/local/bin/echo_grpc,81bdf996d03defeb7b01b6d26bf94ed1166e39924884d1741252a6d01bc6fb8e
grpc-tcp,grpc,client,bench-grpc-tcp,bench-grpc-tcp,/usr/local/bin/bench_grpc,4b9b9c0b307408d6b38ae49f8e794568b2e4f654a2ed820aa191d7723ed21af5
grpc-tcp,grpc,server,echo-grpc-tcp,echo-grpc-tcp,/usr/local/bin/echo_grpc,81bdf996d03defeb7b01b6d26bf94ed1166e39924884d1741252a6d01bc6fb8e
grpc-dpumesh,grpc,client,bench-grpc-dpumesh,bench-grpc-dpumesh,/usr/local/bin/bench_grpc,4b9b9c0b307408d6b38ae49f8e794568b2e4f654a2ed820aa191d7723ed21af5
grpc-dpumesh,grpc,server,echo-grpc-dpumesh,echo-grpc-dpumesh,/usr/local/bin/echo_grpc,81bdf996d03defeb7b01b6d26bf94ed1166e39924884d1741252a6d01bc6fb8e
