observed_utc,config,role,pid,allowed_core,numa_node
2026-08-10T13:08:52Z,grpc-envoy-permissive,client_app,3648466,20,1
2026-08-10T13:08:52Z,grpc-envoy-permissive,server_app,3648094,21,1
2026-08-10T13:08:52Z,grpc-envoy-permissive,client_sidecar,3648502,20,1
2026-08-10T13:08:52Z,grpc-envoy-permissive,server_sidecar,3648137,21,1
2026-08-10T13:08:52Z,grpc-envoy-strict,client_app,3649793,24,1
2026-08-10T13:08:52Z,grpc-envoy-strict,server_app,3649399,25,1
2026-08-10T13:08:52Z,grpc-envoy-strict,client_sidecar,3649819,24,1
2026-08-10T13:08:52Z,grpc-envoy-strict,server_sidecar,3649442,25,1
2026-08-10T13:08:52Z,grpc-linkerd,client_app,3650843,26,1
2026-08-10T13:08:52Z,grpc-linkerd,server_app,3650320,27,1
2026-08-10T13:08:52Z,grpc-linkerd,client_sidecar,3650754,26,1
2026-08-10T13:08:52Z,grpc-linkerd,server_sidecar,3650230,27,1
2026-08-10T13:08:52Z,grpc-linkerd-opaque,client_app,3651857,28,1
2026-08-10T13:08:52Z,grpc-linkerd-opaque,server_app,3651316,29,1
2026-08-10T13:08:52Z,grpc-linkerd-opaque,client_sidecar,3651764,28,1
2026-08-10T13:08:52Z,grpc-linkerd-opaque,server_sidecar,3651225,29,1
2026-08-10T13:08:52Z,grpc-tcp,client_app,3649126,22,1
2026-08-10T13:08:52Z,grpc-tcp,server_app,3648857,23,1
2026-08-10T13:08:52Z,grpc-dpumesh,client_app,3647777,18,1
2026-08-10T13:08:52Z,grpc-dpumesh,server_app,3647192,19,1
