config,frame_bytes,highest_clean_rps,lowest_bad_rps,bracket_ratio,status,validation_duration_s,highest_clean_client_busy,highest_clean_server_busy,lowest_bad_client_busy,lowest_bad_server_busy,host_core_budget,core_saturated,core_saturation_threshold,highest_clean_dpu_arm_cores,lowest_bad_dpu_arm_cores,highest_clean_tx_grow_waits,lowest_bad_tx_grow_waits,capacity_signal
grpc-tcp,64,33876,34517,1.018922,bracketed,10,0.992507,0.988494,0.996408,0.996053,2,1,0.95,NA,NA,0.000000,0.000000,host_core
grpc-dpumesh,64,29155,29707,1.018933,bracketed,10,0.885749,0.870846,0.844063,0.822446,2,0,0.95,2.336678,1.795804,0.000000,0.000000,achieved_rolloff
grpc-envoy-permissive,64,52149,53137,1.018946,bracketed,10,0.996134,0.957275,0.996238,0.943538,2,1,0.95,NA,NA,0.000000,0.000000,host_core
grpc-envoy-strict,64,51180,52149,1.018933,bracketed,10,0.996123,0.948983,0.996136,0.937288,2,1,0.95,NA,NA,0.000000,0.000000,host_core
grpc-linkerd,64,15701,15998,1.018916,bracketed,10,0.996787,0.866761,0.996081,0.626813,2,1,0.95,NA,NA,0.000000,0.000000,host_core
grpc-linkerd-opaque,64,49296,50229,1.018926,bracketed,10,0.996296,0.927324,0.996452,0.918452,2,1,0.95,NA,NA,0.000000,0.000000,host_core
grpc-tcp,1024,30270,30843,1.018930,bracketed,10,0.996212,0.994838,0.995833,0.995949,2,1,0.95,NA,NA,0.000000,0.000000,host_core
grpc-dpumesh,1024,28613,29155,1.018942,bracketed,10,0.884833,0.860196,0.909660,0.962170,2,1,0.95,2.305182,1.674214,0.000000,0.000000,host_core
grpc-envoy-permissive,1024,48380,49296,1.018933,bracketed,10,0.996239,0.945000,0.996258,0.895764,2,1,0.95,NA,NA,0.000000,0.000000,host_core
grpc-envoy-strict,1024,46599,47481,1.018927,bracketed,10,0.996252,0.952170,0.996317,0.896752,2,1,0.95,NA,NA,0.000000,0.000000,host_core
grpc-linkerd,1024,13262,13513,1.018926,bracketed,10,0.996306,0.860343,0.996488,0.718804,2,1,0.95,NA,NA,0.000000,0.000000,host_core
grpc-linkerd-opaque,1024,44049,44883,1.018933,bracketed,10,0.996167,0.927986,0.996174,0.883722,2,1,0.95,NA,NA,0.000000,0.000000,host_core
