NAME                                         READY   STATUS    RESTARTS   AGE   IP             NODE      NOMINATED NODE   READINESS GATES
bench-grpc-dpumesh-686dfb7846-pp7q7          1/1     Running   0          13m   10.244.0.209   rapids4   <none>           <none>
bench-grpc-envoy-645c85c9f6-khwxf            2/2     Running   0          13m   10.244.0.211   rapids4   <none>           <none>
bench-grpc-envoy-strict-7d869f6f4f-4r5lb     2/2     Running   0          13m   10.244.0.215   rapids4   <none>           <none>
bench-grpc-linkerd-78494f4d89-mljvv          2/2     Running   0          13m   10.244.0.217   rapids4   <none>           <none>
bench-grpc-linkerd-opaque-6c6b945bcc-vhgxb   2/2     Running   0          13m   10.244.0.219   rapids4   <none>           <none>
bench-grpc-tcp-6b6f77b98-ns42w               1/1     Running   0          13m   10.244.0.213   rapids4   <none>           <none>
echo-grpc-dpumesh-758b6d6dbb-4s54s           1/1     Running   0          14m   10.244.0.208   rapids4   <none>           <none>
echo-grpc-envoy-554f5bf54-zkrc9              2/2     Running   0          13m   10.244.0.210   rapids4   <none>           <none>
echo-grpc-envoy-strict-5c67c9d997-28787      2/2     Running   0          13m   10.244.0.214   rapids4   <none>           <none>
echo-grpc-linkerd-778d747ddc-zgw7b           2/2     Running   0          13m   10.244.0.216   rapids4   <none>           <none>
echo-grpc-linkerd-opaque-7c9cc95f5f-v2f6l    2/2     Running   0          13m   10.244.0.218   rapids4   <none>           <none>
echo-grpc-tcp-95c584986-2wt8l                1/1     Running   0          13m   10.244.0.212   rapids4   <none>           <none>
