config,frame_bytes,generator,knee_rps,generator_clean_rps,headroom_ratio,required_ratio,status
grpc-tcp,64,grpc,33876,28832525,851.119524,1.25,pass
grpc-dpumesh,64,grpc,29707,28832525,970.563335,1.25,pass
grpc-envoy-permissive,64,grpc,52149,28832525,552.887400,1.25,pass
grpc-envoy-strict,64,grpc,51180,28832525,563.355315,1.25,pass
grpc-linkerd,64,grpc,15701,28832525,1836.349596,1.25,pass
grpc-linkerd-opaque,64,grpc,50229,28832525,574.021482,1.25,pass
grpc-tcp,1024,grpc,30270,28832525,952.511563,1.25,pass
grpc-dpumesh,1024,grpc,27560,28832525,1046.172896,1.25,pass
grpc-envoy-permissive,1024,grpc,48380,28832525,595.959591,1.25,pass
grpc-envoy-strict,1024,grpc,46599,28832525,618.736990,1.25,pass
grpc-linkerd,1024,grpc,13262,28832525,2174.070653,1.25,pass
grpc-linkerd-opaque,1024,grpc,44049,28832525,654.555722,1.25,pass
grpc-linkerd,8192,grpc,10790,12814455,1187.623262,1.25,pass
grpc-linkerd-opaque,8192,grpc,25568,12814455,501.191137,1.25,pass
grpc-tcp,8192,grpc,26052,12814455,491.879894,1.25,pass
grpc-dpumesh,8192,grpc,22005,12814455,582.342877,1.25,pass
grpc-envoy-permissive,8192,grpc,35171,12814455,364.347189,1.25,pass
grpc-envoy-strict,8192,grpc,28613,12814455,447.854297,1.25,pass
