Linux 5.15.0-186-generic (rapids4) 	08/11/2026 	_x86_64_	(36 CPU)

12:35:31 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:35:32 AM  all    5.57    0.00    1.60    0.03    0.00    0.20    0.00    0.00    0.00   92.61
12:35:32 AM    0    4.17    0.00    3.12    0.00    0.00    1.04    0.00    0.00    0.00   91.67
12:35:32 AM    1    4.04    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   90.91
12:35:32 AM    2   10.10    0.00    2.02    0.00    0.00    2.02    0.00    0.00    0.00   85.86
12:35:32 AM    3    5.05    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   91.92
12:35:32 AM    4    7.07    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   91.92
12:35:32 AM    5    6.19    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   91.75
12:35:32 AM    6    5.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   92.00
12:35:32 AM    7    5.00    0.00    3.00    1.00    0.00    1.00    0.00    0.00    0.00   90.00
12:35:32 AM    8    5.05    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   91.92
12:35:32 AM    9    3.06    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.90
12:35:32 AM   10    5.15    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   92.78
12:35:32 AM   11   11.11    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   86.87
12:35:32 AM   12    3.12    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   95.83
12:35:32 AM   13    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
12:35:32 AM   14    4.12    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   93.81
12:35:32 AM   15    5.05    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   92.93
12:35:32 AM   16    5.05    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   88.89
12:35:32 AM   17    7.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00
12:35:32 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:35:32 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:35:32 AM   20    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
12:35:32 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:35:32 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
