Linux 5.15.0-186-generic (rapids4) 	08/11/2026 	_x86_64_	(36 CPU)

01:11:51 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:52 AM  all    2.74    0.00    1.55    0.11    0.00    0.00    0.00    0.00    0.00   95.60
01:11:52 AM    0    6.25    0.00    3.12    1.04    0.00    0.00    0.00    0.00    0.00   89.58
01:11:52 AM    1    3.19    0.00    3.19    0.00    0.00    0.00    0.00    0.00    0.00   93.62
01:11:52 AM    2    4.12    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   92.78
01:11:52 AM    3    5.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
01:11:52 AM    4    5.21    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   91.67
01:11:52 AM    5    5.21    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   91.67
01:11:52 AM    6    5.15    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   90.72
01:11:52 AM    7    5.21    0.00    2.08    1.04    0.00    0.00    0.00    0.00    0.00   91.67
01:11:52 AM    8   12.37    0.00    5.15    0.00    0.00    0.00    0.00    0.00    0.00   82.47
01:11:52 AM    9    7.14    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   89.80
01:11:52 AM   10    6.12    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   90.82
01:11:52 AM   11    3.06    0.00    4.08    1.02    0.00    0.00    0.00    0.00    0.00   91.84
01:11:52 AM   12    8.16    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   89.80
01:11:52 AM   13    7.14    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   87.76
01:11:52 AM   14    5.05    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   91.92
01:11:52 AM   15    4.21    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   94.74
01:11:52 AM   16    4.21    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   92.63
01:11:52 AM   17    3.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.91
01:11:52 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
