Linux 5.15.0-186-generic (rapids4) 	08/11/2026 	_x86_64_	(36 CPU)

01:12:00 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:12:01 AM  all    3.18    0.00    1.35    0.03    0.00    0.03    0.00    0.00    0.00   95.41
01:12:01 AM    0    7.14    0.00    2.04    1.02    0.00    0.00    0.00    0.00    0.00   89.80
01:12:01 AM    1    7.07    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   88.89
01:12:01 AM    2   10.20    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   86.73
01:12:01 AM    3    7.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
01:12:01 AM    4    5.21    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   91.67
01:12:01 AM    5    7.14    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   89.80
01:12:01 AM    6    5.15    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   91.75
01:12:01 AM    7    7.14    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   89.80
01:12:01 AM    8    4.08    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   92.86
01:12:01 AM    9    4.17    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   94.79
01:12:01 AM   10    8.16    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   89.80
01:12:01 AM   11    7.29    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   90.62
01:12:01 AM   12    7.37    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   91.58
01:12:01 AM   13    4.12    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   94.85
01:12:01 AM   14    6.06    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   90.91
01:12:01 AM   15   10.20    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   81.63
01:12:01 AM   16    4.21    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   93.68
01:12:01 AM   17    4.08    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   94.90
01:12:01 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:01 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:01 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:01 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:01 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:01 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:01 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:01 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:01 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:01 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:01 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:01 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:01 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:01 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:01 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:01 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:01 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:01 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:12:01 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:12:02 AM  all    2.66    0.00    1.82    0.11    0.00    0.17    0.00    0.00    0.00   95.24
01:12:02 AM    0    7.07    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   90.91
01:12:02 AM    1    3.06    0.00    4.08    0.00    0.00    1.02    0.00    0.00    0.00   91.84
01:12:02 AM    2    3.06    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   92.86
01:12:02 AM    3    6.06    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   89.90
01:12:02 AM    4    3.09    0.00    3.09    0.00    0.00    2.06    0.00    0.00    0.00   91.75
01:12:02 AM    5    4.21    0.00    2.11    1.05    0.00    0.00    0.00    0.00    0.00   92.63
01:12:02 AM    6    9.18    0.00    7.14    1.02    0.00    1.02    0.00    0.00    0.00   81.63
01:12:02 AM    7    4.12    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   89.69
01:12:02 AM    8    6.00    0.00    3.00    1.00    0.00    0.00    0.00    0.00    0.00   90.00
01:12:02 AM    9    5.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   92.00
01:12:02 AM   10    6.86    0.00    3.92    0.00    0.00    0.00    0.00    0.00    0.00   89.22
01:12:02 AM   11    3.09    0.00    2.06    0.00    0.00    1.03    0.00    0.00    0.00   93.81
01:12:02 AM   12    7.07    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   90.91
