Linux 5.15.0-186-generic (rapids4) 	08/11/2026 	_x86_64_	(36 CPU)

01:11:00 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:01 AM  all    2.72    0.00    1.68    0.03    0.00    0.20    0.00    0.00    0.00   95.38
01:11:01 AM    0    5.10    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   90.82
01:11:01 AM    1    4.00    0.00    4.00    0.00    0.00    2.00    0.00    0.00    0.00   90.00
01:11:01 AM    2    8.25    0.00   12.37    0.00    0.00    1.03    0.00    0.00    0.00   78.35
01:11:01 AM    3    5.15    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   92.78
01:11:01 AM    4    4.08    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   92.86
01:11:01 AM    5    7.07    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   87.88
01:11:01 AM    6    7.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
01:11:01 AM    7    4.17    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   93.75
01:11:01 AM    8    4.17    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   92.71
01:11:01 AM    9    6.19    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   91.75
01:11:01 AM   10    3.06    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   92.86
01:11:01 AM   11    6.06    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   90.91
01:11:01 AM   12    7.69    0.00    2.88    0.00    0.00    0.96    0.00    0.00    0.00   88.46
01:11:01 AM   13    6.12    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   90.82
01:11:01 AM   14    3.06    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   93.88
01:11:01 AM   15    5.00    0.00    3.00    1.00    0.00    0.00    0.00    0.00    0.00   91.00
01:11:01 AM   16    5.15    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   92.78
01:11:01 AM   17    5.05    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   94.95
01:11:01 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:01 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:01 AM   20    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:11:01 AM   21    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:11:01 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:01 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:01 AM   24    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:11:01 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:01 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:01 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:01 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:01 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:01 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:01 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:01 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:01 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:01 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:01 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:11:01 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:02 AM  all    3.67    0.00    1.40    0.06    0.00    0.11    0.00    0.00    0.00   94.76
01:11:02 AM    0    6.06    0.00    3.03    1.01    0.00    1.01    0.00    0.00    0.00   88.89
01:11:02 AM    1    7.29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.71
01:11:02 AM    2   11.00    0.00    4.00    0.00    0.00    1.00    0.00    0.00    0.00   84.00
01:11:02 AM    3    8.16    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   89.80
01:11:02 AM    4    8.91    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   88.12
01:11:02 AM    5    3.16    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   95.79
01:11:02 AM    6    9.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
01:11:02 AM    7    4.95    0.00    3.96    0.99    0.00    0.00    0.00    0.00    0.00   90.10
01:11:02 AM    8   17.17    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   79.80
01:11:02 AM    9    8.91    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   88.12
01:11:02 AM   10    5.15    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   92.78
01:11:02 AM   11    6.25    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   92.71
01:11:02 AM   12    7.14    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   89.80
01:11:02 AM   13    6.12    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   89.80
01:11:02 AM   14    6.25    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   91.67
01:11:02 AM   15    5.94    0.00    4.95    0.00    0.00    0.99    0.00    0.00    0.00   88.12
01:11:02 AM   16    7.00    0.00    5.00    0.00    0.00    1.00    0.00    0.00    0.00   87.00
01:11:02 AM   17    3.06    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.90
01:11:02 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:02 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:02 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:02 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:02 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:02 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:02 AM   24    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:11:02 AM   25    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
