Linux 5.15.0-186-generic (rapids4) 	08/11/2026 	_x86_64_	(36 CPU)

01:12:55 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:12:56 AM  all    2.28    0.00    1.29    0.03    0.00    0.11    0.00    0.00    0.00   96.29
01:12:56 AM    0    5.05    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   90.91
01:12:56 AM    1    5.05    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   91.92
01:12:56 AM    2    4.12    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   94.85
01:12:56 AM    3    2.06    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   95.88
01:12:56 AM    4    4.12    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   92.78
01:12:56 AM    5    8.25    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   88.66
01:12:56 AM    6    5.26    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   92.63
01:12:56 AM    7    6.06    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   89.90
01:12:56 AM    8    4.08    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   93.88
01:12:56 AM    9    6.06    0.00    3.03    1.01    0.00    1.01    0.00    0.00    0.00   88.89
01:12:56 AM   10    3.12    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   94.79
01:12:56 AM   11    2.08    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   96.88
01:12:56 AM   12    4.17    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   93.75
01:12:56 AM   13    4.04    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.95
01:12:56 AM   14    4.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   93.00
01:12:56 AM   15    6.06    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   91.92
01:12:56 AM   16    4.12    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   93.81
01:12:56 AM   17    5.05    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   86.87
01:12:56 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:56 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:56 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:56 AM   21    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01:12:56 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:56 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:56 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:56 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:56 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:56 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:56 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:56 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:56 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:56 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:56 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:56 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:56 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:56 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:12:56 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:12:57 AM  all    2.19    0.00    1.12    0.03    0.00    0.03    0.00    0.00    0.00   96.64
01:12:57 AM    0    3.12    0.00    1.04    1.04    0.00    0.00    0.00    0.00    0.00   94.79
01:12:57 AM    1    4.95    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   91.09
01:12:57 AM    2    2.08    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   95.83
01:12:57 AM    3    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
01:12:57 AM    4    6.12    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   89.80
01:12:57 AM    5    2.06    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   95.88
01:12:57 AM    6    6.86    0.00    3.92    0.00    0.00    0.00    0.00    0.00    0.00   89.22
01:12:57 AM    7    2.04    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   94.90
01:12:57 AM    8    5.10    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   92.86
01:12:57 AM    9    5.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
01:12:57 AM   10    5.94    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   91.09
01:12:57 AM   11    4.08    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   92.86
01:12:57 AM   12    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
01:12:57 AM   13    5.10    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   93.88
01:12:57 AM   14    4.08    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   92.86
01:12:57 AM   15    4.17    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   94.79
01:12:57 AM   16    4.17    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   94.79
01:12:57 AM   17    3.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.94
01:12:57 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:57 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:57 AM   20    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:12:57 AM   21    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:12:57 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:57 AM   23    0.98    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00   98.04
01:12:57 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:57 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:57 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:57 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:57 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:57 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:57 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:57 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:57 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:57 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:57 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:57 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:12:57 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:12:58 AM  all    2.17    0.00    1.38    0.06    0.00    0.06    0.00    0.00    0.00   96.34
01:12:58 AM    0    5.10    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   92.86
01:12:58 AM    1    3.09    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   92.78
01:12:58 AM    2    8.16    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   87.76
01:12:58 AM    3    3.09    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   94.85
01:12:58 AM    4    4.08    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   91.84
01:12:58 AM    5    1.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.94
01:12:58 AM    6    4.04    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   91.92
01:12:58 AM    7    5.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
01:12:58 AM    8    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
01:12:58 AM    9    3.16    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   94.74
01:12:58 AM   10    3.06    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.90
01:12:58 AM   11    4.12    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   93.81
01:12:58 AM   12    5.10    0.00    2.04    1.02    0.00    0.00    0.00    0.00    0.00   91.84
01:12:58 AM   13    4.04    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   92.93
01:12:58 AM   14    4.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   93.00
01:12:58 AM   15    5.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
01:12:58 AM   16    7.37    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   90.53
01:12:58 AM   17    6.06    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   87.88
01:12:58 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:58 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:58 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:58 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:58 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:58 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:58 AM   24    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:12:58 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:58 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:58 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:58 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:58 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:58 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:58 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:58 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:58 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:58 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:58 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:12:58 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:12:59 AM  all    2.17    0.00    1.49    0.14    0.00    0.06    0.00    0.00    0.00   96.14
01:12:59 AM    0    5.21    0.00    6.25    0.00    0.00    0.00    0.00    0.00    0.00   88.54
01:12:59 AM    1    7.14    0.00    6.12    0.00    0.00    1.02    0.00    0.00    0.00   85.71
01:12:59 AM    2    2.13    0.00    2.13    0.00    0.00    0.00    0.00    0.00    0.00   95.74
01:12:59 AM    3    6.25    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   91.67
01:12:59 AM    4    4.12    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   93.81
01:12:59 AM    5    3.12    0.00    5.21    0.00    0.00    0.00    0.00    0.00    0.00   91.67
01:12:59 AM    6    6.12    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   91.84
01:12:59 AM    7    4.17    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   94.79
01:12:59 AM    8    4.12    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   94.85
01:12:59 AM    9    5.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
01:12:59 AM   10    4.12    0.00    2.06    1.03    0.00    0.00    0.00    0.00    0.00   92.78
01:12:59 AM   11    3.09    0.00    2.06    1.03    0.00    0.00    0.00    0.00    0.00   93.81
01:12:59 AM   12    4.21    0.00    6.32    0.00    0.00    0.00    0.00    0.00    0.00   89.47
01:12:59 AM   13    5.15    0.00    1.03    1.03    0.00    0.00    0.00    0.00    0.00   92.78
01:12:59 AM   14    5.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
01:12:59 AM   15    4.12    0.00    2.06    1.03    0.00    0.00    0.00    0.00    0.00   92.78
01:12:59 AM   16    4.08    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   91.84
01:12:59 AM   17    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
01:12:59 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:59 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:59 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:59 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:59 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:59 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:59 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:59 AM   25    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:12:59 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:59 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:59 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:59 AM   29    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01:12:59 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:59 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:59 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:59 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:59 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:12:59 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:12:59 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:13:00 AM  all    2.43    0.00    1.48    0.00    0.00    0.11    0.00    0.00    0.00   95.98
01:13:00 AM    0    3.16    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   95.79
01:13:00 AM    1    4.08    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   92.86
01:13:00 AM    2    6.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   91.00
01:13:00 AM    3    6.80    0.00    2.91    0.00    0.00    0.97    0.00    0.00    0.00   89.32
01:13:00 AM    4    4.04    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   91.92
01:13:00 AM    5    7.92    0.00    3.96    0.00    0.00    0.99    0.00    0.00    0.00   87.13
01:13:00 AM    6    8.25    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   88.66
01:13:00 AM    7    4.04    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   91.92
01:13:00 AM    8    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
01:13:00 AM    9    5.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
01:13:00 AM   10    5.94    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00   90.10
01:13:00 AM   11    4.95    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   91.09
01:13:00 AM   12    6.06    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   85.86
01:13:00 AM   13    5.05    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   91.92
01:13:00 AM   14    1.03    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   95.88
01:13:00 AM   15    5.10    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   93.88
01:13:00 AM   16    2.06    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   95.88
01:13:00 AM   17    1.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.97
01:13:00 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:00 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:00 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:00 AM   21    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
01:13:00 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:00 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:00 AM   24    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01:13:00 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:00 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:00 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:00 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:00 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:00 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:00 AM   31    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01:13:00 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:00 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:00 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:13:00 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    2.25    0.00    1.35    0.05    0.00    0.07    0.00    0.00    0.00   96.28
Average:       0    4.34    0.00    2.89    0.21    0.00    0.00    0.00    0.00    0.00   92.56
Average:       1    4.87    0.00    4.06    0.00    0.00    0.20    0.00    0.00    0.00   90.87
Average:       2    4.54    0.00    2.27    0.00    0.00    0.21    0.00    0.00    0.00   92.99
Average:       3    4.48    0.00    2.24    0.00    0.00    0.20    0.00    0.00    0.00   93.08
Average:       4    4.50    0.00    3.48    0.00    0.00    0.00    0.00    0.00    0.00   92.02
Average:       5    4.54    0.00    2.89    0.00    0.00    0.21    0.00    0.00    0.00   92.37
Average:       6    6.11    0.00    2.65    0.20    0.00    0.20    0.00    0.00    0.00   90.84
Average:       7    4.27    0.00    3.25    0.00    0.00    0.20    0.00    0.00    0.00   92.28
Average:       8    4.09    0.00    1.43    0.00    0.00    0.20    0.00    0.00    0.00   94.27
Average:       9    4.86    0.00    2.63    0.20    0.00    0.20    0.00    0.00    0.00   92.11
Average:      10    4.46    0.00    2.43    0.20    0.00    0.20    0.00    0.00    0.00   92.70
Average:      11    3.68    0.00    2.45    0.20    0.00    0.00    0.00    0.00    0.00   93.66
Average:      12    4.73    0.00    4.12    0.21    0.00    0.00    0.00    0.00    0.00   90.95
Average:      13    4.67    0.00    1.63    0.41    0.00    0.00    0.00    0.00    0.00   93.29
Average:      14    3.64    0.00    2.63    0.00    0.00    0.40    0.00    0.00    0.00   93.33
Average:      15    4.90    0.00    1.63    0.20    0.00    0.20    0.00    0.00    0.00   93.06
Average:      16    4.35    0.00    2.07    0.00    0.00    0.21    0.00    0.00    0.00   93.37
Average:      17    3.46    0.00    3.25    0.00    0.00    0.00    0.00    0.00    0.00   93.29
Average:      18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      20    0.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.80
Average:      21    0.40    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   99.20
Average:      22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      23    0.20    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.60
Average:      24    0.20    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.60
Average:      25    0.00    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.80
Average:      26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      29    0.00    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.80
Average:      30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      31    0.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.80
Average:      32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
Average:      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
