Linux 5.15.0-186-generic (rapids4) 	08/11/2026 	_x86_64_	(36 CPU)

01:11:06 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:07 AM  all    3.01    0.00    1.29    0.03    0.00    0.00    0.00    0.00    0.00   95.67
01:11:07 AM    0    6.25    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   92.71
01:11:07 AM    1    5.15    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   92.78
01:11:07 AM    2    7.07    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   90.91
01:11:07 AM    3    5.26    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   92.63
01:11:07 AM    4    5.10    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   91.84
01:11:07 AM    5    7.22    0.00    1.03    1.03    0.00    0.00    0.00    0.00    0.00   90.72
01:11:07 AM    6    7.07    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   88.89
01:11:07 AM    7    5.21    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   93.75
01:11:07 AM    8    5.15    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   91.75
01:11:07 AM    9    4.04    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   91.92
01:11:07 AM   10    5.10    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   90.82
01:11:07 AM   11    6.12    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   92.86
01:11:07 AM   12    7.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
01:11:07 AM   13    6.12    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   91.84
01:11:07 AM   14    9.09    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   86.87
01:11:07 AM   15    5.21    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   92.71
01:11:07 AM   16    8.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
01:11:07 AM   17    5.05    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   93.94
01:11:07 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:07 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:07 AM   20    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:11:07 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:07 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:07 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:07 AM   24    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01:11:07 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:07 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:07 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:07 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:07 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:07 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:07 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:07 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:07 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:07 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:07 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:11:07 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:08 AM  all    2.77    0.00    1.82    0.08    0.00    0.08    0.00    0.00    0.00   95.24
01:11:08 AM    0    5.15    0.00    5.15    0.00    0.00    0.00    0.00    0.00    0.00   89.69
01:11:08 AM    1    7.07    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   90.91
01:11:08 AM    2    5.21    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   93.75
01:11:08 AM    3    6.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
01:11:08 AM    4    6.00    0.00    4.00    1.00    0.00    0.00    0.00    0.00    0.00   89.00
01:11:08 AM    5    5.94    0.00    2.97    0.99    0.00    0.00    0.00    0.00    0.00   90.10
01:11:08 AM    6    3.09    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   92.78
01:11:08 AM    7    4.12    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   92.78
01:11:08 AM    8    7.14    0.00   10.20    0.00    0.00    1.02    0.00    0.00    0.00   81.63
01:11:08 AM    9    7.14    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   87.76
01:11:08 AM   10    6.19    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   91.75
01:11:08 AM   11    8.00    0.00    3.00    1.00    0.00    0.00    0.00    0.00    0.00   88.00
01:11:08 AM   12    7.14    0.00    5.10    0.00    0.00    0.00    0.00    0.00    0.00   87.76
01:11:08 AM   13    3.96    0.00    2.97    0.00    0.00    1.98    0.00    0.00    0.00   91.09
01:11:08 AM   14    6.32    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   90.53
01:11:08 AM   15    3.06    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   93.88
01:11:08 AM   16    5.10    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   91.84
01:11:08 AM   17    4.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
01:11:08 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:08 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:08 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:08 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:08 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:08 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:08 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:08 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:08 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:08 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:08 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:08 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:08 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:08 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:08 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:08 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:08 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:11:08 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:11:08 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:11:09 AM  all    2.13    0.00    1.65    0.00    0.00    0.14    0.00    0.00    0.00   96.08
01:11:09 AM    0    4.00    0.00    3.00    0.00    0.00    2.00    0.00    0.00    0.00   91.00
01:11:09 AM    1    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
01:11:09 AM    2    3.06    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   93.88
01:11:09 AM    3    2.08    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   94.79
01:11:09 AM    4    5.00    0.00    6.00    0.00    0.00    1.00    0.00    0.00    0.00   88.00
01:11:09 AM    5    7.07    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   89.90
01:11:09 AM    6    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
01:11:09 AM    7    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
01:11:09 AM    8    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
01:11:09 AM    9    6.06    0.00    8.08    0.00    0.00    1.01    0.00    0.00    0.00   84.85
