Linux 5.15.0-186-generic (rapids4) 	08/11/2026 	_x86_64_	(36 CPU)

01:37:24 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:37:25 AM  all    3.01    0.00    1.80    0.03    0.00    0.31    0.00    0.00    0.00   94.85
01:37:25 AM    0    4.00    0.00    5.00    0.00    0.00    1.00    0.00    0.00    0.00   90.00
01:37:25 AM    1    4.21    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   94.74
01:37:25 AM    2    3.12    0.00    5.21    0.00    0.00    1.04    0.00    0.00    0.00   90.62
01:37:25 AM    3    8.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   89.00
01:37:25 AM    4    5.00    0.00    4.00    1.00    0.00    0.00    0.00    0.00    0.00   90.00
01:37:25 AM    5    6.06    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   90.91
01:37:25 AM    6    4.21    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   93.68
01:37:25 AM    7    5.15    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   91.75
01:37:25 AM    8    4.17    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   93.75
01:37:25 AM    9    3.06    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   93.88
01:37:25 AM   10   12.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   83.00
01:37:25 AM   11    3.16    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   94.74
01:37:25 AM   12    4.21    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   94.74
01:37:25 AM   13    4.12    0.00    2.06    0.00    0.00    1.03    0.00    0.00    0.00   92.78
01:37:25 AM   14    6.06    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   90.91
01:37:25 AM   15    4.12    0.00    2.06    0.00    0.00    1.03    0.00    0.00    0.00   92.78
01:37:25 AM   16    4.21    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   93.68
01:37:25 AM   17    4.04    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   94.95
01:37:25 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:25 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:25 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:25 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:25 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:25 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:25 AM   24    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01:37:25 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:25 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:25 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:25 AM   28    9.18    0.00    8.16    0.00    0.00    3.06    0.00    0.00    0.00   79.59
01:37:25 AM   29   10.10    0.00    6.06    0.00    0.00    3.03    0.00    0.00    0.00   80.81
01:37:25 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:25 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:25 AM   32    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01:37:25 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:25 AM   34    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01:37:25 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:37:25 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:37:26 AM  all    4.94    0.00    2.58    0.09    0.00    0.62    0.00    0.00    0.00   91.77
01:37:26 AM    0   12.00    0.00    3.00    1.00    0.00    2.00    0.00    0.00    0.00   82.00
01:37:26 AM    1    5.10    0.00    6.12    0.00    0.00    2.04    0.00    0.00    0.00   86.73
01:37:26 AM    2    4.12    0.00    3.09    0.00    0.00    2.06    0.00    0.00    0.00   90.72
01:37:26 AM    3    3.19    0.00    3.19    0.00    0.00    0.00    0.00    0.00    0.00   93.62
01:37:26 AM    4    3.23    0.00    1.08    0.00    0.00    1.08    0.00    0.00    0.00   94.62
01:37:26 AM    5    6.32    0.00    2.11    0.00    0.00    1.05    0.00    0.00    0.00   90.53
01:37:26 AM    6    7.29    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   89.58
01:37:26 AM    7   11.58    0.00    7.37    0.00    0.00    0.00    0.00    0.00    0.00   81.05
01:37:26 AM    8    5.10    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   91.84
01:37:26 AM    9    6.19    0.00    3.09    0.00    0.00    1.03    0.00    0.00    0.00   89.69
01:37:26 AM   10    7.29    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   90.62
01:37:26 AM   11    9.28    0.00    3.09    0.00    0.00    1.03    0.00    0.00    0.00   86.60
01:37:26 AM   12    6.06    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   90.91
01:37:26 AM   13    9.47    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   87.37
01:37:26 AM   14   11.22    0.00   11.22    0.00    0.00    0.00    0.00    0.00    0.00   77.55
01:37:26 AM   15   12.37    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   85.57
01:37:26 AM   16    9.47    0.00    4.21    0.00    0.00    0.00    0.00    0.00    0.00   86.32
01:37:26 AM   17    2.11    0.00    1.05    1.05    0.00    0.00    0.00    0.00    0.00   95.79
01:37:26 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:26 AM   19    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
01:37:26 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:26 AM   21    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
01:37:26 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:26 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:26 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:26 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:26 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:26 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:26 AM   28   23.00    0.00   16.00    0.00    0.00    7.00    0.00    0.00    0.00   54.00
01:37:26 AM   29   24.73    0.00   13.98    0.00    0.00    4.30    0.00    0.00    0.00   56.99
01:37:26 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:26 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:26 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:26 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:26 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:37:26 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:37:26 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:37:27 AM  all    3.42    0.00    2.37    0.03    0.00    0.71    0.00    0.00    0.00   93.48
01:37:27 AM    0    4.90    0.00    3.92    0.00    0.00    5.88    0.00    0.00    0.00   85.29
01:37:27 AM    1    6.06    0.00    2.02    0.00    0.00    3.03    0.00    0.00    0.00   88.89
01:37:27 AM    2    4.21    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   92.63
