Linux 5.15.0-186-generic (rapids4) 	08/11/2026 	_x86_64_	(36 CPU)

01:43:13 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:43:14 AM  all    3.50    0.00    2.03    0.00    0.00    0.34    0.00    0.00    0.00   94.13
01:43:14 AM    0    6.19    0.00    7.22    0.00    0.00    1.03    0.00    0.00    0.00   85.57
01:43:14 AM    1    4.17    0.00    1.04    0.00    0.00    1.04    0.00    0.00    0.00   93.75
01:43:14 AM    2    4.17    0.00    2.08    0.00    0.00    1.04    0.00    0.00    0.00   92.71
01:43:14 AM    3    4.17    0.00    1.04    0.00    0.00    1.04    0.00    0.00    0.00   93.75
01:43:14 AM    4    4.21    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   93.68
01:43:14 AM    5    5.21    0.00    1.04    0.00    0.00    1.04    0.00    0.00    0.00   92.71
01:43:14 AM    6    4.08    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   91.84
01:43:14 AM    7    8.33    0.00    7.29    0.00    0.00    0.00    0.00    0.00    0.00   84.38
01:43:14 AM    8   10.10    0.00    5.05    0.00    0.00    1.01    0.00    0.00    0.00   83.84
01:43:14 AM    9    7.22    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   91.75
01:43:14 AM   10    5.21    0.00    4.17    0.00    0.00    0.00    0.00    0.00    0.00   90.62
01:43:14 AM   11    6.06    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   91.92
01:43:14 AM   12    3.12    0.00    5.21    0.00    0.00    0.00    0.00    0.00    0.00   91.67
01:43:14 AM   13    6.32    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   92.63
01:43:14 AM   14    5.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
01:43:14 AM   15    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
01:43:14 AM   16    9.09    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   86.87
01:43:14 AM   17    2.04    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   95.92
01:43:14 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:43:14 AM   19    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01:43:14 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:43:14 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:43:14 AM   22   13.40    0.00    9.28    0.00    0.00    1.03    0.00    0.00    0.00   76.29
01:43:14 AM   23   14.00    0.00    6.00    0.00    0.00    4.00    0.00    0.00    0.00   76.00
01:43:14 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:43:14 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:43:14 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:43:14 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:43:14 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:43:14 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:43:14 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:43:14 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:43:14 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:43:14 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:43:14 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:43:14 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:43:14 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:43:15 AM  all    3.23    0.00    1.84    0.08    0.00    0.79    0.00    0.00    0.00   94.05
01:43:15 AM    0    4.00    0.00    1.00    1.00    0.00    5.00    0.00    0.00    0.00   89.00
01:43:15 AM    1    3.06    0.00    2.04    0.00    0.00    3.06    0.00    0.00    0.00   91.84
01:43:15 AM    2    6.06    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   91.92
01:43:15 AM    3    4.17    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   93.75
01:43:15 AM    4    2.11    0.00    1.05    0.00    0.00    1.05    0.00    0.00    0.00   95.79
01:43:15 AM    5    2.11    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   95.79
01:43:15 AM    6    3.16    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   94.74
01:43:15 AM    7    2.13    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   96.81
01:43:15 AM    8    4.21    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   93.68
01:43:15 AM    9    3.09    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   94.85
01:43:15 AM   10    3.06    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   93.88
01:43:15 AM   11    5.21    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   92.71
01:43:15 AM   12    4.08    0.00    2.04    1.02    0.00    1.02    0.00    0.00    0.00   91.84
01:43:15 AM   13    3.09    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   93.81
01:43:15 AM   14    2.08    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   95.83
01:43:15 AM   15    2.08    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   95.83
01:43:15 AM   16    3.19    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   95.74
01:43:15 AM   17    1.02    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   96.94
01:43:15 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:43:15 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:43:15 AM   20    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01:43:15 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:43:15 AM   22   29.90    0.00   17.53    0.00    0.00    8.25    0.00    0.00    0.00   44.33
01:43:15 AM   23   29.29    0.00   13.13    0.00    0.00    9.09    0.00    0.00    0.00   48.48
01:43:15 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:43:15 AM   25    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:43:15 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
