Linux 5.15.0-186-generic (rapids4) 	08/11/2026 	_x86_64_	(36 CPU)

01:29:20 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:29:21 AM  all    5.38    0.00    2.00    0.03    0.00    0.14    0.00    0.00    0.00   92.45
01:29:21 AM    0    7.29    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   89.58
01:29:21 AM    1   11.34    0.00   14.43    0.00    0.00    0.00    0.00    0.00    0.00   74.23
01:29:21 AM    2   10.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   87.00
01:29:21 AM    3    5.05    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   89.90
01:29:21 AM    4    8.25    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   88.66
01:29:21 AM    5    7.37    0.00    1.05    0.00    0.00    0.00    0.00    0.00    0.00   91.58
01:29:21 AM    6    3.09    0.00    4.12    0.00    0.00    1.03    0.00    0.00    0.00   91.75
01:29:21 AM    7    5.26    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   91.58
01:29:21 AM    8    7.14    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   90.82
01:29:21 AM    9    4.17    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   93.75
01:29:21 AM   10    6.19    0.00    2.06    0.00    0.00    1.03    0.00    0.00    0.00   90.72
01:29:21 AM   11    4.17    0.00    2.08    0.00    0.00    1.04    0.00    0.00    0.00   92.71
01:29:21 AM   12    8.08    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   89.90
01:29:21 AM   13   12.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   85.00
01:29:21 AM   14    3.09    0.00    5.15    0.00    0.00    0.00    0.00    0.00    0.00   91.75
01:29:21 AM   15    7.07    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   84.85
01:29:21 AM   16    7.14    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   88.78
01:29:21 AM   17    2.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.89
01:29:21 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:21 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:21 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:21 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:21 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:21 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:21 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:21 AM   25    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:29:21 AM   26   41.41    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   54.55
01:29:21 AM   27   32.35    0.00    1.96    0.00    0.00    0.98    0.00    0.00    0.00   64.71
01:29:21 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:21 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:21 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:21 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:21 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:21 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:21 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:21 AM   35    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01

01:29:21 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:29:22 AM  all    7.91    0.00    1.75    0.03    0.00    0.20    0.00    0.00    0.00   90.12
01:29:22 AM    0    7.22    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   89.69
01:29:22 AM    1    5.32    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   93.62
01:29:22 AM    2    6.32    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   91.58
01:29:22 AM    3    6.32    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   91.58
01:29:22 AM    4    4.12    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   92.78
01:29:22 AM    5   11.22    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   84.69
01:29:22 AM    6    9.28    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   88.66
01:29:22 AM    7    6.12    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   89.80
01:29:22 AM    8   11.11    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   84.85
01:29:22 AM    9    5.32    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   93.62
01:29:22 AM   10   11.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00
01:29:22 AM   11   12.12    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   81.82
01:29:22 AM   12    5.10    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   91.84
01:29:22 AM   13    5.10    0.00    4.08    1.02    0.00    0.00    0.00    0.00    0.00   89.80
01:29:22 AM   14    8.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   88.00
01:29:22 AM   15    6.12    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   90.82
01:29:22 AM   16    4.00    0.00    5.00    0.00    0.00    1.00    0.00    0.00    0.00   90.00
01:29:22 AM   17    4.95    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   92.08
01:29:22 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:22 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:22 AM   20    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01:29:22 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:22 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:22 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:22 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:22 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:22 AM   26   94.00    0.00    4.00    0.00    0.00    2.00    0.00    0.00    0.00    0.00
01:29:22 AM   27   60.61    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   34.34
01:29:22 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:22 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:22 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:22 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:22 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:22 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:22 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:29:22 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:29:22 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:29:23 AM  all    6.98    0.00    2.77    0.03    0.00    0.14    0.00    0.00    0.00   90.08
01:29:23 AM    0    6.12    0.00    2.04    0.00    0.00    2.04    0.00    0.00    0.00   89.80
01:29:23 AM    1    9.18    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00   83.67
01:29:23 AM    2    7.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00
01:29:23 AM    3    5.15    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   91.75
