Linux 5.15.0-186-generic (rapids4) 	08/11/2026 	_x86_64_	(36 CPU)

02:12:02 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:12:03 AM  all    6.09    0.00    2.81    0.08    0.00    0.22    0.00    0.00    0.00   90.79
02:12:03 AM    0    8.91    0.00    2.97    0.00    0.00    2.97    0.00    0.00    0.00   85.15
02:12:03 AM    1   12.12    0.00    9.09    0.00    0.00    1.01    0.00    0.00    0.00   77.78
02:12:03 AM    2   10.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00
02:12:03 AM    3    8.08    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   87.88
02:12:03 AM    4   12.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   85.00
02:12:03 AM    5    8.08    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   87.88
02:12:03 AM    6    7.14    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   90.82
02:12:03 AM    7    5.32    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   93.62
02:12:03 AM    8    9.28    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   84.54
02:12:03 AM    9    6.12    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   90.82
02:12:03 AM   10   11.34    0.00   17.53    0.00    0.00    0.00    0.00    0.00    0.00   71.13
02:12:03 AM   11    4.08    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   91.84
02:12:03 AM   12    6.06    0.00    2.02    1.01    0.00    1.01    0.00    0.00    0.00   89.90
02:12:03 AM   13    5.26    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   92.63
02:12:03 AM   14    5.21    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   92.71
02:12:03 AM   15    9.28    0.00    2.06    1.03    0.00    0.00    0.00    0.00    0.00   87.63
02:12:03 AM   16   11.34    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   84.54
02:12:03 AM   17    5.10    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   92.86
02:12:03 AM   18   40.40    0.00   17.17    0.00    0.00    0.00    0.00    0.00    0.00   42.42
02:12:03 AM   19   32.35    0.00   10.78    0.00    0.00    0.00    0.00    0.00    0.00   56.86
02:12:03 AM   20    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
02:12:03 AM   21    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
02:12:03 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
