Linux 5.15.0-186-generic (rapids4) 	08/11/2026 	_x86_64_	(36 CPU)

02:14:23 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:14:24 AM  all    5.08    0.00    2.22    0.06    0.00    0.45    0.00    0.00    0.00   92.19
02:14:24 AM    0    5.15    0.00    3.09    0.00    0.00    1.03    0.00    0.00    0.00   90.72
02:14:24 AM    1    6.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   90.00
02:14:24 AM    2    3.12    0.00    3.12    0.00    0.00    1.04    0.00    0.00    0.00   92.71
02:14:24 AM    3   16.16    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   79.80
02:14:24 AM    4   13.86    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00   82.18
02:14:24 AM    5    8.08    0.00    3.03    1.01    0.00    0.00    0.00    0.00    0.00   87.88
02:14:24 AM    6    6.25    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   91.67
02:14:24 AM    7    5.05    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   91.92
02:14:24 AM    8    2.11    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   95.79
02:14:24 AM    9    3.06    0.00    3.06    0.00    0.00    1.02    0.00    0.00    0.00   92.86
02:14:24 AM   10    5.05    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   91.92
02:14:24 AM   11    8.08    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   88.89
02:14:24 AM   12    5.05    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   90.91
02:14:24 AM   13    6.12    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   91.84
02:14:24 AM   14    6.12    0.00    2.04    0.00    0.00    1.02    0.00    0.00    0.00   90.82
02:14:24 AM   15    7.07    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   88.89
02:14:24 AM   16    3.16    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   93.68
02:14:24 AM   17    3.03    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   93.94
02:14:24 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:24 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:24 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:24 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:24 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:24 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:24 AM   24   38.00    0.00   16.00    0.00    0.00    4.00    0.00    0.00    0.00   42.00
02:14:24 AM   25   32.99    0.00   13.40    0.00    0.00    4.12    0.00    0.00    0.00   49.48
02:14:24 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:24 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:24 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:24 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:24 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:24 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:24 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:24 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:24 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:24 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

02:14:24 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:14:25 AM  all    5.81    0.00    2.89    0.03    0.00    0.62    0.00    0.00    0.00   90.65
02:14:25 AM    0    4.90    0.00    0.98    0.00    0.00    5.88    0.00    0.00    0.00   88.24
02:14:25 AM    1    4.12    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   93.81
02:14:25 AM    2    4.08    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   92.86
02:14:25 AM    3    1.05    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   95.79
02:14:25 AM    4    6.25    0.00    0.00    0.00    0.00    1.04    0.00    0.00    0.00   92.71
02:14:25 AM    5   18.18    0.00   18.18    0.00    0.00    0.00    0.00    0.00    0.00   63.64
02:14:25 AM    6    4.04    0.00    1.01    1.01    0.00    1.01    0.00    0.00    0.00   92.93
02:14:25 AM    7    2.04    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   93.88
02:14:25 AM    8    4.04    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   92.93
02:14:25 AM    9    2.06    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   95.88
02:14:25 AM   10    3.09    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   94.85
02:14:25 AM   11    2.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
02:14:25 AM   12    3.09    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   95.88
02:14:25 AM   13    2.06    0.00    2.06    0.00    0.00    1.03    0.00    0.00    0.00   94.85
02:14:25 AM   14    5.10    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   92.86
02:14:25 AM   15    3.03    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   92.93
02:14:25 AM   16    4.08    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   92.86
02:14:25 AM   17    4.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
02:14:25 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:25 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:25 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:25 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:25 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:25 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:25 AM   24   69.00    0.00   26.00    0.00    0.00    5.00    0.00    0.00    0.00    0.00
02:14:25 AM   25   62.00    0.00   22.00    0.00    0.00    6.00    0.00    0.00    0.00   10.00
02:14:25 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:25 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:25 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:25 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:25 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:25 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:25 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:25 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:25 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:25 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

02:14:25 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:14:26 AM  all    7.44    0.00    3.03    0.11    0.00    0.70    0.00    0.00    0.00   88.72
02:14:26 AM    0    6.12    0.00    2.04    0.00    0.00    3.06    0.00    0.00    0.00   88.78
02:14:26 AM    1    6.12    0.00    2.04    0.00    0.00    2.04    0.00    0.00    0.00   89.80
02:14:26 AM    2    6.12    0.00    3.06    0.00    0.00    2.04    0.00    0.00    0.00   88.78
02:14:26 AM    3    6.12    0.00    2.04    1.02    0.00    2.04    0.00    0.00    0.00   88.78
02:14:26 AM    4    6.25    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   90.62
02:14:26 AM    5    3.19    0.00    3.19    0.00    0.00    0.00    0.00    0.00    0.00   93.62
02:14:26 AM    6    7.14    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   88.78
02:14:26 AM    7   10.10    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   82.83
02:14:26 AM    8    6.06    0.00    3.03    0.00    0.00    1.01    0.00    0.00    0.00   89.90
02:14:26 AM    9   12.37    0.00    4.12    0.00    0.00    0.00    0.00    0.00    0.00   83.51
02:14:26 AM   10    6.19    0.00    5.15    0.00    0.00    0.00    0.00    0.00    0.00   88.66
02:14:26 AM   11    6.06    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   88.89
02:14:26 AM   12   12.37    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   84.54
02:14:26 AM   13   10.42    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   87.50
02:14:26 AM   14    7.84    0.00    3.92    0.98    0.00    0.98    0.00    0.00    0.00   86.27
02:14:26 AM   15    8.91    0.00    4.95    0.99    0.00    0.99    0.00    0.00    0.00   84.16
02:14:26 AM   16    8.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
02:14:26 AM   17    4.17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.83
02:14:26 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:26 AM   19    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
02:14:26 AM   20    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
02:14:26 AM   21    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
02:14:26 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:26 AM   23    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
02:14:26 AM   24   76.00    0.00   19.00    0.00    0.00    5.00    0.00    0.00    0.00    0.00
02:14:26 AM   25   58.16    0.00   25.51    0.00    0.00    7.14    0.00    0.00    0.00    9.18
02:14:26 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:26 AM   27    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
02:14:26 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:26 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:26 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:26 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:26 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:26 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:26 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:26 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

02:14:26 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:14:27 AM  all    6.35    0.00    3.15    0.03    0.00    0.42    0.00    0.00    0.00   90.05
02:14:27 AM    0    6.00    0.00    4.00    0.00    0.00    2.00    0.00    0.00    0.00   88.00
02:14:27 AM    1    6.06    0.00    2.02    0.00    0.00    2.02    0.00    0.00    0.00   89.90
02:14:27 AM    2    5.15    0.00    3.09    0.00    0.00    1.03    0.00    0.00    0.00   90.72
02:14:27 AM    3    5.10    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   92.86
02:14:27 AM    4    7.22    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   89.69
02:14:27 AM    5    7.14    0.00   17.35    0.00    0.00    0.00    0.00    0.00    0.00   75.51
02:14:27 AM    6    6.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
02:14:27 AM    7    3.03    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   91.92
02:14:27 AM    8    3.19    0.00    2.13    0.00    0.00    0.00    0.00    0.00    0.00   94.68
02:14:27 AM    9    4.17    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   93.75
02:14:27 AM   10    6.12    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   90.82
02:14:27 AM   11    5.10    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   91.84
02:14:27 AM   12    9.09    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   88.89
02:14:27 AM   13    4.21    0.00    2.11    0.00    0.00    0.00    0.00    0.00    0.00   93.68
02:14:27 AM   14    6.06    0.00    2.02    1.01    0.00    0.00    0.00    0.00    0.00   90.91
02:14:27 AM   15    5.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
02:14:27 AM   16    4.17    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   93.75
02:14:27 AM   17    4.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
02:14:27 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:27 AM   19    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
02:14:27 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:27 AM   21    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
02:14:27 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:27 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:27 AM   24   67.68    0.00   28.28    0.00    0.00    4.04    0.00    0.00    0.00    0.00
02:14:27 AM   25   64.65    0.00   20.20    0.00    0.00    5.05    0.00    0.00    0.00   10.10
02:14:27 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:14:27 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
