Linux 5.15.0-186-generic (rapids4) 	08/11/2026 	_x86_64_	(36 CPU)

02:02:07 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:02:08 AM  all    3.65    0.00    2.10    0.11    0.00    0.56    0.00    0.00    0.00   93.57
02:02:08 AM    0    5.00    0.00    3.00    0.00    0.00    4.00    0.00    0.00    0.00   88.00
02:02:08 AM    1   13.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   83.00
02:02:08 AM    2    5.05    0.00    2.02    1.01    0.00    2.02    0.00    0.00    0.00   89.90
02:02:08 AM    3    4.12    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   93.81
02:02:08 AM    4    2.08    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   94.79
02:02:08 AM    5    4.21    0.00    1.05    1.05    0.00    0.00    0.00    0.00    0.00   93.68
02:02:08 AM    6    5.15    0.00    7.22    0.00    0.00    0.00    0.00    0.00    0.00   87.63
02:02:08 AM    7    5.10    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   91.84
02:02:08 AM    8    5.05    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   92.93
02:02:08 AM    9    3.06    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   93.88
02:02:08 AM   10    4.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.88
02:02:08 AM   11    4.04    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   92.93
02:02:08 AM   12    4.08    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   93.88
02:02:08 AM   13    7.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
02:02:08 AM   14    8.16    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00   84.69
02:02:08 AM   15    9.18    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   87.76
02:02:08 AM   16    3.16    0.00    3.16    0.00    0.00    0.00    0.00    0.00    0.00   93.68
02:02:08 AM   17    3.03    0.00    2.02    2.02    0.00    0.00    0.00    0.00    0.00   92.93
02:02:08 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:02:08 AM   19    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
02:02:08 AM   20   20.00    0.00   12.00    0.00    0.00    6.00    0.00    0.00    0.00   62.00
02:02:08 AM   21   15.31    0.00   11.22    0.00    0.00    6.12    0.00    0.00    0.00   67.35
02:02:08 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:02:08 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:02:08 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:02:08 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:02:08 AM   26    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
02:02:08 AM   27    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
02:02:08 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:02:08 AM   29    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
02:02:08 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:02:08 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:02:08 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:02:08 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:02:08 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:02:08 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

02:02:08 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:02:09 AM  all    3.93    0.00    2.60    0.06    0.00    0.93    0.00    0.00    0.00   92.48
02:02:09 AM    0    3.12    0.00    2.08    0.00    0.00    2.08    0.00    0.00    0.00   92.71
02:02:09 AM    1    5.15    0.00    2.06    0.00    0.00    2.06    0.00    0.00    0.00   90.72
02:02:09 AM    2    5.00    0.00    7.00    0.00    0.00    5.00    0.00    0.00    0.00   83.00
02:02:09 AM    3    4.12    0.00    3.09    0.00    0.00    0.00    0.00    0.00    0.00   92.78
02:02:09 AM    4    5.21    0.00    3.12    0.00    0.00    0.00    0.00    0.00    0.00   91.67
02:02:09 AM    5    7.07    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   89.90
02:02:09 AM    6    5.15    0.00    1.03    0.00    0.00    1.03    0.00    0.00    0.00   92.78
02:02:09 AM    7    6.86    0.00    7.84    0.00    0.00    0.98    0.00    0.00    0.00   84.31
02:02:09 AM    8    8.33    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   89.58
