run_id,phase,config,frame_bytes,request_body_bytes,response_body_bytes,connections,arrival,rate_index,offered_rps,reported_offered_rps,rep,duration_s,achieved_rps,gbps,request_gbps,response_gbps,p50_us,p95_us,p99_us,p999_us,p9999_us,avg_us,min_us,max_us,ok,scheduled,pending,fail,admission_drops,overflow,reorder,client_app_cores,client_app_user_cores,client_app_system_cores,server_app_cores,server_app_user_cores,server_app_system_cores,client_sidecar_cores,client_sidecar_user_cores,client_sidecar_system_cores,server_sidecar_cores,server_sidecar_user_cores,server_sidecar_system_cores,host_cgroup_cores,host_cgroup_user_cores,host_cgroup_system_cores,host_busy_cores,client_core_busy_cores,server_core_busy_cores,client_tick_busy_cores,server_tick_busy_cores,host_user_cores,host_system_cores,host_irq_cores,host_softirq_cores,system_softirq_cores,dpu_arm_cores,tx_grow_waits,nr_throttled,throttled_seconds,core_list,mpstat_file,perf_data,validation_status,served_clean,achieved_ratio,schedule_ratio,admission_drop_ratio,clean_reason
idle-0-q0-grpc-envoy-strict-r1,idle,grpc-envoy-strict,0,0,0,8,none,0,0,0,1,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000601,0.000471,0.000129,0.004319,0.000030,0.004289,0.004077,0.001376,0.002701,0.008997,0.001877,0.007119,0.005850,0.004311,0.004681,0.003900,0.001950,0.000000,0.005850,0.000000,0.000000,0.037049,NA,NA,0.000000,0.000000,24;25,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/mpstat/idle-0-q0-grpc-envoy-strict-r1.txt,NA,ok,NA,NA,NA,NA,idle
idle-0-q0-grpc-linkerd-r1,idle,grpc-linkerd,0,0,0,8,none,0,0,0,1,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000518,0.000156,0.000362,0.000146,0.000124,0.000022,0.000092,0.000070,0.000022,0.000756,0.000350,0.000406,0.000000,0.000197,0.000749,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029210,NA,NA,0.000000,0.000000,26;27,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/mpstat/idle-0-q0-grpc-linkerd-r1.txt,NA,ok,NA,NA,NA,NA,idle
idle-0-q0-grpc-linkerd-opaque-r1,idle,grpc-linkerd-opaque,0,0,0,8,none,0,0,0,1,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000734,0.000565,0.000169,0.000043,0.000011,0.000032,0.000145,0.000036,0.000109,0.000922,0.000612,0.000310,0.001947,0.000346,0.001169,0.000000,0.001947,0.001947,0.000000,0.000000,0.000000,0.040892,NA,NA,0.000000,0.000000,28;29,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/mpstat/idle-0-q0-grpc-linkerd-opaque-r1.txt,NA,ok,NA,NA,NA,NA,idle
idle-0-q0-grpc-tcp-r1,idle,grpc-tcp,0,0,0,8,none,0,0,0,1,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000437,0.000343,0.000094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000437,0.000343,0.000094,0.000000,0.000102,0.000534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031424,NA,NA,0.000000,0.000000,22;23,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/mpstat/idle-0-q0-grpc-tcp-r1.txt,NA,ok,NA,NA,NA,NA,idle
idle-0-q0-grpc-dpumesh-r1,idle,grpc-dpumesh,0,0,0,8,none,0,0,0,1,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000090,0.000090,0.000000,0.000591,0.000000,0.000591,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000681,0.000090,0.000591,0.000000,0.000220,0.000983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039282,0.121773,NA,0.000000,0.000000,18;19,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/mpstat/idle-0-q0-grpc-dpumesh-r1.txt,NA,ok,NA,NA,NA,NA,idle
idle-0-q0-grpc-envoy-permissive-r1,idle,grpc-envoy-permissive,0,0,0,8,none,0,0,0,1,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000554,0.000438,0.000116,0.004667,0.000000,0.004667,0.003946,0.000451,0.003495,0.009167,0.000889,0.008278,0.005842,0.005302,0.004544,0.003895,0.001947,0.000000,0.005842,0.000000,0.000000,0.027264,NA,NA,0.000000,0.000000,20;21,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/mpstat/idle-0-q0-grpc-envoy-permissive-r1.txt,NA,ok,NA,NA,NA,NA,idle
idle-0-q0-grpc-linkerd-r2,idle,grpc-linkerd,0,0,0,8,none,0,0,0,2,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000491,0.000229,0.000262,0.000111,0.000000,0.000111,0.000081,0.000000,0.000081,0.000683,0.000229,0.000454,0.000000,0.000175,0.000625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033092,NA,NA,0.000000,0.000000,26;27,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/mpstat/idle-0-q0-grpc-linkerd-r2.txt,NA,ok,NA,NA,NA,NA,idle
idle-0-q0-grpc-linkerd-opaque-r2,idle,grpc-linkerd-opaque,0,0,0,8,none,0,0,0,2,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000726,0.000726,0.000000,0.000115,0.000029,0.000086,0.000147,0.000000,0.000147,0.000988,0.000755,0.000233,0.001947,0.000420,0.000932,0.000000,0.001947,0.001947,0.000000,0.000000,0.000000,0.031157,NA,NA,0.000000,0.000000,28;29,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/mpstat/idle-0-q0-grpc-linkerd-opaque-r2.txt,NA,ok,NA,NA,NA,NA,idle
idle-0-q0-grpc-tcp-r2,idle,grpc-tcp,0,0,0,8,none,0,0,0,2,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000443,0.000260,0.000183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000443,0.000260,0.000183,0.000000,0.000070,0.000535,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031424,NA,NA,0.000000,0.000000,22;23,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/mpstat/idle-0-q0-grpc-tcp-r2.txt,NA,ok,NA,NA,NA,NA,idle
idle-0-q0-grpc-dpumesh-r2,idle,grpc-dpumesh,0,0,0,8,none,0,0,0,2,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000088,0.000000,0.000088,0.000630,0.000000,0.000630,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000718,0.000000,0.000718,0.000000,0.000392,0.000767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031422,0.119798,NA,0.000000,0.000000,18;19,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/mpstat/idle-0-q0-grpc-dpumesh-r2.txt,NA,ok,NA,NA,NA,NA,idle
idle-0-q0-grpc-envoy-permissive-r2,idle,grpc-envoy-permissive,0,0,0,8,none,0,0,0,2,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000591,0.000591,0.000000,0.004625,0.000000,0.004625,0.004067,0.001385,0.002682,0.009283,0.001976,0.007307,0.003893,0.004654,0.004771,0.001947,0.001947,0.003893,0.000000,0.000000,0.000000,0.035038,NA,NA,0.000000,0.000000,20;21,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/mpstat/idle-0-q0-grpc-envoy-permissive-r2.txt,NA,ok,NA,NA,NA,NA,idle
idle-0-q0-grpc-envoy-strict-r2,idle,grpc-envoy-strict,0,0,0,8,none,0,0,0,2,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000606,0.000475,0.000130,0.004248,0.000832,0.003416,0.003698,0.001276,0.002422,0.008552,0.002583,0.005968,0.003894,0.004215,0.004373,0.003894,0.000000,0.001947,0.001947,0.000000,0.000000,0.036993,NA,NA,0.000000,0.000000,24;25,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/mpstat/idle-0-q0-grpc-envoy-strict-r2.txt,NA,ok,NA,NA,NA,NA,idle
idle-0-q0-grpc-linkerd-opaque-r3,idle,grpc-linkerd-opaque,0,0,0,8,none,0,0,0,3,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000648,0.000499,0.000149,0.000076,0.000019,0.000057,0.000106,0.000000,0.000106,0.000830,0.000518,0.000312,0.000000,0.000179,0.000778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.036999,NA,NA,0.000000,0.000000,28;29,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/mpstat/idle-0-q0-grpc-linkerd-opaque-r3.txt,NA,ok,NA,NA,NA,NA,idle
idle-0-q0-grpc-tcp-r3,idle,grpc-tcp,0,0,0,8,none,0,0,0,3,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000440,0.000258,0.000181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000440,0.000258,0.000181,0.000000,0.000427,0.000537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029454,NA,NA,0.000000,0.000000,22;23,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/mpstat/idle-0-q0-grpc-tcp-r3.txt,NA,ok,NA,NA,NA,NA,idle
idle-0-q0-grpc-dpumesh-r3,idle,grpc-dpumesh,0,0,0,8,none,0,0,0,3,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000088,0.000062,0.000026,0.000598,0.000598,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000686,0.000660,0.000026,0.001965,0.000231,0.000797,0.000000,0.001965,0.001965,0.000000,0.000000,0.000000,0.039291,0.119837,NA,0.000000,0.000000,18;19,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/mpstat/idle-0-q0-grpc-dpumesh-r3.txt,NA,ok,NA,NA,NA,NA,idle
idle-0-q0-grpc-envoy-permissive-r3,idle,grpc-envoy-permissive,0,0,0,8,none,0,0,0,3,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000561,0.000101,0.000460,0.004313,0.000000,0.004313,0.004259,0.001424,0.002834,0.009133,0.001525,0.007607,0.005839,0.004328,0.004884,0.005839,0.000000,0.001946,0.003893,0.000000,0.000000,0.029197,NA,NA,0.000000,0.000000,20;21,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/mpstat/idle-0-q0-grpc-envoy-permissive-r3.txt,NA,ok,NA,NA,NA,NA,idle
idle-0-q0-grpc-envoy-strict-r3,idle,grpc-envoy-strict,0,0,0,8,none,0,0,0,3,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000615,0.000563,0.000052,0.004230,0.000000,0.004230,0.004223,0.001150,0.003073,0.009068,0.001713,0.007355,0.007789,0.004202,0.004820,0.005841,0.001947,0.000000,0.007789,0.000000,0.000000,0.033101,NA,NA,0.000000,0.000000,24;25,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/mpstat/idle-0-q0-grpc-envoy-strict-r3.txt,NA,ok,NA,NA,NA,NA,idle
idle-0-q0-grpc-linkerd-r3,idle,grpc-linkerd,0,0,0,8,none,0,0,0,3,5,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000521,0.000392,0.000129,0.000199,0.000199,0.000000,0.000155,0.000000,0.000155,0.000875,0.000591,0.000284,0.000000,0.000238,0.001059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027277,NA,NA,0.000000,0.000000,26;27,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/mpstat/idle-0-q0-grpc-linkerd-r3.txt,NA,ok,NA,NA,NA,NA,idle
load-64-q1-grpc-envoy-permissive-r1,load,grpc-envoy-permissive,64,48,48,8,const,1,2607,2607,1,10.000,2607.000,0.0027,0.0013,0.0013,196.00,510.00,567.00,606.00,649.00,280.93,131.62,849.65,24470,26070,0,0,0,0,0,0.115586,0.067894,0.047692,0.189425,0.130871,0.058554,0.064127,0.000000,0.064126,0.132643,0.034901,0.097742,0.501781,0.233666,0.268114,0.361810,0.177802,0.318726,0.182535,0.179275,0.179275,0.138531,0.000000,0.044004,0.105935,NA,0,0.000000,0.000000,20;21,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/mpstat/load-64-q1-grpc-envoy-permissive-r1.txt,NA,ok,1,1.000000,1.000000,0.000000,clean
load-64-q1-grpc-envoy-strict-r1,load,grpc-envoy-strict,64,48,48,8,const,1,2559,2559,1,10.000,2559.000,0.0026,0.0013,0.0013,203.00,533.00,592.00,633.00,675.00,284.85,140.28,1024.98,23990,25590,0,0,0,0,0,0.119507,0.052071,0.067436,0.179497,0.127048,0.052449,0.071166,0.020709,0.050457,0.138455,0.049038,0.089417,0.508625,0.248866,0.259759,0.353808,0.188738,0.314553,0.172828,0.180980,0.179350,0.125545,0.000000,0.048914,0.110871,NA,0,0.000000,0.000000,24;25,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/mpstat/load-64-q1-grpc-envoy-strict-r1.txt,NA,ok,1,1.000000,1.000000,0.000000,clean
load-64-q1-grpc-linkerd-r1,load,grpc-linkerd,64,48,48,8,const,1,785,785,1,10.000,784.000,0.0008,0.0004,0.0004,691.00,862.00,988.00,1155.00,1220.00,661.49,351.94,1246.71,6250,7850,0,0,0,0,0,0.066632,0.033097,0.033535,0.099800,0.066712,0.033088,0.086169,0.064208,0.021961,0.175659,0.108496,0.067163,0.428260,0.272513,0.155747,0.350610,0.151793,0.273082,0.092952,0.257657,0.211996,0.109260,0.000000,0.029353,0.058707,NA,0,0.000000,0.000000,26;27,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/mpstat/load-64-q1-grpc-linkerd-r1.txt,NA,ok,1,0.998726,1.000000,0.000000,clean
load-64-q1-grpc-linkerd-opaque-r1,load,grpc-linkerd-opaque,64,48,48,8,const,1,2511,2511,1,10.000,2510.000,0.0026,0.0013,0.0013,186.00,509.00,546.00,600.00,630.00,273.53,129.32,640.42,23509,25110,0,0,0,0,0,0.112699,0.104170,0.008530,0.181346,0.131733,0.049613,0.053033,0.015391,0.037643,0.116935,0.028396,0.088539,0.464013,0.279690,0.184325,0.319569,0.164002,0.295931,0.171198,0.148371,0.159785,0.117393,0.000000,0.042392,0.096197,NA,0,0.000000,0.000000,28;29,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/mpstat/load-64-q1-grpc-linkerd-opaque-r1.txt,NA,ok,1,0.999602,1.000000,0.000000,clean
load-64-q1-grpc-tcp-r1,load,grpc-tcp,64,48,48,8,const,1,1694,1694,1,10.000,1694.000,0.0017,0.0009,0.0009,339.00,382.00,405.00,468.00,497.00,280.12,92.61,509.16,15340,16940,0,0,0,0,0,0.074266,0.045498,0.028768,0.235483,0.138888,0.096595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.309749,0.184386,0.125363,0.174078,0.073775,0.233761,0.068974,0.105104,0.105104,0.049267,0.000000,0.019707,0.054194,NA,0,0.000000,0.000000,22;23,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/mpstat/load-64-q1-grpc-tcp-r1.txt,NA,ok,1,1.000000,1.000000,0.000000,clean
