config,frame_bytes,stable_clean_rps,next_bad_rps,status,stable_clean_reps,stable_total_reps,next_bad_clean_reps,next_bad_total_reps,stable_achieved_rps,stable_p99_us,stable_client_busy_cores,stable_server_busy_cores,stable_host_busy_cores,stable_dpu_arm_cores,capacity_signal,isolated_clean_points_after_bad
grpc-dpumesh,64,29707,31192,bracketed,1,1,0,1,29708.000,336065.000,0.926666,0.868330,1.798171,2.305600,sla_before_host_saturation,0
grpc-dpumesh,1024,28938,31694,bracketed,1,1,0,1,29300.000,132710.000,0.897606,0.844125,1.605043,2.385387,sla_before_host_saturation,0
grpc-dpumesh,8192,23105,25306,bracketed,1,1,0,1,23195.000,531518.000,0.784558,0.774774,1.584221,2.012700,sla_before_host_saturation,0
grpc-envoy-permissive,64,52149,54756,bracketed,1,1,0,1,52094.000,40541.000,0.981681,0.942380,1.916892,NA,host_core,0
grpc-envoy-permissive,1024,48380,50799,bracketed,1,1,0,1,48366.000,35278.000,0.982482,0.929887,1.913800,NA,host_core,0
grpc-envoy-permissive,8192,35171,36930,bracketed,1,1,0,1,35161.000,25661.000,0.981601,0.904369,1.884252,NA,host_core,0
grpc-envoy-strict,64,51180,53739,bracketed,1,1,0,1,51153.000,45410.000,0.981639,0.943164,1.922031,NA,host_core,0
grpc-envoy-strict,1024,44269,46599,bracketed,1,1,0,1,44281.000,19777.000,0.982618,0.915788,1.905896,NA,host_core,0
grpc-envoy-strict,8192,28613,30044,bracketed,1,1,0,1,28622.000,22811.000,0.981952,0.939240,1.912489,NA,host_core,0
grpc-linkerd,64,15701,16486,bracketed,1,1,0,1,15709.000,26776.000,0.982071,0.834821,1.817831,NA,host_core,0
grpc-linkerd,1024,13262,13925,bracketed,1,1,0,1,13264.000,21993.000,0.981740,0.849826,1.824197,NA,host_core,0
grpc-linkerd,8192,10790,11330,bracketed,1,1,0,1,10790.000,11932.000,0.982606,0.843678,1.786212,NA,host_core,0
grpc-linkerd-opaque,64,50229,52740,bracketed,1,1,0,1,50209.000,50054.000,0.981616,0.931405,1.909936,NA,host_core,0
grpc-linkerd-opaque,1024,44049,46251,bracketed,1,1,0,1,44047.000,27563.000,0.981745,0.919282,1.904063,NA,host_core,0
grpc-linkerd-opaque,8192,25568,26846,bracketed,1,1,0,1,25568.000,31451.000,0.981837,0.927430,1.907487,NA,host_core,0
grpc-tcp,64,33876,35570,bracketed,1,1,0,1,33898.000,49284.000,0.985671,0.981714,1.973389,NA,host_core,0
grpc-tcp,1024,30270,31784,bracketed,1,1,0,1,30247.000,63170.000,0.988833,0.987877,1.976737,NA,host_core,0
grpc-tcp,8192,26052,27355,bracketed,1,1,0,1,25870.000,282916.000,0.985006,0.987699,1.970280,NA,host_core,0
