observed_utc,config,role,pid,allowed_core,numa_node
2026-08-10T15:41:03Z,grpc-envoy-permissive,client_app,20187,20,1
2026-08-10T15:41:03Z,grpc-envoy-permissive,server_app,19775,21,1
2026-08-10T15:41:03Z,grpc-envoy-permissive,client_sidecar,20211,20,1
2026-08-10T15:41:03Z,grpc-envoy-permissive,server_sidecar,19826,21,1
2026-08-10T15:41:03Z,grpc-envoy-strict,client_app,21527,24,1
2026-08-10T15:41:03Z,grpc-envoy-strict,server_app,21144,25,1
2026-08-10T15:41:03Z,grpc-envoy-strict,client_sidecar,21572,24,1
2026-08-10T15:41:03Z,grpc-envoy-strict,server_sidecar,21189,25,1
2026-08-10T15:41:03Z,grpc-linkerd,client_app,22605,26,1
2026-08-10T15:41:03Z,grpc-linkerd,server_app,22077,27,1
2026-08-10T15:41:03Z,grpc-linkerd,client_sidecar,22536,26,1
2026-08-10T15:41:03Z,grpc-linkerd,server_sidecar,22005,27,1
2026-08-10T15:41:03Z,grpc-linkerd-opaque,client_app,23664,28,1
2026-08-10T15:41:03Z,grpc-linkerd-opaque,server_app,23156,29,1
2026-08-10T15:41:03Z,grpc-linkerd-opaque,client_sidecar,23577,28,1
2026-08-10T15:41:03Z,grpc-linkerd-opaque,server_sidecar,23073,29,1
2026-08-10T15:41:03Z,grpc-tcp,client_app,20866,22,1
2026-08-10T15:41:03Z,grpc-tcp,server_app,20523,23,1
2026-08-10T15:41:03Z,grpc-dpumesh,client_app,19473,18,1
2026-08-10T15:41:03Z,grpc-dpumesh,server_app,18859,19,1
