run_id,generator,config,frame_bytes,threads,duration_s,offered_rps,rep,scheduled,scheduler_drops,schedule_ratio,scheduler_drop_ratio,clean,raw_result
selftest-grpc-p64-r500000-v1,grpc,grpc-envoy-permissive,64,8,1,500000,1,499990,10,0.999980,0.000020,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r500000-v1.result.txt
selftest-grpc-p64-r500000-v2,grpc,grpc-envoy-permissive,64,8,1,500000,2,499969,31,0.999938,0.000062,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r500000-v2.result.txt
selftest-grpc-p64-r500000-v3,grpc,grpc-envoy-permissive,64,8,1,500000,3,499996,4,0.999992,0.000008,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r500000-v3.result.txt
selftest-grpc-p64-r750000-v1,grpc,grpc-envoy-permissive,64,8,1,750000,1,750009,0,1.000012,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r750000-v1.result.txt
selftest-grpc-p64-r750000-v2,grpc,grpc-envoy-permissive,64,8,1,750000,2,749997,3,0.999996,0.000004,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r750000-v2.result.txt
selftest-grpc-p64-r750000-v3,grpc,grpc-envoy-permissive,64,8,1,750000,3,749980,20,0.999973,0.000027,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r750000-v3.result.txt
selftest-grpc-p64-r1125000-v1,grpc,grpc-envoy-permissive,64,8,1,1125000,1,1125037,0,1.000033,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r1125000-v1.result.txt
selftest-grpc-p64-r1125000-v2,grpc,grpc-envoy-permissive,64,8,1,1125000,2,1125018,0,1.000016,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r1125000-v2.result.txt
selftest-grpc-p64-r1125000-v3,grpc,grpc-envoy-permissive,64,8,1,1125000,3,1125048,0,1.000043,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r1125000-v3.result.txt
selftest-grpc-p64-r1687500-v1,grpc,grpc-envoy-permissive,64,8,1,1687500,1,1687545,0,1.000027,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r1687500-v1.result.txt
selftest-grpc-p64-r1687500-v2,grpc,grpc-envoy-permissive,64,8,1,1687500,2,1687610,0,1.000065,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r1687500-v2.result.txt
selftest-grpc-p64-r1687500-v3,grpc,grpc-envoy-permissive,64,8,1,1687500,3,1687581,0,1.000048,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r1687500-v3.result.txt
selftest-grpc-p64-r2531250-v1,grpc,grpc-envoy-permissive,64,8,1,2531250,1,2530887,363,0.999857,0.000143,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r2531250-v1.result.txt
selftest-grpc-p64-r2531250-v2,grpc,grpc-envoy-permissive,64,8,1,2531250,2,2530797,453,0.999821,0.000179,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r2531250-v2.result.txt
selftest-grpc-p64-r2531250-v3,grpc,grpc-envoy-permissive,64,8,1,2531250,3,2530786,464,0.999817,0.000183,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r2531250-v3.result.txt
selftest-grpc-p64-r3796875-v1,grpc,grpc-envoy-permissive,64,8,1,3796875,1,3797487,0,1.000161,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r3796875-v1.result.txt
selftest-grpc-p64-r3796875-v2,grpc,grpc-envoy-permissive,64,8,1,3796875,2,3797412,0,1.000141,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r3796875-v2.result.txt
selftest-grpc-p64-r3796875-v3,grpc,grpc-envoy-permissive,64,8,1,3796875,3,3797449,0,1.000151,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r3796875-v3.result.txt
selftest-grpc-p64-r5695313-v1,grpc,grpc-envoy-permissive,64,8,1,5695313,1,5696134,0,1.000144,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r5695313-v1.result.txt
selftest-grpc-p64-r5695313-v2,grpc,grpc-envoy-permissive,64,8,1,5695313,2,5696104,0,1.000139,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r5695313-v2.result.txt
selftest-grpc-p64-r5695313-v3,grpc,grpc-envoy-permissive,64,8,1,5695313,3,5696107,0,1.000139,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r5695313-v3.result.txt
selftest-grpc-p64-r8542970-v1,grpc,grpc-envoy-permissive,64,8,1,8542970,1,8546992,0,1.000471,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r8542970-v1.result.txt
selftest-grpc-p64-r8542970-v2,grpc,grpc-envoy-permissive,64,8,1,8542970,2,8547137,0,1.000488,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r8542970-v2.result.txt
selftest-grpc-p64-r8542970-v3,grpc,grpc-envoy-permissive,64,8,1,8542970,3,8547074,0,1.000480,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r8542970-v3.result.txt
selftest-grpc-p64-r12814455-v1,grpc,grpc-envoy-permissive,64,8,1,12814455,1,12820340,0,1.000459,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r12814455-v1.result.txt
selftest-grpc-p64-r12814455-v2,grpc,grpc-envoy-permissive,64,8,1,12814455,2,12820456,0,1.000468,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r12814455-v2.result.txt
selftest-grpc-p64-r12814455-v3,grpc,grpc-envoy-permissive,64,8,1,12814455,3,12820336,0,1.000459,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r12814455-v3.result.txt
selftest-grpc-p64-r19221683-v1,grpc,grpc-envoy-permissive,64,8,1,19221683,1,19216778,4905,0.999745,0.000255,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r19221683-v1.result.txt
selftest-grpc-p64-r19221683-v2,grpc,grpc-envoy-permissive,64,8,1,19221683,2,19215886,5797,0.999698,0.000302,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r19221683-v2.result.txt
selftest-grpc-p64-r19221683-v3,grpc,grpc-envoy-permissive,64,8,1,19221683,3,19216848,4835,0.999748,0.000252,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r19221683-v3.result.txt
selftest-grpc-p64-r28832525-v1,grpc,grpc-envoy-permissive,64,8,1,28832525,1,28825283,7242,0.999749,0.000251,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r28832525-v1.result.txt
selftest-grpc-p64-r28832525-v2,grpc,grpc-envoy-permissive,64,8,1,28832525,2,28825283,7242,0.999749,0.000251,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r28832525-v2.result.txt
selftest-grpc-p64-r28832525-v3,grpc,grpc-envoy-permissive,64,8,1,28832525,3,28825284,7241,0.999749,0.000251,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r28832525-v3.result.txt
selftest-grpc-p64-r43248788-v1,grpc,grpc-envoy-permissive,64,8,1,43248788,1,43165501,83287,0.998074,0.001926,0,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r43248788-v1.result.txt
selftest-grpc-p64-r43248788-v2,grpc,grpc-envoy-permissive,64,8,1,43248788,2,43165498,83290,0.998074,0.001926,0,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r43248788-v2.result.txt
selftest-grpc-p64-r43248788-v3,grpc,grpc-envoy-permissive,64,8,1,43248788,3,43165498,83290,0.998074,0.001926,0,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p64-r43248788-v3.result.txt
selftest-grpc-p1024-r500000-v1,grpc,grpc-envoy-permissive,1024,8,1,500000,1,499973,27,0.999946,0.000054,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p1024-r500000-v1.result.txt
selftest-grpc-p1024-r500000-v2,grpc,grpc-envoy-permissive,1024,8,1,500000,2,499972,28,0.999944,0.000056,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p1024-r500000-v2.result.txt
selftest-grpc-p1024-r500000-v3,grpc,grpc-envoy-permissive,1024,8,1,500000,3,499979,21,0.999958,0.000042,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p1024-r500000-v3.result.txt
selftest-grpc-p1024-r750000-v1,grpc,grpc-envoy-permissive,1024,8,1,750000,1,749997,3,0.999996,0.000004,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p1024-r750000-v1.result.txt
selftest-grpc-p1024-r750000-v2,grpc,grpc-envoy-permissive,1024,8,1,750000,2,750001,0,1.000001,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p1024-r750000-v2.result.txt
selftest-grpc-p1024-r750000-v3,grpc,grpc-envoy-permissive,1024,8,1,750000,3,749981,19,0.999975,0.000025,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p1024-r750000-v3.result.txt
selftest-grpc-p1024-r1125000-v1,grpc,grpc-envoy-permissive,1024,8,1,1125000,1,1125070,0,1.000062,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p1024-r1125000-v1.result.txt
selftest-grpc-p1024-r1125000-v2,grpc,grpc-envoy-permissive,1024,8,1,1125000,2,1125020,0,1.000018,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p1024-r1125000-v2.result.txt
selftest-grpc-p1024-r1125000-v3,grpc,grpc-envoy-permissive,1024,8,1,1125000,3,1125049,0,1.000044,0.000000,1,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/selftest-grpc-p1024-r1125000-v3.result.txt
