run_id,stage,sequence,config,frame_bytes,offered_rps,duration_s,achieved_rps,p50_us,p99_us,scheduled,admission_drops,pending,fail,overflow,reorder,achieved_ratio,schedule_ratio,admission_drop_ratio,client_busy_cores,server_busy_cores,host_busy_cores,host_core_budget,dpu_arm_cores,tx_grow_waits,clean,reason,raw_result
scout-64-grpc-tcp-pilot1-v1,pilot,1,grpc-tcp,64,5000,2,4998.000,134.00,143.00,10000,0,0,0,0,0,0.999600,1.000000,0.000000,0.218273,0.199146,0.417419,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-tcp-pilot1-v1.result.attempt1.txt
scout-64-grpc-tcp-pilot2-v1,pilot,2,grpc-tcp,64,6750,2,6748.000,136.00,546.00,13500,0,0,0,0,0,0.999704,1.000000,0.000000,0.295086,0.402134,0.697220,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-tcp-pilot2-v1.result.attempt1.txt
scout-64-grpc-tcp-pilot3-v1,pilot,3,grpc-tcp,64,9113,2,9110.000,134.00,535.00,18226,0,0,0,0,0,0.999671,1.000000,0.000000,0.403979,0.386074,0.790053,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-tcp-pilot3-v1.result.attempt1.txt
scout-64-grpc-tcp-pilot4-v1,pilot,4,grpc-tcp,64,12303,2,12301.000,158.00,187.00,24606,0,0,0,0,0,0.999837,1.000000,0.000000,0.548512,0.500695,1.049207,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-tcp-pilot4-v1.result.attempt1.txt
scout-64-grpc-tcp-pilot5-v1,pilot,5,grpc-tcp,64,16609,2,16607.000,158.00,308.00,33217,0,0,0,0,0,0.999880,0.999970,0.000000,0.741037,0.707991,1.449028,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-tcp-pilot5-v1.result.attempt1.txt
scout-64-grpc-tcp-pilot6-v1,pilot,6,grpc-tcp,64,22422,2,22421.000,554.00,1099.00,44841,0,0,0,0,0,0.999955,0.999933,0.000000,0.894661,0.782842,1.677503,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-tcp-pilot6-v1.result.attempt1.txt
scout-64-grpc-tcp-pilot7-v1,pilot,7,grpc-tcp,64,30270,2,30374.000,2461.00,16661.00,60511,0,0,0,0,0,1.003436,0.999521,0.000000,0.963562,0.925352,1.888914,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-tcp-pilot7-v1.result.attempt1.txt
scout-64-grpc-tcp-pilot8-v1,pilot,8,grpc-tcp,64,40865,2,27473.000,386519.00,703385.00,75969,0,0,0,0,0,0.672287,0.929512,0.000000,0.980925,0.979314,1.960239,2,NA,0,0,achieved+scheduler,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-tcp-pilot8-v1.result.attempt1.txt
scout-64-grpc-tcp-validate8-v1,validate,8,grpc-tcp,64,40865,10,29274.000,5136106.07,5136106.07,397044,0,0,0,247983,0,0.716359,0.971599,0.000000,0.996433,0.885990,1.882423,2,NA,0,0,overflow+achieved+scheduler,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-tcp-validate8-v1.result.attempt1.txt
scout-64-grpc-tcp-validate8-v2,validate,8,grpc-tcp,64,40865,10,29745.000,2826537.71,2826537.71,378584,0,0,0,200846,0,0.727884,0.926426,0.000000,0.996078,0.996735,1.992813,2,NA,0,0,overflow+achieved+scheduler,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-tcp-validate8-v2.result.attempt1.txt
scout-64-grpc-tcp-backtrack7-v1,backtrack,7,grpc-tcp,64,30270,10,30294.000,2275.00,11624.00,302686,0,0,0,0,0,1.000793,0.999954,0.000000,0.975521,0.938808,1.914329,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-tcp-backtrack7-v1.result.attempt1.txt
scout-64-grpc-tcp-backtrack7-v2,backtrack,7,grpc-tcp,64,30270,10,30286.000,2194.00,10329.00,302700,0,0,0,0,0,1.000529,1.000000,0.000000,0.974740,0.938714,1.913454,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-tcp-backtrack7-v2.result.attempt1.txt
scout-64-grpc-tcp-refine1-v1,refine,1,grpc-tcp,64,35171,10,28528.000,760166.00,1968818.37,348632,0,0,0,111438,0,0.811123,0.991248,0.000000,0.995436,0.996599,1.992035,2,NA,0,0,overflow+achieved,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-tcp-refine1-v1.result.attempt1.txt
scout-64-grpc-tcp-refine1-v2,refine,1,grpc-tcp,64,35171,10,29908.000,829109.00,1596055.40,349639,0,0,0,110384,0,0.850360,0.994112,0.000000,0.996205,0.996239,1.992444,2,NA,0,0,overflow+achieved,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-tcp-refine1-v2.result.attempt1.txt
scout-64-grpc-tcp-refine2-v1,refine,2,grpc-tcp,64,32629,10,32686.000,7810.00,24314.00,326187,0,0,0,0,0,1.001747,0.999684,0.000000,0.986509,0.978685,1.965194,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-tcp-refine2-v1.result.attempt1.txt
scout-64-grpc-tcp-refine2-v2,refine,2,grpc-tcp,64,32629,10,32647.000,7010.00,24800.00,326224,0,0,0,0,0,1.000552,0.999798,0.000000,0.987104,0.978247,1.965351,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-tcp-refine2-v2.result.attempt1.txt
scout-64-grpc-tcp-refine3-v1,refine,3,grpc-tcp,64,33876,10,33860.000,20882.00,50632.00,338501,0,0,0,0,0,0.999528,0.999235,0.000000,0.993245,0.990215,1.983460,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-tcp-refine3-v1.result.attempt1.txt
scout-64-grpc-tcp-refine3-v2,refine,3,grpc-tcp,64,33876,10,33909.000,24628.00,52301.00,338477,0,0,0,0,0,1.000974,0.999165,0.000000,0.993462,0.991737,1.985199,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-tcp-refine3-v2.result.attempt1.txt
scout-64-grpc-tcp-refine4-v1,refine,4,grpc-tcp,64,34517,10,31094.000,257168.00,963176.00,343531,0,0,0,271,0,0.900831,0.995252,0.000000,0.996093,0.995990,1.992083,2,NA,0,0,overflow+achieved,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-tcp-refine4-v1.result.attempt1.txt
scout-64-grpc-tcp-refine4-v2,refine,4,grpc-tcp,64,34517,10,30689.000,558463.00,1243303.72,342848,0,0,0,20787,0,0.889098,0.993273,0.000000,0.996200,0.997175,1.993375,2,NA,0,0,overflow+achieved,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-tcp-refine4-v2.result.attempt1.txt
scout-64-grpc-dpumesh-pilot1-v1,pilot,1,grpc-dpumesh,64,5000,2,4997.000,243.00,278.00,10000,0,0,0,0,0,0.999400,1.000000,0.000000,0.185353,0.158604,0.343957,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260811/open/raw/scout-64-grpc-dpumesh-pilot1-v1.result.attempt1.txt
