point_id,stage,sequence,config,frame_bytes,offered_rps,duration_s,runs,clean_votes,bad_votes,decision
point-64-grpc-tcp-r40865,validate,8,grpc-tcp,64,40865,10,2,0,2,0
point-64-grpc-tcp-r30270,backtrack,7,grpc-tcp,64,30270,10,2,2,0,1
point-64-grpc-tcp-r35171,refine,1,grpc-tcp,64,35171,10,2,0,2,0
point-64-grpc-tcp-r32629,refine,2,grpc-tcp,64,32629,10,2,2,0,1
point-64-grpc-tcp-r33876,refine,3,grpc-tcp,64,33876,10,2,2,0,1
point-64-grpc-tcp-r34517,refine,4,grpc-tcp,64,34517,10,2,0,2,0
point-64-grpc-dpumesh-r30270,validate,7,grpc-dpumesh,64,30270,10,2,0,2,0
point-64-grpc-dpumesh-r22422,backtrack,6,grpc-dpumesh,64,22422,10,2,2,0,1
point-64-grpc-dpumesh-r26052,refine,1,grpc-dpumesh,64,26052,10,3,2,1,1
point-64-grpc-dpumesh-r28082,refine,2,grpc-dpumesh,64,28082,10,3,2,1,1
point-64-grpc-dpumesh-r29155,refine,3,grpc-dpumesh,64,29155,10,2,2,0,1
point-64-grpc-dpumesh-r29707,refine,4,grpc-dpumesh,64,29707,10,2,2,0,1
point-64-grpc-envoy-permissive-r55168,validate,9,grpc-envoy-permissive,64,55168,10,2,0,2,0
point-64-grpc-envoy-permissive-r40865,backtrack,8,grpc-envoy-permissive,64,40865,10,2,2,0,1
point-64-grpc-envoy-permissive-r47481,refine,1,grpc-envoy-permissive,64,47481,10,2,2,0,1
point-64-grpc-envoy-permissive-r51180,refine,2,grpc-envoy-permissive,64,51180,10,2,2,0,1
point-64-grpc-envoy-permissive-r53137,refine,3,grpc-envoy-permissive,64,53137,10,2,0,2,0
point-64-grpc-envoy-permissive-r52149,refine,4,grpc-envoy-permissive,64,52149,10,3,2,1,1
point-64-grpc-envoy-strict-r55168,validate,9,grpc-envoy-strict,64,55168,10,2,0,2,0
point-64-grpc-envoy-strict-r40865,backtrack,8,grpc-envoy-strict,64,40865,10,2,2,0,1
